age,employee_turnover,business_travel_frequency,daily_rate,distance_from_home_km,education_level,education_field,remove_column,employee_id,environmental_satisfaction_level,gender,hourly_rate,job_involvement_level,job_level,job_role,job_satisfaction_level,marital_status,monthly_income,monthly_rate,num_companies_worked,over_18,percent_salary_hike,relationship_satisfaction_level,stock_option_level,training_sessions_last_year,years_at_company,years_since_last_promotion,years_with_current_manager,birth_year,overtime_hours,performance_rating,standard_work_hours,total_years_worked,work_life_balance,same_as_monthly_income,annual_salary,remote_work
51,no,nan,2015.72,6.0,3,nan,1,1,1.0,male,,3,5,research_director,3,nan,16280.83,42330.17,7,,13,3,0,5,20,15,15,1972,no,3,full_time,,3,16280.83,195370.0,yes
52,no,nan,2063.39,1.0,4,life_sciences,1,2,3.0,male,,2,5,manager,3,nan,,43331.17,0,,14,1,1,5,33,11,9,1971,none,3,none,34,3,,199990.0,yes
42,no,travel_rarely,1984.25,4.0,2,technical_degree,1,3,3.0,male,,3,5,manager,4,married,,41669.33,1,,11,4,0,3,22,11,15,1981,no,3,none,22,,,192320.0,yes
47,no,travel_rarely,1771.4,2.0,4,medical,1,4,1.0,female,,3,4,research_director,3,married,14307.5,37199.5,3,,19,2,2,2,20,5,6,1976,none,3,full_time,,,14307.5,171690.0,no
46,no,nan,1582.77,3.0,3,technical_degree,1,5,1.0,female,,4,4,sales_executive,1,divorced,12783.92,33238.2,2,,12,4,1,5,19,2,8,1977,no,3,none,,3,12783.92,,no
48,no,nan,1771.92,22.0,3,medical,1,6,4.0,female,,3,4,manager,4,nan,14311.67,37210.33,3,,11,2,1,3,22,4,7,1975,no,3,none,,3,14311.67,,yes
59,no,nan,1032.49,25.0,3,life_sciences,1,7,1.0,female,,3,3,sales_executive,1,nan,8339.32,21682.23,7,,11,4,0,3,21,7,9,1964,none,3,part_time,28,2,8339.32,100071.84,yes
42,no,travel_rarely,556.26,1.0,1,nan,1,8,2.0,male,69.53,3,2,sales_executive,3,married,,11681.39,1,,25,3,0,3,20,11,6,1981,no,4,part_time,20,3,,53914.11,no
41,no,nan,1712.18,2.0,5,nan,1,9,2.0,female,,3,4,manager,1,married,13829.17,35955.83,7,,16,2,1,2,18,11,8,1982,no,3,full_time,22,3,13829.17,165950.0,yes
41,no,travel_frequently,1973.98,9.0,3,nan,1,10,1.0,male,,3,5,research_director,3,nan,15943.72,41453.67,2,,17,2,1,2,18,0,11,1982,no,3,none,21,4,15943.72,,no
41,no,non_travel,2060.71,7.0,1,nan,1,11,2.0,female,,1,5,research_director,3,nan,16644.17,43274.83,1,,22,2,2,3,21,5,10,1982,no,4,full_time,,3,16644.17,199730.0,no
56,no,travel_rarely,1382.75,23.0,3,life_sciences,1,12,4.0,male,172.84,3,4,manufacturing_director,2,married,,29037.67,4,,12,1,1,0,19,15,9,1967,yes,,full_time,33,3,,134020.0,no
38,no,nan,1362.52,10.0,3,medical,1,13,2.0,female,,1,3,research_director,3,married,,28613.0,3,,12,1,1,3,18,1,11,1985,no,3,full_time,,3,,132060.0,yes
