age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_count,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement_level,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,over_18,overtime,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager,same_as_monthly_income,date_birth,salary,role_department,number_children,remote_work
51,no,,2015.7222222222224,,6,3,,1,1,1.0,male,,3,5,research_director,3,,16280.83,42330.17,7,y,no,13,3,3,full_time,0,,5,3,20,,15,15,16280.83,1972,195370,,,yes
52,no,,2063.3888888888887,,1,4,life_sciences,1,2,3.0,male,,2,5,manager,3,,,43331.17,0,,,14,3,1,,1,34,5,3,33,,11,9,,1971,199990,,,yes
42,no,travel_rarely,1984.253968253968,research_&_development,4,2,technical_degree,1,3,3.0,male,,3,5,manager,4,married,,41669.33,1,,no,11,3,4,,0,22,3,,22,,11,15,,1981,192320,manager_____research_&_development,,yes
47,no,travel_rarely,1771.4047619047622,,2,4,medical,1,4,1.0,female,,3,4,research_director,3,married,14307.5,37199.5,3,y,,19,3,2,full_time,2,,2,,20,,5,6,14307.5,1976,171690,,,no
46,no,,1582.7713464696226,,3,3,technical_degree,1,5,1.0,female,,4,4,sales_executive,1,divorced,12783.92,33238.2,2,y,no,12,3,4,,1,,5,3,19,,2,8,12783.92,1977,,,,no
48,no,,1771.920634920635,research_&_development,22,3,medical,1,6,4.0,female,,3,4,manager,4,,14311.67,37210.33,3,,no,11,3,2,,1,,3,3,22,,4,7,14311.67,1975,,manager_____research_&_development,,yes
59,no,,1032.4872861766066,,25,3,life_sciences,1,7,1.0,female,,3,3,sales_executive,1,,8339.32,21682.23,7,y,,11,3,4,part_time,0,28,3,2,21,,7,9,8339.32,1964,100072,,,yes
42,no,travel_rarely,556.2566609977324,,1,1,,1,8,2.0,male,69.53208262471655,3,2,sales_executive,3,married,,11681.39,1,,no,25,4,3,part_time,0,20,3,3,20,,11,6,,1981,53914,,,no
41,no,,1712.1825396825398,,2,5,,1,9,2.0,female,,3,4,manager,1,married,13829.17,35955.83,7,,no,16,3,2,full_time,1,22,2,3,18,,11,8,13829.17,1982,165950,,,yes
41,no,travel_frequently,1973.9841269841268,,9,3,,1,10,1.0,male,,3,5,research_director,3,,15943.72,41453.67,2,,no,17,3,2,,1,21,2,4,18,,0,11,15943.72,1982,,,,no
41,no,non_travel,2060.7063492063494,,7,1,,1,11,2.0,female,,1,5,research_director,3,,16644.17,43274.83,1,y,no,22,4,2,full_time,2,,3,3,21,,5,10,16644.17,1982,199730,,,no
56,no,travel_rarely,1382.7460317460318,,23,3,life_sciences,1,12,4.0,male,172.84325396825398,3,4,manufacturing_director,2,married,,29037.67,4,,yes,12,,1,full_time,1,33,0,3,19,,15,9,,1967,134020,,,no
38,no,,1362.5238095238096,,10,3,medical,1,13,2.0,female,,1,3,research_director,3,married,,28613.0,3,y,no,12,3,1,full_time,1,,3,3,18,,1,11,,1985,132060,,,yes
41,yes,travel_rarely,2016.547619047619,,12,3,,1,14,2.0,female,,3,5,research_director,3,married,,42347.5,1,,no,12,3,4,full_time,0,,0,3,22,,15,8,,1982,195450,,,no
55,no,,1973.9841269841268,,14,4,medical,1,15,3.0,male,,4,5,research_director,2,single,15943.72,41453.67,8,,no,11,3,4,,0,,3,3,24,,2,15,15943.72,1968,,,,yes
40,no,travel_rarely,1861.373015873016,,2,4,,1,16,3.0,female,,3,5,manager,3,,15034.17,39088.83,0,,no,14,3,4,full_time,0,,2,3,20,,1,12,15034.17,1983,180410,,,no
58,yes,travel_rarely,1985.6984126984123,,2,4,,1,17,4.0,male,,3,5,research_director,2,single,16038.33,41699.67,7,y,yes,12,3,4,full_time,0,40,2,3,31,,13,8,16038.33,1965,192460,,,no
46,no,travel_rarely,1582.7713464696226,,2,3,,1,18,3.0,female,,3,4,manager,1,,12783.92,33238.2,8,,,23,4,1,,0,28,2,3,26,,15,9,12783.92,1977,,,,no
35,no,,556.2566609977324,,13,5,life_sciences,1,19,2.0,male,,4,2,research_scientist,1,married,4492.84,11681.39,1,,,11,3,4,,0,,2,3,16,,1,10,4492.84,1988,,,,no
40,no,travel_rarely,1032.4872861766066,,15,3,life_sciences,1,20,1.0,female,,2,3,manufacturing_director,3,,8339.32,21682.23,1,y,,13,3,4,,2,18,2,,18,,14,12,8339.32,1983,,,,yes
45,no,non_travel,1108.920634920635,research_&_development,1,1,,1,21,3.0,male,,2,3,healthcare_representative,3,,8956.67,23287.33,3,y,,23,4,4,full_time,1,25,3,2,23,,14,4,8956.67,1978,107480,healthcare_representative_____research_&_development,,no
33,no,,1032.4872861766066,,1,2,life_sciences,1,22,1.0,female,,3,3,research_director,4,single,,21682.23,1,,yes,12,3,3,part_time,0,15,1,3,15,,8,12,,1990,100072,,,yes
36,no,,1032.4872861766066,,8,3,,1,23,3.0,female,,3,3,healthcare_representative,3,divorced,,21682.23,1,y,,13,,2,,3,17,2,3,17,,12,8,,1987,100072,,,yes
47,no,,1728.3809523809523,,2,2,other,1,24,3.0,female,216.0476190476191,3,4,manager,4,married,,36296.0,1,,,11,3,3,full_time,1,,3,2,26,,3,0,,1976,167520,,,no
36,no,travel_rarely,639.7857142857143,,42,2,life_sciences,1,25,,male,79.97321428571429,3,2,sales_executive,4,,5167.5,13435.5,1,y,,14,3,4,full_time,1,18,1,,18,,4,11,5167.5,1987,62010,,,yes
35,no,,1032.4872861766066,,9,3,life_sciences,1,26,4.0,female,129.06091077207583,2,3,manufacturing_director,3,married,,21682.23,1,y,yes,20,4,2,part_time,1,17,2,3,17,,5,15,,1988,100072,,,no
52,yes,,2047.5,,2,1,,1,27,1.0,female,,1,5,manager,4,married,,42997.5,1,y,no,15,3,4,full_time,1,33,3,3,32,,6,9,,1971,198450,,,yes
36,no,,556.2566609977324,,2,4,life_sciences,1,28,3.0,female,,3,2,manufacturing_director,2,single,4492.84,11681.39,9,y,yes,11,3,4,,0,18,2,3,16,,5,12,4492.84,1987,53914,,,no
