,Unnamed: 0,artist,listeners,playcount,bio_content
0,0,don patricio,82076,1143746,"Patricio Martín Díaz, de nombre artístico Don Patricio, es un rapero español. <a href=""https://www.last.fm/music/Don+Patricio"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
1,1,travis scott,2493093,457188549,"Jacques Webster (born April 30, 1992), better known by his stage name Travis Scott (stylized as Travi$ Scott), is an American hip hop recording artist and record producer from Houston, Texas. He is currently signed to Epic Records and T.I.'s Grand Hustle imprint, while signed to Kanye West's Very GOOD Beats as a producer. He first became widely known for his production and verse on GOOD Music's ""Sin City"". His debut EP Owl Pharaoh, was released on May 21, 2013. <a href=""https://www.last.fm/music/+noredirect/Travis+Scott"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
2,2,lil tecca,1324873,96581258,"Tyler-Justin Anthony Sharpe (born August 26, 2002), known professionally as Lil Tecca or Tecca, is an American rapper, singer and songwriter. He gained recognition upon releasing his breakout single, ""Ransom"", which has amassed over 1 billion plays on Spotify and peaked at number four on the Billboard Hot 100. 

Tecca first gained traction during an early 2018 beef with Toronto rapper ""Lb Spiffy"" after Lb accused Tecca of stealing his flow on the track ""Callin"". Tecca continued the momentum by releasing songs on SoundCloud such as ""My Time"", ""Get It Back"", ""Love Me"" and ""Count Me Out"". In the time since his initial May 2019 rise to fame, from the Lyrical Lemonade, Cole Bennett directed music video hit, ""Ransom"", Tecca has released his debut mixtape, We Love You Tecca, which peaked at number 4 on the US Billboard 200 and contains hits such as ""Did It Again"", ""Out of Luck"" and ""Shots"" peaking at 64, 80, and 84, on the US Billboard Hot 100.  On August 27th 2021 Tecca released his highly anticipated album ""We Love You Tecca 2"", which peaked at number 4 on the billboard top 100. <a href=""https://www.last.fm/music/Lil+Tecca"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
3,3,el alfa,465004,10536124,"Emmanuel Herrera Batista, known professionally as El Alfa, is a Dominican dembow recording artist, In 2015, after receiving criticism for insulting the founding fathers of the Dominican Republic in a music video, El Alfa was sentenced to 15 days of community service. The President of El Instituto Duartino, Cesar Romero called for the boycott and destruction of El Alfa's albums for having disrespected the founding fathers. Part of El Alfa's sentencing was to clean the Plaza de la Bandera and to sing the national anthem for two hours for fifteen consecutive days. Additionally, El Alfa was ordered to hand out educational pamphlets about the founding fathers at traffic lights in Santo Domingo.[2] He considered the situation a misunderstanding. <a href=""https://www.last.fm/music/El+Alfa"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
4,4,delaossa,38588,1398462,"Daniel Martínez de la Ossa Romero (Málaga, España, 1993) es un cantante español de género hip hop/rap conocido por el nombre artístico de Delaossa.

Ha lanzado varios singles desde 2016, y su debut discográfico se produjo en 2019 con el LP 'Un perro andaluz'. En 2020 lanzó un EP de 5 temas llamado 'La Tour Liffee', en el que le acompaña su habitual beatmaker, DJ y productor J Moods y otros músicos como Israel B, KIDDO, Gese Da O, Granuja o Cruz Cafuné. <a href=""https://www.last.fm/music/DeLaOssa"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
5,5,post malone,2958087,265549433,"Austin Richard Post (born July 4, 1995), known professionally as Post Malone, is an American rapper, singer, songwriter, and record producer. Known for his variegated vocals, Malone has gained acclaim for blending genres and subgenres of hip-hop, pop, R&B, and trap. His stage name was derived from inputting his birth name into a rap name generator

Malone began his music career in 2011 and gained recognition with his 2015 debut single ""White Iverson"", which peaked at number 14 on the US Billboard Hot 100. Malone signed a recording contract with Republic Records and released his debut album Stoney; it contained the diamond single ""Congratulations"" (featuring Quavo) and set the record for most weeks (77) on the US Billboard Top R&B/Hip-Hop Albums chart. His second album, beerbongs & bentleys, debuted at number one on the US Billboard 200 and set several streaming records. It also contained the US number-one singles ""Rockstar"" (featuring 21 Savage) and ""Psycho"" (featuring Ty Dolla Sign) and was nominated for Album of the Year at the 61st Grammy Awards.

His third number one, ""Sunflower"" (with Swae Lee), was the promotional and lead single to the soundtrack for the film Spider-Man: Into the Spider-Verse, and was included on Malone's third album, Hollywood's Bleeding; the album was his second number one. Its second single, ""Circles"", reached number one and set the record for most weeks (39) in the top ten on the Hot 100. His fourth album, Twelve Carat Toothache, was released in June 2022, spearheaded by the US top-ten singles ""I Like You (A Happier Song)"" (featuring Doja Cat) and ""One Right Now"" (with The Weeknd).

Among the best-selling music artists with over 80 million records sold, Malone has won 10 Billboard Music Awards, three American Music Awards, and one MTV Video Music Award, and received nine Grammy Award nominations. He holds several Billboard chart records: he is the first solo artist to top the Rap Airplay and Adult Contemporary charts, while ""Circles"" set the record for the longest climb to number one (41 weeks) on the Adult Contemporary chart by a solo artist.

Austin Richard Post was born on July 4, 1995, in Syracuse, New York. He was raised by his father, Richard Post, and his stepmother, Jodie. His father had been a DJ in his youth and introduced Malone to many different genres of music including hip-hop, country, and rock. When Malone was nine years old, he and his family moved to Grapevine, Texas, after his father became the manager of concessions for the Dallas Cowboys. Malone began to play the guitar and auditioned for the American band Crown the Empire in 2010, but was rejected after his guitar strings broke during the audition. He credited his initial interest in learning guitar to the video game Guitar Hero.

Malone has always had a love for alternative rock music, and appeared for a DJ set at Emo Nite in Los Angeles, California, in June 2017, playing songs by American alt-rock band My Chemical Romance at the event. According to Malone, his first foray into professional music began when he was in a heavy metal band. He says soon afterward he transitioned to softer rock as well as hip-hop, before beginning to experiment on FL Studio.

According to Malone, he chose ""Post Malone"" as his stage name when he was 14 or 15. The name was rumored to be a reference to the professional basketball player Karl Malone, but Malone later explained that ""Post"" is his last name, and he used a ""rap name generator"" to get ""Malone"". At 16, using the audio editor Audacity, Malone created his first mixtape, Young and After Them Riches. He showed it to some of his classmates at Grapevine High School. He was voted ""Most Likely to Become Famous"" by his classmates as a senior in high school. He worked at a Chicken Express as a teenager.

Malone later enrolled in Tarrant County College but dropped out. After leaving college, Malone moved to Los Angeles, California, with his longtime friend Jason Probst, a professional game streamer.

After moving to Los Angeles, Malone, Probst, and several other producers and artists formed the music group BLCKVRD and recorded music together. Several members of the group, including Malone, moved into a house in Los Angeles' San Fernando Valley together. While living in the San Fernando Valley, Malone met record producers FKi 1st and Sauce Lord Rich, who formed the production team FKi, as well as Rex Kudo, who produced several of Malone's tracks, including ""White Iverson"". Malone recorded the song two days after writing it. The lyrics of ""White Iverson"" allude to Basketball Hall of Fame player Allen Iverson. In February 2015, upon completion, it was uploaded to Malone's SoundCloud account. On July 19, 2015, Malone released a music video for ""White Iverson"".

After hitting one million views within a month of releasing ""White Iverson"", Malone quickly garnered attention from record labels. In August 2015, he signed a recording contract with Republic Records. Malone went on to work with a number of prominent rappers including 50 Cent, Young Thug, Kanye West, and others. In August 2015, he performed at Kylie Jenner's 18th birthday party, where he met Kanye West, who enjoyed his music, leading to him collaborating with Malone on his single ""Fade"" from his album The Life of Pablo. Malone later began a friendship with Canadian singer Justin Bieber leading to Malone being an opening act for Bieber's Purpose World Tour (2016–17). On April 20, 2016, Malone premiered his new single, ""Go Flex"" on Zane Lowe's Beats 1 show.

On May 12, 2016, he released his first full-length project, a mixtape, titled August 26th, the title of which was a reference to the release date of his debut album. On June 9, 2016, Malone made his national television debut on Jimmy Kimmel Live!, performing ""Go Flex"".

In June 2016, XXL editor-in-chief Vanessa Satten revealed Malone was considered for XXL's ""2016 Freshman Class"" magazine cover, but she was ""told by his camp that he wasn't paying attention to hip hop so much. He was going in more of a rock/pop/country direction."" However, Malone denied these claims, explaining that his latest mixtape, as well as his album, were both hip-hop. In August 2016, Malone issued an apology for his album, Stoney, being late. It was available for pre-order on November 4 and was finally released on December 9. Malone later went on to call the album ""mediocre"", despite the success of the single ""Congratulations"" featuring Quavo, Malone's first top-ten song on the Billboard Hot 100, peaking at number eight. Stoney also featured the top 100 hits ""I Fall Apart"", and ""Deja Vu"", featuring Bieber, with the album later being certified double platinum by the RIAA in October 2017.

In February 2017, Malone revealed the title of his next project, beerbongs & bentleys, and was set to be released in December, before eventually being pushed back to 2018. In September, Malone released the first single from the album, ""Rockstar"", featuring 21 Savage. The song peaked at number one on the Billboard Hot 100 and held the spot for eight consecutive weeks prompting Rolling Stone in 2017 to say he is ""one of the most popular musicians in the country"". In November of the same year, Malone released the official music video for ""Rockstar"", directed by Emil Nava.

On February 20, 2018, Malone previewed his new song with Ty Dolla Sign titled ""Psycho"". ""Psycho"" was released on February 23, 2018, and a tour with 21 Savage was announced. The song debuted at number 2 on the Billboard Hot 100, becoming Malone's third entry in the top 10; it would later top the charts in June of that year, becoming Malone's second number one. On April 5, 2018, Malone stated that Beerbongs & Bentleys will be released on April 27, 2018. The same day, he also premiered the song ""Stay"" during the Bud Lite Dive Bar show in Nashville. Upon release, Beerbongs & Bentleys broke the first-day streaming records on Spotify, with 78.7 million streams worldwide. It debuted at number one on the Billboard 200 moving 461,000 album-equivalent units in its first week, with 153,000 coming from pure sales. The album was also certified platinum by the RIAA after four days and spawned three top 10 songs and six top 20 songs.

In an interview with Billboard in May 2018, Malone's manager announced that Malone was planning to start his own record label and film production company and Malone later won Top Rap Song at the Billboard Music Awards for ""Rockstar"" featuring 21 Savage. Malone confirmed in June 2018 that he was writing his third album, and confirmed that a festival would be taking place, organized by him, titled ""Posty Fest"", in Dallas, Texas on October 28. Malone promised a ""blockbuster"" lineup with headliners like rapper Travis Scott.

In August, Malone broke Michael Jackson's 34-year-old record for most weeks on Billboard's Top R&B/Hip-Hop Albums chart, with Stoney reaching its 77th week on the ranking compared to the 76 weeks that Thriller spent. A collaboration album with rapper Mac Miller was also teased in August 2018. During his appearance on The Tonight Show Starring Jimmy Fallon, he previewed his song ""Sunflower"", a collaboration with Swae Lee, from the soundtrack to the film Spider-Man: Into the Spider-Verse. In November 2018, it was confirmed Malone was recording his third album in his Utah home.

Malone was nominated for 4 awards at the 61st Grammy Awards for his album beerbongs & bentleys. Among the nominations was Album of the Year and Record of the Year. He performed with the Red Hot Chili Peppers at the awards show on February 10, 2019.

In July 2019, Malone released the single ""Goodbyes"" featuring Young Thug and also announced the Runaway Tour with Swae Lee as the opener. On August 5, Malone shared a snippet of an unreleased track ""Circles"" on YouTube. He then performed the song at his second annual Bud Light: Dive Bar concert and confirmed that the official song would be released the following week. That same day and on July 25, 2019, at Cheyenne Frontier Days he announced the album was finished. He released the song on August 30, 2019. He confirmed that his third studio album would be released on September 6, 2019. On August 26, 2019, Malone announced on Twitter that his third album was called Hollywood's Bleeding and would be released on September 6, 2019. The album debuted at number one on the Billboard 200, selling 489,000 album-equivalent units in its first week. Hollywood's Bleeding would also go on to be nominated for Album of the Year at the 63rd Grammys.

On March 12, 2020, Malone's concert at Denver's Pepsi Center proceeded as scheduled, drawing a sellout crowd of 20,000, likely the last large-scale enclosed gathering in the U.S. before COVID-19 pandemic lockdowns. Malone received backlash for not canceling his sold-out arena show amid rising concerns over the COVID-19 pandemic. Reportedly, future U.S. tour dates in March were postponed by Live Nation on March 12, 2020.

On April 24, 2020, Malone announced that a new album was in progress during a live stream performance. In late April 2020, Malone performed a live-streamed set consisting entirely of Nirvana covers from his home. Malone sang lead vocals and provided rhythm guitar for the set. He was accompanied by drummer Travis Barker, bassist Brian Lee and lead guitarist Nick Mac. The performance raised over $5 million for the World Health Organization's COVID-19 relief fund. The performance also received praise from Nirvana's surviving members Krist Novoselic and Dave Grohl, as well as Kurt Cobain's widow Courtney Love.

In June 2020, Malone was featured on Tyla Yaweh's single, ""Tommy Lee"". The single was followed up with a remix, released July 10, 2020, featuring drums from Tommy Lee himself, as well as a re-recorded guitar instrumental. A second remix to the song, featuring rapper Saint Jhn, was released subsequently. On April 30, 2021, Malone was featured on DJ Khaled's twelfth studio album Khaled Khaled on the song ""I Did It"" also featuring DaBaby, Megan Thee Stallion, and Lil Baby.

On July 9, 2021, Malone released the single ""Motley Crew"" with an accompanying music video, featuring several guest stars, past collaborators, and friends including Tommy Lee, Tyga, Tyla Yaweh, and his manager Dre London. The music video was directed by Cole Bennett of Lyrical Lemonade. On November 5, Malone released ""One Right Now"" with the Weeknd, as the lead single from his fourth studio album. On January 26, 2022, during his cover story will Billboard, Malone revealed that his fourth studio album would be titled Twelve Carat Toothache. In April 2022, Republic Records relaunched Mercury Records with a new roster that includes Post Malone. On April 27, 2022, Post revealed that Twelve Carat Toothache would be released on June 3, 2022. Malone released the album's second single, ""Cooped Up"" with Roddy Ricch, on May 12, 2022.

On May 14, 2022, he appeared as a musical guest on Saturday Night Live and performed ""Cooped Up"" with Ricch, as well as an unreleased song titled ""Love/Hate Letter to Alcohol"", in which he was joined by Fleet Foxes. Malone had previously confirmed that he had worked with Fleet Foxes frontman Robin Pecknold on a song for the album.

For the 2022 Chip 'n Dale: Rescue Rangers film, Malone covered the theme song from the 1989 television series of the same name, originally performed by Jeff Pescetto in the series and by The Jets in album releases.

On August 12, 2022, the documentary film Runaway premiered on the Amazon Prime Video channel Freevee. It showed behind-the-scenes moments from the first leg of the Runaway Tour in 2019, as well as performances from some of the highlighted dates, such as New York City, Chicago, and the 2019 Posty Fest in Arlington.

In April 2023, Malone announced that he was working on a new album. On April 14, 2023, Malone released ""Chemical"", as the lead single from his fifth studio album AUSTIN. On April 21, 2023, Malone released The Diamond Collection, a nine-song compilation of his record-breaking eight RIAA Diamond-certified singles, along with the single ""Chemical"".

Malone cites Bob Dylan, in whom he became interested around the age of 15, as an influence on his music, calling him ""a genius"" and ""a god"" though his music has been called ""about as far away from Rock n' Roll as you can get"". He called ""Subterranean Homesick Blues"" the ""first rap song"". He has a tattoo of Dylan as well. Malone has cited Kurt Cobain and Johnny Cash as key influences too. Malone has also cited 50 Cent, whom he called a legend, Kanye West and Key! as influences. <a href=""https://www.last.fm/music/Post+Malone"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
6,6,becky g,1176164,20343973,"Rebbeca Marie Gomez, ""Becky G"", (born in Los Angeles, March 2nd 1997) is an American rapper and singer/songwriter. Her musical career began in 2009 when she joined a girl group called ""G.L.A.M."", then later joined another girl group called ""BCG"" however she'd previously made small modeling and acting appearances. Becky's career was kickstarted in 2011 when she posted a remake of Kanye West and Jay-Z's ""Otis"" to YouTube. The video never went viral, however it was discovered by major music producer Dr. Luke a week after it was published, and she was soon signed to Kemosabe Records. Since then, Becky has released many covers and remakes on her YouTube channel ""BeckyGOfficial"", and she's dueted with major pop artists such as Cody Simpson, Will.I.Am, Cher Lloyd, Austin Mahone, Pitbull and many others. In April 2013 she released the video for her remake of Jennifer Lopez's ""Jenny From The Block"" entitled ""Becky From The Block"", which JLo cameoed in. In July 2013 she released her debut EP ""Play It Again"" which features 5 tracks including the singles ""Play It Again"", and ""Can't Get Enough"" which features Pitbull. Becky's songs, ""Problem (The Monster Remix)"" featuring Will.I.Am and ""Magik 2.0"" featuring Austin Mahone were featured in the family films ""Hotel Transylvania"" and ""The Smurfs 2"". In April 2014 Becky won her first award at the Radio Disney Music Awards for ""Best New Artist"", and in the same week she released her hit single ""Shower"". There is no set release date for Becky's debut album, however it's been said that it will be sometime in October. <a href=""https://www.last.fm/music/Becky+G"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
7,7,natti natasha,306506,4359458,"Natalia Alexandra Gutiérrez, known by her stage name Natti Natasha, is a Dominican reggaeton singer, songwriter, and actress. Hailing from Santiago de los Caballeros, Dominican Republic, Natasha grew up surrounded by endless musical influences and enrolled in Santiago’s School of Fine Arts at the age of seven where she developed her singing abilities, describing her time at the school as “one of the best of her life.” Her studio experience would begin as a teenager when she would record songs as a hobby and later alongside friends.

This all led up to her decision to make the biggest and riskiest move of her life, and that was to move to the United States. She settled in the Bronx, New York, or “the City of the Dreams and Dreamers” for young, aspiring musicians like her at the time. In a 2019 interview with Billboard, Natti called the move “one of the craziest moves anyone ever did in her family,” and that she often looks back at the decision and wonders what she was doing. Natti would hop from studio to studio, working without pay, but to her, this was a way to get her name out there. A producer friend from Santiago would soon step in and lend her his New York studio.

Natti’s first-ever break came when icon Don Omar signed her to his record label, the Orfanato Music Group, and the pair would go on to make history for years to come. Their collaborations “Dutty Love,” “Tus Movimientos,” “Perdido en tus Ojos,” and a “Hold Ya” remix with Gyptian made waves across Latin America and introduced the world to future reggaeton royalty. Her debut project, an EP titled “All About Me” was released on March 28, 2012.

Natti would continue to make big career moves throughout the years including her departure from Don Omar’s record label and signing onto Pina Records in 2016, but it wasn’t until 2017 when her big breakout would come once and for all. Not only did she record and release a collaboration titled “Otra Cosa” alongside the legendary Daddy Yankee, but she also released what was arguably the biggest song of 2017. “Criminal” featuring Ozuna became an instant hit upon its release, the music video amassing over 1 billion views in just five months and becoming the most watched music video by a female singer released that year.

2019 saw the release of her much-anticipated debut album, “ilumiNATTI,” on February 15. 15 tracks made up the project with two collaborations in total, “Te Lo Dije'' with Anitta and “Soy Mía” with Kany García. Standout track “La Mejor Version de Mi” would transform into a bachata hit with its remix featuring bachata king Romeo Santos.

Natti’s sophomore album titled “NATTIVIDAD” would be released two years later on September 24, 2021 with 17 tracks featuring several chart-topping collaborators such as Becky G, Maluma, and Prince Royce. The release was followed up by the six-episode docuseries titled “Everybody Loves Natti” which documented her pregnancy and relationship with fiancé Raphy Pina. The series premiered on November 19, 2021 on Amazon Prime Video and was generally well received. <a href=""https://www.last.fm/music/Natti+Natasha"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
8,8,bad gyal,345058,18540046,"Alba Farelo Solé (born 7 March 1997), known professionally as Bad Gyal, is a Spanish singer, songwriter, DJ and model. Known for her distinctive overall use of Auto-Tune, Bad Gyal has developed a strong cult following ever since her musical career began in 2016, with her uploading an interpretation of Rihanna's ""Work"", sung in Catalan, to YouTube. She continued to make music as an independent artist, releasing records like ""Indapanden"", ""Jacaranda"" and the popular ""Fiebre"". Bad Gyal later released two mixtapes: Slow Wine Mixtape (2016) and Worldwide Angel (2018), which consecrated her as an emerging artist within the Spanish urban scene. <a href=""https://www.last.fm/music/bad+gyal"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
9,9,chimbala,68874,615846,
