track_name,artist_name,release_date,id_track,popularity,genero
Antiaéreo,Arde Bogotá,2020-03-02,15tDDogDQ8kOcs5b6G2bN5,56,indie
Virtud y Castigo,Arde Bogotá,2020-06-12,2srHBWxK0igCV4kr5M9CNb,53,indie
Heat Waves,Glass Animals,2020-08-07,3USxtqRwSYz57Ewm6wWRMp,81,indie
Big Bang,Arde Bogotá,2020-03-06,7C7SLKvtxccPetB5uxvfeI,50,indie
Heather,Conan Gray,2020-03-20,4xqrdfXkTW4T0RauPLv3WA,80,indie
Cap. 2: Havia de Passar,"La Fúmiga, The Tyets",2020-11-10,1pNNfZlSlIPTQOfoPhgdAf,48,indie
Te Van a Hacer Cambiar,Arde Bogotá,2020-06-12,1kvXQ1fSFLdlvjVkepXlFJ,48,indie
Shut up My Moms Calling,Hotel Ugly,2020-02-10,3hxIUxnT27p5WcmjGUXNwx,80,indie
The Cut That Always Bleeds,Conan Gray,2020-03-20,7wTqEW5nrMhvyEhEyTnOMd,80,indie
Without Me,Halsey,2020-01-17,6FZDfxM3a3UCqtzo5pxSLZ,78,indie
Lo sabía,"Babi, Miranda",2020-01-16,66INQAd3dSAst7uZOVbeWu,49,indie
Partido a Partido,"Leiva, Joaquín Sabina",2020-09-25,6yGQ5s5denSu8fX0VHGh69,47,indie
Quiero Casarme Contigo,Arde Bogotá,2020-05-08,6GGAFbhP3EPEoB962gXHH6,45,indie
lamento de una supernova,Ralphie Choo,2020-12-18,2nCKy4vv2pFBOoY25jcDQA,49,indie
Mundo imperfecto,Sidecars,2020-09-04,2u0cV9ctd6AcnMBbDFk88b,44,indie
NASA,Babi,2020-06-04,40NZgN1uNdeZzPKjkM1QIW,51,indie
En Busca Del Fuego,Ciudad Jara,2020-08-07,0rI2fB2djyWzZu1Kt73WAv,44,indie
Vanana Megamix,"ELYELLA, INNMIR, Amatria, WISEMEN PROJECT, Ginebras, Karavana",2020-12-10,31scSkD3fOW4hSykDv0SAS,43,indie
Olalla,Blanco White,2020-06-05,1z75CRovSzKUOpYbrV4Fuo,64,indie
Honeypie,JAWNY,2020-10-27,6FfLg6FFqhCsrFOaHIGkg0,72,indie
Howlin' for You,The Black Keys,2020-12-18,4yffABDkB5A9flvr9vQFck,63,indie
"Los Abrazos Prohibidos (feat. Alice Wonder, Andrés Suárez, Carlotta Cosials, Christina Rosenvinge, Dani Martin, Depedro, Eva Amaral, Ismael Serrano, Iván Ferreiro, Kase.O, Leiva, Luz Casal, Maika Makovski, Marwán, Nacho Vegas, Nina de Juan, Rozalén, Joaquín Sabina, Santi Balmes & Xoel López)","Vetusta Morla, Alice Wonder, Andrés Suárez, Carlotta Cosials, Christina Rosenvinge, Dani Martín, Depedro, Eva Amaral, Ismael Serrano, Ivan Ferreiro",2020-05-08,3qKzESguQJ7GpqWf6K2hOE,43,indie
El Carro de la Vida - Versión Acústica,"Sinkope, Adormidera, Antílopez, Ara Malikian, Aurora Beltrán, BAMBIKINA, Derby Motoreta’s Burrito Kachimba, El Drogas, Kutxi Romero, La Ira",2020-07-17,7LVBTC1yuwJxoEm9kAyTbl,41,indie
Wildfires,SAULT,2020-06-19,4Tzw9IdZbVyzmpWrvsGaNX,68,indie
This Side of Paradise,Coyote Theory,2020-12-11,79EkGysjP2dL5GdpeQjRxT,73,indie
Madrid Sin Ti,Niña Polaca,2020-09-25,5TTI8OazEkZj9tFqvyletF,40,indie
Texas Sun,"Khruangbin, Leon Bridges",2020-02-07,24ntSW3QVJzR79lHAAOTaY,70,indie
forwards beckon rebound,Adrianne Lenker,2020-10-23,6PBanBy8L1K2Ry4UN186XH,74,indie
Maniac,Conan Gray,2020-03-20,6KfoDhO4XUWSbnyKjNp9c4,71,indie
Bailé,Ciudad Jara,2020-02-07,44pgUrLmuGZ5v83AIHgeQZ,40,indie
