,artist,listeners,playcount,bio_content
0,jhayco,306734,10701045,"Jesús Manuel Nieves Cortez (born April 9, 1993), known professionally as Jhayco (formerly Jhay Cortez), is a Puerto Rican singer and rapper from Río Piedras, San Juan. After releasing multiple EPs, his debut studio album, Famouz, was released in 2019. The album contained features from J Balvin, Bad Bunny, Rafa Pabön, C. Tangana, Almighty, Tainy & Zion y Lennox. The album also contained his breakout songs No Me Conoce and No Me Conoce - Remix.

He released a deluxe version of the album titled Famouz Reloaded in 2020, with features from Haze, KAROL G, Myke Towers, Ozuna & Wisin y Yandel. This deluxe version also contained the song Como Se Siente which was remixed by Bad Bunny and included on his 2020 B-sides album LAS QUE NO IBAN A SALIR. Jhayco was also featured on Bad Bunny’s album El Ultimo Tour Del Mundo on the song DÁKITI.

In 2021, Jhayco released his album Timelezz which contained features from Kendo Kaponi, Arcangel, Myke Towers, Anuel AA, Skrillex and Buscabulla. This album gave Jhayco more hits such as Ley Seca, Dile (Homenaje) and Christian Dior. <a href=""https://www.last.fm/music/Jhayco"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
1,j balvin,1404209,47555907,"José Álvaro Osorio Balvin (born May 7, 1985), known professionally as J Balvin, is a Colombian reggaeton singer. Balvin was born in Medellín, Colombia, where he became interested in music at a young age. At age 17, he moved to the United States and learned English, which influenced the music he would make later. He then returned to Medellín and gained local popularity by performing at various clubs around the city.

Though his music is primarily reggaeton, J Balvin has experimented with a variety of musical genres in his work, including electronica, house music, trap, and R&B. He has collaborated with artists such as Pharrell Williams, Major Lazer, and Sean Paul. Despite working with many English-speaking artists, J Balvin continues to sing almost exclusively in Spanish, and hopes to introduce Spanish-language music to a global audience. He is also noted for his eclectic and colorful fashion sense. 

Balvin's breakthrough came in 2014 with the single ""6 AM"" featuring Puerto Rican singer Farruko which peaked at. The song, along with the single ""Ay Vamos"", bolstered sales of his debut album La Familia. In 2016, he released Energia, which included the hit singles ""Ginza"", ""Bobo"", ""Safari"", and ""Sigo Extranandote"". In June 2017, J Balvin released the single ""Mi Gente"" with Willy William, which achieved international success and later reached one billion views on YouTube. This preceded the release of his fifth full-length album, titled Vibras, the concept for which was developed from the moment ""Mi Gente"" started ""connecting with audiences around the world,"" presented as a fusion of reggaeton with different worldwide styles and rhythms. It received favorable reviews from critics and audiences alike, with Juana Giaimo of The Guardian praising the sound of the reggaeton music on the album by calling it ""smooth"" and ""sensual"", and dubbing it the ""perfect party playlist, [which] confirms that the noisy style of early reggaeton hits such as Daddy Yankee's 'Gasolina' is slowly being left behind.""

He has also collaborated with Cardi B and Bad Bunny on the US Billboard Hot 100 number-one single ""I Like It"".  <a href=""https://www.last.fm/music/J+Balvin"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
2,rauw alejandro,739068,54093932,"Raúl Alejandro Ocasio Ruiz, known professionally as Rauw Alejandro, is a Puerto Rican singer and rapper. Referred to as the ""King of Modern Reggaeton"", he belongs to ""the new generation"" of Puerto Rican urban musicians. His debut studio album, Afrodisíaco, was released in November 2020. His second studio album, Vice Versa, released in June 2021, featured the lead single ""Todo de Ti"". He has won one Latin Grammy Award from four nominations.

Rauw Alejandro's music style includes Latin R&B, reggaetón, rhythmic pop and ballads. Billboard commented that it has helped ""set him apart from a growing class of pop-leaning reggaetoneros"". He was influenced early on by Presley and Jackson, and later by Ricky Martin, Daddy Yankee and Chris Brown. He also cites Ciara as a musical inspiration. <a href=""https://www.last.fm/music/Rauw+Alejandro"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
3,beéle,92008,965757,"Brandon De Jesús López Orozco, mejor conocido como Beéle, es un cantante y autor enfocado en sonidos del caribe y el mundo urbano. Nacido en Barranquilla, Colombia, el cantante de 17 años empezó su carrera a los 13 años.

En el 2019, fue firmado por DJ Luian y Mambo Kingz: Hear This Music, con el tema “Loco” como su debut. Beéle ha colaborado con otros artistas, como Montano, Totoy, Farruko, Natti Natasha, Manuel Turizo, entre otros. <a href=""https://www.last.fm/music/Be%C3%A9le"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
4,danny ocean,402169,8298757,"Daniel Alejandro Morales Reyes (born 5 May 1992), known by his stage name Danny Ocean, is a Venezuelan singer, songwriter and record producer born in Caracas, Venezuela. He began his professional music career in 2009 with the creation of his YouTube channel. Daniel  is best known for his song ""Me Rehúso"", the first Latin solo artist song to reach 1 billion streams on Spotify, which it did in 2020. <a href=""https://www.last.fm/music/Danny+Ocean"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
5,myke towers,507685,18141369,"Myke Towers, whose real name is Michael Torres, is a Puerto Rican rapper and composer born on January 15, 1994 in Río Piedras, Puerto Rico. Since his teenage years, Myke Towers has been involved in the underground rap scene in Puerto Rico under the name Mike Towers, and his first compositions and freestyles were published on his SoundCloud account. He gained recognition in 2014 with songs such as ""Día de cobro"", ""Por Mí"", ""Es Normal"" and ""En los Bloques"". He also gained attention in the urban music scene with his freestyle ""La Nueva Droga"" and his cover of the original song ""0 to 100"" by Drake.
In 2016, he released his first album project, the mixtape ""El final del principio"" , which gained recognition and reached the top of the iTunes chart. In 2018, he achieved success with the tracks ""No Pensarte"" with Juhn and ""Pa La Pared"" with Darell, in addition to collaborating on hits such as ""Darte"" and ""La forma en que me miras"".    In 2020, he released his second studio album, ""Easy Money Baby"", and continued to release hit singles and collaborate with various artists. In 2021, he released his album ""LYKE MIKE"", and continued to engage in successful collaborations. In 2023, he released ""LA VIDA ES UNA"". <a href=""https://www.last.fm/music/Myke+Towers"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
6,lunay,267047,4122657,"Lunay is a Puerto Rican reggaeton artist whose charting collaborations with artists such as Daddy Yankee, Anuel AA, Bad Bunny, and Zion & Lennox resulted in him scoring his own recording contract. 

Born in Puerto Rico in 2000, Lunay was far more interested in soccer than music as a young teen, but he caught the bug at 15. A year later, he was creating freestyle raps and uploading them to his Facebook and SoundCloud pages. Several of his audio clips went viral and caught the attention of producers Chris Jedi and Gaby Music, who signed him to a production deal on their Record Label - La Familia. 

Throughout 2018, he seldom left the studio except for the occasional live appearance. By the spring of 2019, he was all over the charts on his own and as a collaborator. His single, ""Soltera,"" landed at number 73 on the Hot 100, while its remix hit 28 on the Emerging Artists chart. He toured Europe during the early summer of 2019 and performed at the year's Premios Juventud Awards, winning one for Best New Artist. In late October, just 14 months into his career, he issued his debut lalbum, Epico. 

Lunay enlisted a slew of guests for various tracks including ""Mi Favorita"" with Wisin y Yandel, ""La Cama"" with Myke Towers, Aventura"" with Anuel AA and Ozuna, and the ""Soltera"" remix featuring Daddy Yankee and Bad Bunny.  <a href=""https://www.last.fm/music/Lunay"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
7,tainy,579620,23524994,"Marcos Efraín Masís Fernández (San Juan, 9 de agosto de 1989), conocido artísticamente como Tainy, es un productor musical, compositor y DJ puertorriqueño.1

Sobresalió en el género cooperando en la producción Mas Flow 2, a la edad de quince años, y posteriormente junto a Luny Tunes en el álbum Mas Flow: Los Benjamins a la edad de diecisiete.​ En una lista realizada por Billboard en 2021, fue incluido dentro de los mejores diez productores del siglo XXI.

En una entrevista, Tainy afirmó que su carrera se puede definir en tres momentos cruciales, partiendo por el éxito del álbum Barrio Fino de Daddy Yankee, que lo motivó a producir canciones y le permitió conocer al dúo Wisin & Yandel; mientras que los otros casos ocurrieron durante sus trabajos con J Balvin (Vibras) y Bad Bunny (X100pre), donde pudo experimentar y participar más en la composición, usando guitarras y pistas de synth-pop.​ En otras entrevistas afirmó que las oportunidades dadas en álbumes como Más Flow 2 y Pa'l Mundo le ayudaron a ""poner su nombre en el mapa"". <a href=""https://www.last.fm/music/Tainy"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
8,darell,161050,1544541,"One of the most sought-after artists from the latest wave of the Urban Latin movement, Puerto Rico native Darell emerged as both a sought-after composer in 2018, playing a definitive role in numerous hits and attracting a rapid fan base back home. Among many smashes, Nío García, Casper Mágico y Bad Bunny’s “Te Boté REMIX” [feat. Ozuna, Nicky Jam y Darell] stood out as one of the year’s most heard and streamed songs, spending 41 weeks on the Latin Airplay chart and peaking at #2. Not to mention, it held #1 on the Billboard Hot Latin Songs Chart for 11 weeks during a 41-week stay on the chart. Additionally, it generated a staggering 1.6 billion views and 658 million streams. He garnered his very first major nomination at a Latin award show for the song, being nominated for “Remix of the Year” at Premio Lo Nuestro.

To date, his collaboration with Brytiago, “Asesina,” has received over 347 million views and 186 million streams, while “Tu peor error” ignited 84 million views and 20 million audio streams. A key element in a string of hits, he has also written songs for the likes of Daddy Yankee, Nicky Jam, Anuel AA, Ozuna, Bad Bunny, and more. He regularly tours the U.S., Peru, Chile, Argentina, Colombia and beyond. <a href=""https://www.last.fm/music/Darell"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
9,mau y ricky,164705,2212520,"For the past few years, Mauricio and Ricky Montaner had been busy writing songs for other artists like Thalía, Miguel Bosé, Diego Boneta, Yuridia, Leslie Grace, to name a few, until recently when they decided the songs they were composing would be for their EP titled Arte under the label of Sony Music.

The young duo, Mau y Ricky, sons of music icon Ricardo Montaner, have released the album's first single, ""Voy Que Quemo,"" a song they decided best represents the music that is coming out in the LP, expected to release in July. ""After writing so many songs, it just seemed natural to start recording an album,"" Ricky, 25, tells Billboard, speaking on behalf of the duo since Mau was on vocal rest. ""We have 10 songs and an 11th that is an instrumental track. 'Voy Que Quemo' seemed like the best song to release first, and we're feeling super excited and nervous.""

Mau y Ricky partnered with Latin Grammy winner Julio Reyes Copello to produce their album and credit him for allowing them to grow artistically and teach them about following their intuition. ""We've grown as producers and songwriters, thanks to him. We also learned that the intuition of an artist is so important and it's something that needs to be respected because your intuition will differentiate you from others. We learned to write for ourselves and put out songs that will represent who we are.""

And that's exactly what Mau y Ricky did. They followed their intuition after listening to their song ""Arte"" which was almost going to be pitched to Wisin, but Ricky says, ""It didn't feel right for another artist to sing this song."" Another man they have to thank for guiding them since they started composing at a very young age is their father, who has written hit singles like ""La Cima del Cielo,"" ""Déjame Llorar"" and ""Me Va a Extrañar.""

""We've written songs together, so working with him helps you grow a lot because he's a very hard critic. Every song I've written since I was 8 years old, I'd run it by him and he'd give me feedback. He actually just heard the final product of our album and he loved it, thank God. But the best thing is that he's a fan of ours and we're huge fans of him. Yeah, he's my dad, but I'm a huge Ricardo Montaner fan.""

Besides a new album, Mau y Ricky fans can expect to see them onstage soon as they go out on tour. ""We haven't toured in such a long time because we were busy writing for others then started working on this album, but the stage is our natural habitat and where we feel most comfortable."" <a href=""https://www.last.fm/music/Mau+y+Ricky"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
