,artist,listeners,playcount,bio_content
0,leiva,79070,1909850,"José Miguel Conejo Torres (Madrid, 30 de abril de 1980), más conocido como Leiva, es un músico, cantautor español y multiinstrumentista de rock. En 2001, formó junto a Rubén Pozo la banda de rock en español Pereza, con la que grabó seis discos hasta su separación en 2011. Tras la disolución del grupo, inició una carrera en solitario en la que lleva cuatro discos grabados. <a href=""https://www.last.fm/music/Leiva"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
1,viva suecia,29464,1199915,
2,oques grasses,21764,941459,
3,cigarettes after sex,2234037,202600194,"Cigarettes After Sex is an American ambient pop musical group led by Greg Gonzalez, founded in El Paso, Texas in 2008. Since their formation, they have released 3 albums, one EP, and numerous singles.

Through music recommendations, Cigarettes After Sex has gained millions of views on YouTube leading to live performances across Europe & the US.

http://cigarettesaftersex.bandcamp.com/ <a href=""https://www.last.fm/music/Cigarettes+After+Sex"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
4,syml,1018720,18350351,"Translated as “simple” in Welsh, SYML is the creation of Brian Fennell, Seattle-native and founding member of the band Barcelona. With a keen grasp on textural and emotive songwriting, Fennell combines bare piano, minimalist synth and string-scapes, and etherial vocals to create the sounds of SYML. Accumulating many previous placements in TV and film with Barcelona, Fennell is no stranger to crafting songs that evoke movement and image when you close your eyes. Ranging from dark to light and sad to hopeful, SYML’s songs are sure to take the listener on a journey through the senses. 

 <a href=""https://www.last.fm/music/SYML"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
5,banners,647412,8331365,"BANNERS, the stage name of English musician Michael Joseph Nelson, is a singer, songwriter, and musician hailing from Liverpool. Nelson, who plays piano and guitar, emerged on the music scene in 2015 and has since garnered significant attention for his lush indie anthems characterized by velvety falsetto vocals and captivating melodies.

Born and raised in Liverpool, Nelson's passion for music was nurtured from an early age within his musically inclined family and through his involvement with the Liverpool Cathedral Choir. His deep-rooted love for music eventually led him to pursue a solo career.

In 2015, Nelson, then known as Raines, released his debut single ""Ghosts."" Shortly after, he adopted the moniker BANNERS and released his breakout single ""Shine a Light"" in August 2015. The song quickly gained traction, peaking at number 5 on the Billboard Canada Rock chart and number 71 on the Canadian Hot 100.

BANNERS signed with Island Records in 2016 and released his self-titled debut EP, produced by Stephen Kozmeniuk, in January of that year. The EP featured the previously released singles ""Shine a Light"" and ""Start a Riot,"" along with two new tracks. The EP went on to debut at number 67 on the Billboard Canadian Albums chart. The singles ""Start a Riot"" and ""Half Light"" amassed millions of streams, while ""Someone to You"" surpassed 1.5 billion streams.

BANNERS has since toured with notable acts such as Milky Chance and POP ETC, performed on national television shows like American Idol and Jimmy Kimmel Live!, and had his songs featured in numerous films and TV shows.

In October 2019, BANNERS released his highly anticipated debut studio album, Where the Shadow Ends, which was preceded by the singles ""Got It In You"" and ""Where the Shadow Ends."" The album showcased BANNERS' continued growth and versatility as an artist and was supported by a successful North American headline tour.

BANNERS' music has resonated with audiences worldwide, with his songs often described as anthemic, haunting, and inspiring. Nelson's emotive vocals and heartfelt songwriting contribute to the sincere and organic nature of his music. Drawing comparisons to Coldplay's Chris Martin, his music possesses a timeless quality that fosters a sense of community and connection.

Nelson's aspiration is to create music that becomes the soundtrack to moments in people's lives, fostering a deep emotional connection with his listeners. As he continues to evolve as an artist, BANNERS strives to deliver songs that uplift and resonate, offering a respite and inspiration to all who listen. <a href=""https://www.last.fm/music/Banners"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
6,carolina durante,48049,3015364,"Carolina Durante es una banda madrileña formada en 2017, cuya música puede catalogarse dentro de géneros como el punk, el pop o el indie. La agrupación musical está compuesta por Diego Ibáñez, Martín Vallhonrat, Juan Pedrayes y Mario del Valle.​ <a href=""https://www.last.fm/music/Carolina+Durante"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
7,babi,55562,1905582,"Bárbara Guillén Cantarero (Madrid, España, 24 de junio de 1999) conocida artísticamente como Babi, es una cantante y compositora española reconocida por sencillos como ""Lo jodiste"", ""Colegas"" y ""Desierto"". De ritmos lentos, Babi define su música como triste aunque se mueve entre lofi, rap y trap.
Comenzó a escribir canciones en 2014 como una terapia, influenciada por raperos como Calero y Canserbero, y años después comenzó a compartir sus canciones, las cuales fueron muy bien recibidas por un público joven. Babi se atrevió a iniciar su carrera publicando en Youtube covers de algunos artistas como Juancho Marqués o C Tangana.
Actualmente tiene colaboraciones con Xenon, G Sony (rapero), Miranda, Marc Seguí, Ly Raine, entre otros. <a href=""https://www.last.fm/music/Babi"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
8,kevin kaarl,214889,8685595,"Kevin Kaarl es un joven cantautor de tintes nostálgicos y norteños, cuyo talento se ha ido abriendo camino en el mundo de la música con sus canciones de folk campirano que ha compuesto a lo largo de todo su proyecto en el que está acompañado por su hermano gemelo, Byan Kaarl, quien toca la trompeta y hace segunda voz. <a href=""https://www.last.fm/music/Kevin+Kaarl"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
9,la fúmiga,7249,290811,
10,surf curse,1565906,34225790,"A gritty and melodic Nevada-bred guitar-and-drum duo who later became a fixture of Los Angeles' D.I.Y. garage and punk scenes, Surf Curse aligned themselves with the artist-run Danger Collective label where they released albums like 2017's Nothing Yet and 2019's Heaven Surrounds You. The sudden viral success of ""Freaks,"" a song they'd released years earlier, earned them a deal with Atlantic, which issued the band's fourth album, Magic Hour, in 2022.

The project of drummer and singer Nick Rattigan and guitarist Jacob Rubeck, Surf Curse formed in Reno in 2013, issuing their first album, Buds, later that June. An EP, Sad Boys, appeared in October, after which the band relocated to L.A., where they began to establish themselves in the city's vibrant underground scene. By 2017, they'd reemerged as part of the Danger Collective and released their second album, Nothing Yet. An update on the simplistic style of their debut, Surf Curse's sound began to soften somewhat as they explored new tones and slightly more complex song structures. This trend carried over to their third LP, 2019's Heaven Surrounds You, which was inspired by Rattigan and Rubeck's favorite cult movies. <a href=""https://www.last.fm/music/Surf+Curse"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
11,tom walker,498447,6814481,"There are several artists named Tom Walker;

1. Tom Walker is an Scottish born, Manchester raised, multi-instrumentalist and vocalist signed to Sony’s Relentless Records. During 2016, he released the songs ""Sun Goes Down"", ""Fly Away With Me"", ""Play dead"" and ""Just You And I (Acoustic)"".

2. Tom Walker is a heavy metal guitarist, bassist and vocalist from Milton Keynes, UK. He self-released a single named 'Downhill Flight' in January 2008, including a B-side named 'Love is a Killing Thing'. He then self-released an album by the name of 'Another Ode' on March 25th 2008, from which Downhill Flight is taken. On August 8th 2008 he released a new single entitled 'Within the Cloud of War' through the file-sharing website Mediafire. The single was the first from his 14-track, hour long album 'Checkpoint', which was released on February 19th 2009. Three other singles have been released from this album, 'Storm's Coming' in September 2008, 'Come Back To Me' in March 2009 and 'Welcome to the Village' in May 2009. He also released a stand-alone single named 'Heart of Your Soul' on Valentine's Day, 2009. He then released his third major project, an EP named 'You Can't Stop Me', and has since released a standalone single named 'Hillside View'. 

3. An American musician famous for 'Bit Part Demon'. <a href=""https://www.last.fm/music/Tom+Walker"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
12,la bien querida,69687,2072391,"La Bien Querida (The Well Liked) is the stage name Ana Fernández-Villaverde (born in Bilbao, November 6, 1972) used to develop her musical career. A painter by trade, she decided to initiate in 2007 her trajectory into the music world, motivated by the frontman of Los Planetas. <a href=""https://www.last.fm/music/La+Bien+Querida"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
13,liana flores,948288,20482789,"Liana Flores (born June 2, 1999) is a singer-songwriter of British and Brazilian descent from Norwich, England.

Her musical journey began on YouTube in 2013 under the username ""Ukulili"". During this period, she primarily focused on ukulele covers and tutorials for musical theatre and other songs. As time progressed, Liana shifted her attention towards creating original music, showcasing her talents through mashups and covers on her channel.

Liana Flores released her first EP, ""The Water's Fine,"" in June 2018, marking her debut as a recording artist. This was followed by her second EP, ""Recently,"" released in April 2019. Alongside these EPs, she continues to share her original songs on her YouTube channel, which she renamed ""Liana Flores"" in 2018.

In recent years, Liana Flores has garnered a larger following on YouTube, with over 290,000 subscribers, drawn to her original songs and captivating mashups. Her talent extends beyond the digital realm, as she has achieved significant streaming success on platforms like Spotify, with her monthly listeners surpassing 5.1 million in April 2024. Her song ""Rises the Moon"" from her EP, ""Recently"", released in April 2019 has been featured in several large Spotify playlists such as ""*end credits"", ""aesthetic"" and ""Levitate"", helping the track to reach 482 million total listeners by April 2024.

Liana has collaborated with Matt Maltese on the song, ""My Heart's Not In It"", released on March 7, 2024, reaching 250,000 listeners by April 29th, 2024. Liana released a single on April 24, 2024, the only song from 2021-2024, ""I wish for the rain"", gaining quick traction, amassing over 150,000 listeners as of April 29, 2024. 

In recent months, Liana Flores signed with Verve Records, an active American record label owned by Universal Music Group. Founded in 1956 by Norman Granz, the label is home to the world's largest jazz catalogue. 

Upon signing with Verve, Dahlia Ambach-Caplin, SVP of A&R and Artist Development at Verve said: “Liana Flores’ fresh approach to combining bossa nova and folk music creates a sound that somehow feels both completely timeless and uniquely new. She constantly amazes us with her vocal and songwriting talent and we couldn’t be more proud to have Liana join the Verve family.”

In 2024, Liana has been set to play select shows in Los Angeles, New York, Chicago, Manchester, and London, all of which sold out, with additional dates just added. <a href=""https://www.last.fm/music/Liana+Flores"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
14,la casa azul,116865,4476826,"La Casa Azul is a pop band from Barcelona, Spain formed in 1997. Their sound is often described as combining many of the qualities of 1960s American pop bands like the Beach Boys and 1970s European disco-pop acts like ABBA with clean, clear production reminiscent of Shibuya-kei. This distinctive sound is created by producer Guille Milkyway, who also writes the band's songs. La Casa Azul release their records on the indie-pop label Elefant.

The band officially consists of five members (David, Virginia, Oscar, Clara and Sergio) who appear in the band's distinctive ""retro"" music videos, though notably do not perform live, instead, Guille Milkyway sings and plays the songs solo at concerts. This, along with inconsistencies between instruments featured in the videos and those audible on the songs, has led many to believe that Guille Milkyway is in fact the sole performer on the records and uses the band ""members"" (who do not give interviews and whose last names have never been disclosed) in order to project an image.

Discography
2000 - El sonido efervescente de La casa azul
2003 - Tan simple como el amor
2005 - Como un fan
2006 - El sonido efervescente de La casa azul (Reedición)
2007 - La revolución sexual
2011 - La Polinesia meridional <a href=""https://www.last.fm/music/La+casa+azul"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
15,labrinth,2196158,61569177,"Timothy Lee McKenzie, better known by his stage name Labrinth, is a British singer, songwriter, rapper and record producer. After initially pursuing a career in music production, Simon Cowell signed him to his record label Syco Music as a recording artist, after which Labrinth became the first singer who Cowell signed without having competed on a talent show in six years. He has been referred to as ""one of the most important British musicians of his generation"".

Labrinth made his debut appearance on the UK Singles Chart in March 2010, when his collaboration with English rapper Tinie Tempah, ""Pass Out"", reached number one. Since then, songs Labrinth released have entered the chart 18 times as of 2020, as well as 5 times on the Billboard Hot 100.

Labrinth has released two solo albums: Electronic Earth in April 2012, and Imagination & the Misfit Kid in November 2019. In 2018, Labrinth formed the supergroup LSD with Australian singer-songwriter Sia and American DJ and producer Diplo. They released their self-titled debut album the following year. Labrinth has also collaborated with a number of artists as a singer, songwriter, and producer including Beyoncé, Kanye West, The Weeknd, Nicki Minaj, Ed Sheeran and Noah Cyrus.

He composed the score for HBO drama series Euphoria, for which he was nominated for two Primetime Emmy Awards, winning one, and The Lion King - Live action's soundtrack, Spirit, with Beyoncé and Ilya Salmanzadeh, achieving nominations at Grammy, Golden Globe, Critics' Choice and winning a NAACP Image Awards. <a href=""https://www.last.fm/music/Labrinth"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
16,ginebras,18711,572438,"Ginebras is a Spanish indie rock musical band formed in 2018. Its members are four women: Magüi Berto (voice and guitar), Sandra Sabater (lead guitar), Raquel López (bass) and Juls Acosta (drums).

The group was formed in 2018 at the initiative of Magüi Berto and Sandra Sabater, who studied audiovisual communication at the Complutense University of Madrid and played the electric guitar.
Through an advertisement on Tinder, where they were looking for girls to play bass and guitar. drummer, they managed to recruit Raquel López and Juls Acosta respectively. <a href=""https://www.last.fm/music/Ginebras"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
