,artist,listeners,playcount,bio_content
0,rauw alejandro,739068,54093932,"Raúl Alejandro Ocasio Ruiz, known professionally as Rauw Alejandro, is a Puerto Rican singer and rapper. Referred to as the ""King of Modern Reggaeton"", he belongs to ""the new generation"" of Puerto Rican urban musicians. His debut studio album, Afrodisíaco, was released in November 2020. His second studio album, Vice Versa, released in June 2021, featured the lead single ""Todo de Ti"". He has won one Latin Grammy Award from four nominations.

Rauw Alejandro's music style includes Latin R&B, reggaetón, rhythmic pop and ballads. Billboard commented that it has helped ""set him apart from a growing class of pop-leaning reggaetoneros"". He was influenced early on by Presley and Jackson, and later by Ricky Martin, Daddy Yankee and Chris Brown. He also cites Ciara as a musical inspiration. <a href=""https://www.last.fm/music/Rauw+Alejandro"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
1,leiva,79070,1909850,"José Miguel Conejo Torres (Madrid, 30 de abril de 1980), más conocido como Leiva, es un músico, cantautor español y multiinstrumentista de rock. En 2001, formó junto a Rubén Pozo la banda de rock en español Pereza, con la que grabó seis discos hasta su separación en 2011. Tras la disolución del grupo, inició una carrera en solitario en la que lleva cuatro discos grabados. <a href=""https://www.last.fm/music/Leiva"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
2,dani fernández,24499,586145,"Daniel Fernández Delgado was born December 11, 1991 in a town of Ciudad Real, Alcázar de San Juan, where at present lives. It studies in the Secondary School Juan Bosco.  It has a sister of 18 years old, Noelia, and its parents are named Marcial, and Mª Carmen.

It charms to come out with its friends or to be connected to Internet.  Is a great lover of the soccer and its team is the Athletic of Madrid.  Its favorite player is Sergio Agüero and many say that seems to Fernando Torres, by their cut hair , the last one in confirming it was David Bisbal. Its main fondnesses are the sport, the motorcycles, the airsoft, the karate and to dance; this last develops it in the Folklore school of Alcázar de San Juan.

Its passion is to sing.  So much is so participated in the First Edition of EuroJunior, remaining among the last twenty finalists.  Also it has participated in many programs of television, some as prominent as ""Arrasando"", or the contest ""Ciudad Real Suena"", giving him this last right to record two songs of a disk.  In 2005 it acted and gained the Prizes ""Veo Veo 2005"" of the Community of Madrid, for which represented to said community December 11 in the National Final ""Veo Veo 2005"", celebrated in Murcia.

Has the opportunity to attend the classes of the great teacher of the voice Robert Jeantal, a professional of the music.  Many large artists have had the possibility to be formed with Robert, among them Alejandro Sanz, Paloma San Basilio, Miguel Bosé, Mónica Naranjo or Malú.

In 2006 he won the edition of ""Ciudad Real Suena"", and a few time after, he surprised us to all, first telling us that had been presented to EuroJunior 2006, and later communicating us that had been selected for the final. The 6 of October of 2006 he won the EuroJunior 2006 final, and day 2 of December represented Spain in the Junior Eurovision Song Contest 2006, celebrated in the Rumanian capital of Bucharest, being in a fantastic 4º position, only being surpassed by surprising Russia, Bielorrusia and Sweden.

In year 2007 has been filled with surprises. In the early months of the year, we reported that draw to the end of this year his new single. Said and done!. Soon will market its first single, entitled ""Eres un ángel"". Those that what we have heard over, is a true marvel, and surprised many.

It is very pigheaded, and as he himself says, until obtains what is proposed not for.  Funny, nice, extroverted, friend of its friends, industrious, sincere... these words describe to Dani, they describe a boy that since small has been fighting for which really likes, to sing, and as all we can verify, now is beginning to collect its fruits. <a href=""https://www.last.fm/music/Dani+Fern%C3%A1ndez"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
3,danny ocean,402169,8298757,"Daniel Alejandro Morales Reyes (born 5 May 1992), known by his stage name Danny Ocean, is a Venezuelan singer, songwriter and record producer born in Caracas, Venezuela. He began his professional music career in 2009 with the creation of his YouTube channel. Daniel  is best known for his song ""Me Rehúso"", the first Latin solo artist song to reach 1 billion streams on Spotify, which it did in 2020. <a href=""https://www.last.fm/music/Danny+Ocean"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
4,lewis capaldi,1276246,41317137,"Lewis Marc Capaldi (born 7 October 1996) is a Scottish singer-songwriter from Whitburn, a town in West Lothian.

He first rose to mainstream prominence on 8 November, 2018, with the release of his second EP Breach, including the massive hit single ""Someone You Loved"".

2019 saw ""Someone You Loved"" charting in over 29 counties and becoming a global hit.

On 17 May, 2019, Capaldi released his debut album titled Divinely Uninspired to a Hellish Extent, including his top 10 singles ""Grace"", ""Someone You Loved"", ""Hold Me While You Wait"", amongst several other songs featured in Capaldi's previous EP's.

The debut album peaked at number one in the UK and Ireland, whilst becoming the fastest-selling album of the year, and becoming certified gold in the UK just a week after its release.

In March 2021 Capaldi announced that he postponed all his upcoming shows to work on his upcoming sophomore album. He returned in the summer of 2022 to play his postponed shows, including his headlining slots at the TRNSMT Festival, the Latitude Festival, and the Isle of Wight Festival.

The lead single ""Forget Me"" from his second album, Broken by Desire to Be Heavenly Sent, was released in September 2022 and it became his first song to debut at the top of the UK Singles Chart. His frozen pizza range Big Sexy Pizza was also released later that month in the UK supermarkets Iceland and Tesco. He achieved his fourth number-one single when ""Pointless"" climbed to the top of the UK charts in January 2023. In April 2023, his documentary How I'm Feeling Now was released on Netflix.

In April 2023, Capaldi achieved his fifth number-one song on the UK Singles Chart with ""Wish You the Best"".

On 19 May 2023, Capaldi released his sophomore studio album, Broken by Desire to Be Heavenly Sent. <a href=""https://www.last.fm/music/Lewis+Capaldi"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
5,tainy,579620,23524994,"Marcos Efraín Masís Fernández (San Juan, 9 de agosto de 1989), conocido artísticamente como Tainy, es un productor musical, compositor y DJ puertorriqueño.1

Sobresalió en el género cooperando en la producción Mas Flow 2, a la edad de quince años, y posteriormente junto a Luny Tunes en el álbum Mas Flow: Los Benjamins a la edad de diecisiete.​ En una lista realizada por Billboard en 2021, fue incluido dentro de los mejores diez productores del siglo XXI.

En una entrevista, Tainy afirmó que su carrera se puede definir en tres momentos cruciales, partiendo por el éxito del álbum Barrio Fino de Daddy Yankee, que lo motivó a producir canciones y le permitió conocer al dúo Wisin & Yandel; mientras que los otros casos ocurrieron durante sus trabajos con J Balvin (Vibras) y Bad Bunny (X100pre), donde pudo experimentar y participar más en la composición, usando guitarras y pistas de synth-pop.​ En otras entrevistas afirmó que las oportunidades dadas en álbumes como Más Flow 2 y Pa'l Mundo le ayudaron a ""poner su nombre en el mapa"". <a href=""https://www.last.fm/music/Tainy"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
6,taylor swift,5039406,2863880718,"Taylor Alison Swift is an American singer-songwriter. Her discography spans multiple genres, and her narrative songwriting, which is often inspired by her personal life, has received widespread media coverage and critical praise.

Swift rose to mainstream prominence with her sophomore studio album, Fearless (2008), a country pop record with crossover appeal. Aided by the top-five singles “Love Story” and “You Belong with Me”, Fearless was certified Diamond by the Recording Industry Recording Industry Association of America (RIAA). Swift's third studio album, Speak Now (2010), blended country pop with elements of rock and featured the top-ten singles “Mine” and “Back to December”.

Drawing inspiration from various pop, rock, and electronic genres, Swift's fourth studio album Red (2012) saw her transcending her country roots. She completely moved to pop with her synth-pop fifth studio album, 1989 (2014), and expanded the electropop sound on her next two studio albums, reputation (2017) and Lover (2019), which respectively embraced urban and retro styles. The four albums spawned a string of international top-five singles, including “We Are Never Ever Getting Back Together”, “I Knew You Were Trouble”, “Shake It Off”, “Blank Space”, “Bad Blood”, “Look What You Made Me Do”, “ME! (feat. Brendon Urie of Panic! at the Disco)”, “You Need to Calm Down”, and “Lover”.

In the midst of the COVID-19 pandemic, Swift experimented with folk and alternative rock on her eighth and ninth studio albums, folklore and evermore (both 2020), whose lead singles “cardigan” and “willow” topped charts around the world. She also released the critically acclaimed documentaries Miss Americana and Folklore: The Long Pond Studio Sessions that year. Swift's tenth studio album, Midnights (2022), marked her triumphant return to pop after two folk albums. The album set the record for biggest first day and first week ever on Spotify, spawned the hits Anti-Hero and Lavender Haze, and sold over 1.5 million copies in its first week becoming not only the biggest debut of the decade but also Swift's biggest debut ever. She would make history by becoming the first artist to occupy the entire top ten of the Billboard Hot 100 with tracks from Midnights.

Additionally, Swift began re-recording her back catalog in November 2020 as a result of a publicized dispute with talent manager Scooter Braun and her former label Big Machine, regarding the acquisition of the masters of her back catalog. In April 2021, Swift released a re-recorded issue of her 2008 album Fearless, titled Fearless (Taylor's Version). It debuted at number one in the US. Swift continued releasing re-recorded versions of her back catalog in November, 2021 with the release of Red (Taylor's Version), a 30 track re-issue of her 2012 critical smash. The album debuted at #1 in the US, spawned the #1 hit All Too Well (10 Minute Version) (Taylor's Version) (From the Vault), and broke the record at the time for biggest first day for a female album on Spotify. Red (Taylor's Version) was a critical and commercial hit, and proved that Swift's ambitious, yet ongoing plan to re-record her first 6 albums was well worth it.

Along with the release of Red (Taylor's Version) came All Too Well: The Short Film (2021), Swift's filmmaking debut. The 15 minute romantic drama was based on the lyrical content from Swift's 2012 fan favorite “All Too Well” starring Sadie Sink and Dylan O'Brien. It had a limited theatrical release in major cities, and Swift held special screenings of the film throughout 2022 at various film festivals. In December, 2022 Taylor announced that she would be making her feature directorial debut with Oscar-winning studio Searchlight Pictures.

Following the release of Midnights, Swift would embark on her first tour in five years, The Eras Tour—a retrospective tour covering the entirety of her discography. During her ongoing tour, Swift would release her next two re-recorded albums, Speak Now (Taylor's Version) in July and 1989 (Taylor's Version) in October of 2023. The former of which would land Swift as the woman with the most number-one albums (12) in Billboard 200 history, surpassing Barbra Streisand. The latter was her sixth album to sell one million copies in a single week in the US, her largest album sales in a week span. “Is It Over Now? (Taylor's Version)”, the lead single for 1989 (Taylor's Version), would peak at number one on the Billboard Hot 100.

At the 66th annual GRAMMY Awards, Taylor Swift surprised viewers by announcing her eleventh studio album, THE TORTURED POETS DEPARTMENT. On April 19, 2024, the album was released globally, breaking records: it became the first ever to amass 1 billion Spotify streams in a week and sold 2.6 million units in its first week in the US. Swift dominated the charts, monopolizing the top 14 spots on the Billboard Hot 100 and securing the top 10 positions on Australia’s ARIA Singles Chart. The lead single, Fortnight, featuring Post Malone, quickly soared to the number-one position on the Hot 100. Additionally, just two hours after the album’s release, Swift surprised fans with a reissue titled THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY, which included 15 extra songs.

Swift has released several songs for film soundtracks. She co-wrote two songs for the Hannah Montana: The Movie soundtrack— “You'll Always Find Your Way Back Home” and “Crazier”, and contributed two songs to the Valentine's Day soundtrack, including the single “Today Was a Fairytale”, which was her first number one on the Canadian Hot 100, and peaked at number two on the Billboard Hot 100. She also contributed two original songs to The Hunger Games soundtrack album: “Safe & Sound - from The Hunger Games Soundtrack”, co-written and recorded with The Civil Wars and T-Bone Burnett, and “Eyes Open”. “Safe & Sound” won the Grammy Award for Best Song Written for Visual Media and was nominated for the Golden Globe Award for Best Original Song. In 2013, Swift recorded “Sweeter than Fiction”, a song she wrote and produced with Jack Antonoff for the One Chance film soundtrack, which received a Best Original Song nomination at the 71st Golden Globe Awards. Swift and English singer Zayn Malik, mononymously known as Zayn, released a single together, “I Don't Wanna Live Forever”, for the soundtrack of the film Fifty Shades Darker (2017). She also recorded an original song called “Beautiful Ghosts”, which she wrote with Andrew Lloyd Webber for the Cats's soundtrack (2019). In 2020, Swift's documentary Miss Americana featured the song “Only the Young” which was written after the 2018 United States elections. In 2022, she released an original song titled “Carolina” for Where The Crawdads Sing (2022) inspired by the novel written by Delia Owens.

With sales of over 200 million records worldwide, Swift is a best-selling music artist. Her accolades include 14 Grammy Awards, including four Album of the Year wins, which makes Swift the artist with the most awards for that category in history, two Brit Awards (including a Global Icon award), an Emmy Award, 28 Guinness World Records, 32 American Music Awards (the most wins by an artist), and 23 Billboard Music Awards (the most wins by a woman). She ranked eighth on Billboard's Greatest of All Time Artists Chart (2019) and was listed on Rolling Stone's 100 Greatest Songwriters of All Time (2015). Swift has been included in various power rankings, such as Time's annual list of the 100 most influential people in the world (2010, 2015 and 2019) and Forbes Celebrity 100 (placing first in 2016 and 2019). She was named Woman of the Decade (2010s) by Billboard, Artist of the Decade (2010s) by the American Music Awards, and Person of the Year (2023) by Time Magazine. <a href=""https://www.last.fm/music/Taylor+Swift"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
7,enrique iglesias,2319666,42127506,"Enrique Miguel Iglesias Preysler (born 8 May 1975) is a Spanish singer and songwriter. He started his recording career in the mid-1990s on the Mexican label Fonovisa and became the bestselling Spanish-language act of the decade. By the turn of the millennium, he made a successful crossover into the mainstream English-language market. He signed a multi-album deal with Universal Music Group for US$68 million with Universal Music Latino to release his Spanish albums and Interscope Records to release English albums.

In 2010, Iglesias parted with Interscope Records and signed with another Universal Music Group label, Republic Records, to release bilingual albums. In 2015, he parted ways with Universal Music Group after being there for over a decade. He signed with Sony Music and his subsequent albums were to be released by Sony Music Latin in Spanish and RCA Records in English.

Iglesias is one of the best-selling Latin music artists with estimated sales of over 70 million records worldwide. He has had five Billboard Hot 100 top five singles, including two number-ones. Iglesias holds the record for the most number-one songs on the Billboard Hot Latin Songs chart with 27 songs and the Latin Pop Airplay chart with 24 songs. Iglesias holds the number-one position on the Greatest of All-Latin Artists charts and in October 2022 he was honored with the Top Latin Artist of All Time at the Latin Billboard Awards. Iglesias also has 14 number-ones on Billboard's Dance charts, more than any other male artist. He has earned the honorific title King of Latin Pop. In December 2016, Billboard magazine named him the 14th most successful and top male dance club artist of all time.

Studio albums
Enrique Iglesias (1995)
Vivir (1997)
Cosas del Amor (1998)
Enrique (1999)
Escape (2001)
Quizás (2002)
7 (2003)
Insomniac (2007)
Euphoria (2010)
Sex and Love (2014)
Final (Vol. 1) (2021) <a href=""https://www.last.fm/music/Enrique+Iglesias"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
8,la la love you,52396,1305916,
9,mau y ricky,164705,2212520,"For the past few years, Mauricio and Ricky Montaner had been busy writing songs for other artists like Thalía, Miguel Bosé, Diego Boneta, Yuridia, Leslie Grace, to name a few, until recently when they decided the songs they were composing would be for their EP titled Arte under the label of Sony Music.

The young duo, Mau y Ricky, sons of music icon Ricardo Montaner, have released the album's first single, ""Voy Que Quemo,"" a song they decided best represents the music that is coming out in the LP, expected to release in July. ""After writing so many songs, it just seemed natural to start recording an album,"" Ricky, 25, tells Billboard, speaking on behalf of the duo since Mau was on vocal rest. ""We have 10 songs and an 11th that is an instrumental track. 'Voy Que Quemo' seemed like the best song to release first, and we're feeling super excited and nervous.""

Mau y Ricky partnered with Latin Grammy winner Julio Reyes Copello to produce their album and credit him for allowing them to grow artistically and teach them about following their intuition. ""We've grown as producers and songwriters, thanks to him. We also learned that the intuition of an artist is so important and it's something that needs to be respected because your intuition will differentiate you from others. We learned to write for ourselves and put out songs that will represent who we are.""

And that's exactly what Mau y Ricky did. They followed their intuition after listening to their song ""Arte"" which was almost going to be pitched to Wisin, but Ricky says, ""It didn't feel right for another artist to sing this song."" Another man they have to thank for guiding them since they started composing at a very young age is their father, who has written hit singles like ""La Cima del Cielo,"" ""Déjame Llorar"" and ""Me Va a Extrañar.""

""We've written songs together, so working with him helps you grow a lot because he's a very hard critic. Every song I've written since I was 8 years old, I'd run it by him and he'd give me feedback. He actually just heard the final product of our album and he loved it, thank God. But the best thing is that he's a fan of ours and we're huge fans of him. Yeah, he's my dad, but I'm a huge Ricardo Montaner fan.""

Besides a new album, Mau y Ricky fans can expect to see them onstage soon as they go out on tour. ""We haven't toured in such a long time because we were busy writing for others then started working on this album, but the stage is our natural habitat and where we feel most comfortable."" <a href=""https://www.last.fm/music/Mau+y+Ricky"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
10,aitana,179310,8582568,"Aitana Ocaña Morales, better known as simply Aitana, is a Spanish singer and songwriter. She first gained national recognition in 2017, placing as the runner-up in series nine of the Spanish reality television talent competition Operación Triunfo, behind Amaia Romero. While competing in Operación Triunfo, Aitana released the single ""Lo malo"" with fellow competitor Ana Guerra. The song went on to become a number-one hit in Spain and was certified five times platinum, additionally being used in International Women's Day demonstrations in Spain.

Following the competition, Aitana signed with Universal Music Spain and released her debut solo single ""Teléfono"", which became her second number-one single. Its music video became the most-watched Vevo music video within twenty-four hours of all-time in Spain. Her debut extended play Tráiler was released in November 2018, becoming her first chart-topping album and the second most-streamed album within twenty-four hours of all-time in Spain. The extended play's second single ""Vas a quedarte"" became her third chart-topping hit and the most-streamed song in its first twenty-four hours on Spotify Spain, surpassing the previous record which was also held by her previous release ""Teléfono"". Her debut studio album Spoiler (2019), was later released in June 2019 and became her second chart-topping album.



 <a href=""https://www.last.fm/music/Aitana"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
11,ozuna,737444,20768959,"Juan Carlos Ozuna Rosado (born March 13, 1992), known simply by his surname Ozuna , is a Puerto Rican Latin trap and reggaeton singer who is regarded as the "" New King of Reggaeton"". He has released two successful albums Odisea (2017) and Aura (2018), and since the beginning of his career, he has sold around 15 million records, making him one of the best-selling Latin music artists of all time. He made his acting debut in the film Que León. <a href=""https://www.last.fm/music/Ozuna"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
12,galvan real,6689,92480,
13,viva suecia,29464,1199915,
14,sebastian yatra,530893,11573461,"Sebastián Obando Giraldo (born 15 October 1994), known professionally as Sebastián Yatra, is a Colombian singer and songwriter. He began as a Latin pop artist and has recorded many ballads, but has released several successful reggaeton singles. Yatra is noted for his romantic lyrics, melding traditional lyricism with modern reggaeton influences. He rose to prominence in Latin America in 2016 when he released the hit ""Traicionera"". He has released three studio albums and recorded with artists from a diverse range of musical genres throughout his career.

Born in Medellín and raised primarily in Miami, Yatra began singing at a young age and returned to Colombia to begin his musical career. He achieved breakout success with ""Traicionera"" followed by ""Robarte un Beso"" featuring Carlos Vives. ""Traicionera"" served as the lead single for his 2018 debut album, Mantra, which also featured the single ""Sutra"", featuring Puerto Rican rapper Dalmata. He then released the album Fantasia including the lead single ""Un Año"" featuring Mexican band Reik. He received continued success collaborating with Daddy Yankee, Natti Natasha, and the Jonas Brothers on the bilingual single ""Runaway"".

Yatra's music has been classified as Latin pop, reggaeton, and ballads. According to The Fader, Yatras music lands ""somewhere in between the olden times’ sappy romantics and the new wave’s sensuous vibras.""He is influenced by Latin pop and reggaeton artists Ricky Martin, J Balvin, Juanes, and Reik. In an interview with Billboard, he expressed a desire to collaborate with Italian opera singer Andrea Bocelli. Yatra believes that contemporary musicians commit an ""error in associating ballads with boring and slow and old"", and hopes to rejuvenate intererest in ballads for a younger audience.However, his music contains elements of other genres; Desire Thompson of Vibe described his song ""Traicionera"" as a ""trap-EDM blend"".

Despite growing up in Florida and being fluent in English, Yatra sings almost exclusively in Spanish. Yatra explains, “My goal was always to be a singer in Spanish. And I really wanted to understand where I come from and live it. A lot of times I went to Colombia and, even though I spoke Spanish and was always speaking Spanish with my parents, I still felt like an outsider. I wasn’t 100 percent part of it. I wanted to give my roots the importance they deserve. ”His June 2019 song ""Runaway"" was his first foray into bilingual songwriting. In December 2019, he collaborated with South Korean boy group Monsta X for the song ""Magnetic"", which features verses from Yatra in Spanish and a bridge from Monsta X in Spanglish. Sara Delgado of Teen Vogue called the song a ""truly international pop hit"". <a href=""https://www.last.fm/music/Sebastian+Yatra"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
15,reik,523851,10438923,"Reik is a Mexican band from Mexicali, Baja California, Mexico. Formed by Jesús Alberto Navarro Rosas (Lead Vocals), Julio Ramírez Eguía (Guitar, Backing Vocals), and Gilberto Marín Espinoza ""Bibi"" (Backing Guitar, Backing Vocals).

In 2003, Jesús Navarro and Julio Ramirez started their then-nascent musical project, tentatively called ""Reik"". It was then they recorded their first demos, which were released through the Mexican underground club scene. Two of the most successful demos — ""Levemente"" and ""Ahora Sin Ti "" — brought more widespread coverage across Mexico. In early 2004, Reik invited Gilberto to join the band. They have been famous ever since, mainly in Latin America, Mexico, and southern parts of the United States. Their videos have been broadcasted on famous music television channels, such as MTV and HTV. 

Reik is the debut album, the first single ""Yo Quisiera"" got heavy rotation on Mexican pop radio stations and soon went to number one. Their second single ""Qué Vida La Mía"" also topped the Mexican charts as did their third single ""Noviembre Sin Ti"". Their fourth single, ""Niña"", failed to match the success of their previous singles, charting only at #33.

Their second album, Secuencia , was released on November 14, 2006, which featured the first single, ""Invierno"" (released on November 6), which gained a lot of popularity based Latin American airplay.

Reik has been nominated to the Latin Grammy in the category ""Best New Artist"". They have been nominated to ""Premios Lo Nuestro"", ""Premios Juventud"", and numerous other awards. The band also has 4 nominations to the MTV Video Music Awards Latin America in the categories of ""Best Pop Artist"", ""Best Group"", ""Best Northern Region Artist"", and ""Best Northern Region New Artist"", winning three out of four. <a href=""https://www.last.fm/music/Reik"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
16,billie eilish,3472380,605440995,"Billie Eilish Pirate Baird O'Connell (born December 18, 2001), known professionally as Billie Eilish, is a Grammy and Academy Award-winning American singer and songwriter signed to Darkroom/Interscope Records.

Born and raised in Los Angeles, Eilish grew up in a household of actors and musicians and was homeschooled along with her brother Finneas O'Connell. At the age of eight, she joined the Los Angeles Children's Choir, developing the soulful vocals that would later appear on her early singles.

After the release of ""Six Feet Under"" and ""Fingers Crossed,"" Eilish made her breakthrough with ""Ocean Eyes,"" produced and co-written with FINNEAS and released by Interscope. It surpassed 14 million online streams and spawned a number of remixes with Astronomyy, blackbear, and Goldhouse.

Eilish followed up in February 2017 with ""bellyache,"" then landed another track, ""Bored,"" on the Netflix series 13 Reasons Why. An EP, ""dont smile at me,"" featuring the singles ""COPYCAT"" and ""watch,"" followed later that summer. Her debut full-length album ""WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?,"" was released on March 29th, 2019 via Interscope Records.

On January 26, 2020, she won five Grammys, including the ""big four"" awards: Album of The Year, Record of the Year, Song of the Year, and Best New Artist. On February 18th, 2020, she won a Brit Award for International Female Solo Artist and for the first time performed her James Bond's theme song ""No Time to Die,"" joined by composer Hans Zimmer, guitar legend Johnny Marr and Finneas. The theme won Eilish and Finneas an Oscar for Best Original Song. Additionally, Eilish is the youngest musician to have ever performed the theme song for a Bond's film.

On July 31, 2021, Billie Eilish has released her Sophomore Album ""Happier Than Ever,"" which broke the internet two days after its release. Eilish performed the album at the Life Is Beautiful festival, her first performance since the pandemic.

In 2024, Eilish returned with her third studio album, ""HIT ME HARD AND SOFT,"" released on May 17, 2024. The album featured hit songs like ""LUNCH,"" ""CHIHIRO,"" and ""BIRDS OF A FEATHER."" Prior to this, her introspective ballad ""What Was I Made For?,"" a track written for the Barbie movie soundtrack, won two Grammys Awards for Best Song Written for Visual Media and Song of the Year and her second Oscar for Best Original Song. This achievement solidified her place as one of the most influential artists of her generation.

Eilish's ability to merge deeply personal lyrics with innovative production continues to push boundaries, making her one of the most compelling voices in contemporary music. <a href=""https://www.last.fm/music/Billie+Eilish"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
