,artist,listeners,playcount,bio_content
0,marc seguí,150064,2457462,
1,zzoilo,129948,1594874,"Zoilo Tuñón Rosa, más conocido como Zzoilo, es un cantante y compositor español. <a href=""https://www.last.fm/music/zzoilo"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
2,rauw alejandro,736603,53777843,"Raúl Alejandro Ocasio Ruiz, known professionally as Rauw Alejandro, is a Puerto Rican singer and rapper. Referred to as the ""King of Modern Reggaeton"", he belongs to ""the new generation"" of Puerto Rican urban musicians. His debut studio album, Afrodisíaco, was released in November 2020. His second studio album, Vice Versa, released in June 2021, featured the lead single ""Todo de Ti"". He has won one Latin Grammy Award from four nominations.

Rauw Alejandro's music style includes Latin R&B, reggaetón, rhythmic pop and ballads. Billboard commented that it has helped ""set him apart from a growing class of pop-leaning reggaetoneros"". He was influenced early on by Presley and Jackson, and later by Ricky Martin, Daddy Yankee and Chris Brown. He also cites Ciara as a musical inspiration. <a href=""https://www.last.fm/music/Rauw+Alejandro"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
3,arde bogotá,19886,1040516,
4,david otero,19618,221552,"David Otero Martín (Madrid, 17 de abril de 1980) es un cantante, guitarrista y compositor español. Fue miembro del grupo de pop rock El Canto del Loco (1994-2010). Tras iniciar su carrera en solitario al principio firmó sus discos como El Pescao, y en la actualidad con su propio nombre, David Otero. <a href=""https://www.last.fm/music/David+Otero"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
5,nil moliner,32606,671475,"Nil Moliner es músico y compositor, o como le gusta decir, “escribo
canciones y me río mucho”.
Con su disco debut Bailando en la batalla ha alcanzado el nº2 en la
lista oficial de ventas de álbumes en España. Con su single ""Soldadito
de Hierro (feat. Dani Fernández) ha ganado el certificado de Triple
Disco de Platino en España.
Además, Nil Moliner cuenta ya con varios Disco de Platino por Mi
Religión (x2), ""Bailando, ""Esperando, ""Libertad (x2) y también varios
Discos de Oro por El Despertar, Por Última Vez, Hijos de la Tierra, Sin
Tu Piel, Cien por cien, Se Me Va y Mejor así, y también Meneito junto
al colombiano Yera (disco de platino).
En 2020 obtiene el premio a Artista Revelación por Los40 Music
Awards. Su #GiraZero (2021) contó con más de 60 shows por toda
España y múltiples soldouts. En octubre de 2021 lanza su segundo
disco, Un Secreto Al Que Gritar, que incluye los éxitos Me Quedo
Mejor así, Libertad y Me quedo, con Ana Mena.
En 2022 giró con Nuestra Locura Tour, una gira de estadios, como el
Wizink de Madrid y Palau Sant Jordi, que prosiguió con su primer tour
latinoamericano, finalizando con 2 conciertos en la Razzmatazz de
Barcelona y Warner Music Station de Madrid. Cerró 2022 con Nada
que decir, junto a Marlena.
2023 ha llegado con ""Lugar Paraíso, su 3er disco, con éxitos como
Dos Primaveras, Luces de Ciudad y Vuela Alto, que marcan otra era
cargada de música que presentará en un gran concierto el 20 de abril
de 2024 en el Palau Sant Jordi de Barcelona <a href=""https://www.last.fm/music/Nil+Moliner"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
6,galvan real,6676,92049,
7,daviles de novelda,19085,182013,
8,luis cortés,5232,53522,
9,marlena,20614,427228,"Marlena is a three piece experimental rock band formed in Portland, Oregon in 2010 that blends post-metal, alternative, and post-rock to form a melancholic, rich sound, sometimes atmoshpheric, sometimes bleak. With introspective, brutally honest vocals, their sound is not easily categorized. Fans of Jesu, Mogwai, Shannon Wright, Neurosis, Cloakroom, Have a Nice Life, Rope Sect, and Planning for Burial may find like sounds in Marlena.  <a href=""https://www.last.fm/music/Marlena"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
