,artist,listeners,playcount,bio_content
0,quevedo,293425,15855179,"Pedro Luis Domínguez Quevedo es un cantante de música urbana y rapero español radicado en Canarias.​​ <a href=""https://www.last.fm/music/Quevedo"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
1,hard gz,21347,924278,
2,cano,22232,482073,"CANO is a Franco-Ontarian folk-pop collective which was active from 1975 until 1985. While Wikipedia claims that CANO was ""progressive"", the band itself describes its style as a mix of folk, rock, and jazz (see www.canomusique.com).

The name comes from the Coopérative des artistes du Nouvel Ontario (CANO), an agricultural and artistic commune established in Sudbury, Ontario.

On stage, CANO was able to produce a level of intensity only comparable to a symphonic orchestra. They did not only produce the most European music in America in their era (which may have hurt their success chances in the U.S.), they did so while bridging the tremendous cultural gap between French and English Canada by including members from both parts and singing in both languages.

Members of the band are singer André Paiement (died in 1978), violinist Wasyl Kohut (died in 1981), guitarists Marcel Aymar and David Burt, bassist John Doerr, pianist Michel Kendel, and drummer Michel Dasti.
 <a href=""https://www.last.fm/music/Cano"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
3,bad gyal,344232,18486832,"Alba Farelo Solé (born 7 March 1997), known professionally as Bad Gyal, is a Spanish singer, songwriter, DJ and model. Known for her distinctive overall use of Auto-Tune, Bad Gyal has developed a strong cult following ever since her musical career began in 2016, with her uploading an interpretation of Rihanna's ""Work"", sung in Catalan, to YouTube. She continued to make music as an independent artist, releasing records like ""Indapanden"", ""Jacaranda"" and the popular ""Fiebre"". Bad Gyal later released two mixtapes: Slow Wine Mixtape (2016) and Worldwide Angel (2018), which consecrated her as an emerging artist within the Spanish urban scene. <a href=""https://www.last.fm/music/bad+gyal"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
4,natos y waor,43249,2091659,"Dúo de rap madrileño. Cuentan con 8 trabajos a sus espaldas: ¨POR LA JETA¨ (2011), ""CATARSIS"" (2012), ""HIJOS DE LA RUINA"" (2012, ft Recycled J), ""CAJA NEGRA"" (2014), MARTES 13 (ganador del Premio MIN a mejor álbum de Hip Hop de 2015), ""HIJOS DE LA RUINA Vol. 2"" (2016, ft Recycled J), ""CICATRICES"" (2018) e ""HIJOS DE LA RUINA Vol. 3"" (2021, ft Recycled J, que es a día de hoy el disco de hip hop más reproducido en España el día de su lanzamiento en la historia de las plataformas digitales). Todos ellos han sido editados y distribuidos de forma independiente. Cuelgan el cartel de ""sold out"" allá donde pisan y suman ya más de mil millones de reproducciones en sus perfiles de Spotify y YouTube. En 2020 lanzaron ""Underground Kings"", un documental autobiográfico y autoproducido que se posicionó como lo más visto en la plataforma Movistar +. Digna de mención es su serie de videoclips ""BARRAS BRAVAS"", que cuenta ya con 22 volúmenes. <a href=""https://www.last.fm/music/Natos+y+Waor"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
5,rochy rd,111339,1402563,
6,kase.o,54940,1937130,"Kase.O es el nombre artístico de Javier Ibarra Ramos. Mc español natural del barrio de La Jota de Zaragoza, nacido en el año 1974.
Comenzó su carrera como Mc a los 11 años, grabando maquetas en su propia casa, más concretamente en el baño. En 1993, con 13 años, grabó su primera maqueta titulada Rompecabezas, con temas de 1992 y 1993. Dos años más tarde sacó la segunda maqueta, ""Dos rombos"", con temas del 1994 y 1995. Pese a su juventud, causó un gran impacto en la escena española por tener un gran talento lírico, por sus letras de contenido violento así como por el uso de palabras malsonantes. Forma parte del grupo Violadores del Verso, donde desarrolla la mayor parte de su carrera artística.
Desde que comenzó su carrera artística ha realizado multitud de colaboraciones, en los que hecho uso de otros alias alternativos a su nombre artístico Kase-O, o Jodeculos Ibarra. Así, por ejemplo, usó Versátil, su cuarto alias, colaborando en el disco ""Supervillanos de alquiler"" de Hablando en plata, Javat en el disco ""Block massacre"" de Dogma Crew y en el LP de R de Rumba, y Jab Jones en la maqueta ""Ahuizote"" de (Pablo , 2005). Además en varias de sus letras se autodenomina como: ""Ningún tipo de orden"" o ""KAOS"" refiriéndose a ello como su quinto alias. <a href=""https://www.last.fm/music/KASE.O"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
7,delaossa,38449,1390586,"Daniel Martínez de la Ossa Romero (Málaga, España, 1993) es un cantante español de género hip hop/rap conocido por el nombre artístico de Delaossa.

Ha lanzado varios singles desde 2016, y su debut discográfico se produjo en 2019 con el LP 'Un perro andaluz'. En 2020 lanzó un EP de 5 temas llamado 'La Tour Liffee', en el que le acompaña su habitual beatmaker, DJ y productor J Moods y otros músicos como Israel B, KIDDO, Gese Da O, Granuja o Cruz Cafuné. <a href=""https://www.last.fm/music/DeLaOssa"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
8,sosad.97,11252,251901,
9,ill pekeño,9660,447560,
