,track_name,artist_name,release_date,id_track,popularity,genero
0,Tiroteo - Remix,"Marc Seguí, Rauw Alejandro, Pol Granch",2021-04-01,4OwhwvKESFtuu06dTgct7i,78,pop
1,Mon Amour - Remix,"zzoilo, Aitana",2021-08-18,5TMLavqGRKNxgzMBrVpC9R,72,pop
2,La Old Skul,Rauw Alejandro,2021-12-10,4Z8HZSApeddaRM2ovivUj4,75,pop
3,Desesperados,"Rauw Alejandro, Chencho Corleone",2021-12-10,6mmPpaltUZK7xjNlBPQQ0p,74,pop
4,Todo De Ti,Rauw Alejandro,2021-12-10,3rdAz1fbUfZxYgaCviYhRo,76,pop
5,Cúrame,Rauw Alejandro,2021-12-10,1FlL8ycld6uVDDyhV7P5FA,70,pop
6,Exoplaneta,Arde Bogotá,2021-05-07,68PEuXNjodWFts3Ph4BPVv,56,pop
7,Una Foto en Blanco y Negro,"David Otero, Taburete",2021-03-05,1iBZ1b5ULbGnyhq5Xhpqql,57,pop
8,Libertad,Nil Moliner,2021-10-22,1kG7gfH4HDUlDht0VZYkiP,56,pop
9,La Magia,"Galvan Real, Raul Camacho",2021-02-21,1uw6eHdMtRlX6MtiZVJYB9,57,pop
10,Flamenco y Bachata,Daviles de Novelda,2021-02-14,6ynErSDSlxqsxg0D3LJ8sK,56,pop
11,En Sueños,"Luis Cortés, Zaira",2021-06-18,3YFfdub6AUsrzdcBTeWIQL,55,pop
12,Gitana,MARLENA,2021-07-22,1voueLCs7g2cD8NLHg1Iz7,55,pop
13,"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago PZK",2021-12-29,6VAS7m73rDopQe7BdrFMpD,66,pop
14,La Niña de la Escuela,"Lola Indigo, TINI, Belinda",2021-07-01,1g4cZvi0nLeeIycd0Rkljj,60,pop
15,Tacones Rojos,Sebastian Yatra,2021-10-22,0Be7sopyKMv8Y8npsUkax2,66,pop
16,drivers license,Olivia Rodrigo,2021-05-21,5wANPM4fQCJwkGd4rN57mH,80,pop
17,"Eladio Carrion: Bzrp Music Sessions, Vol. 40","Bizarrap, Eladio Carrion",2021-06-09,1VauUM5CBX7nkLcgafQL2B,65,pop
18,Cariño,Arde Bogotá,2021-05-07,7uWmMWEBGlBAm5B0oMpcs8,54,pop
19,Easy On Me,Adele,2021-11-19,46IZ0fSY2mpAiktS3KOqds,79,pop
20,Quiéreme Mientras Se Pueda,Manuel Turizo,2021-04-09,1WH3iquIQXnSPwUzlROT8R,70,pop
21,Shivers,Ed Sheeran,2021-10-25,50nfwKoDiSYg8zOCREWAm5,79,pop
22,A Dónde Vamos,Morat,2021-07-16,21t07fSxEHAjazqclabTEJ,68,pop
23,Formentera,"Aitana, Nicki Nicole",2021-12-02,3nfICwo20uiFdEGzgNUSrG,57,pop
24,Mala Vida,Luis Cortés,2021-02-19,3IT1XT70SguZjuUiKiUu89,53,pop
25,Todo De Ti,Rauw Alejandro,2021-05-20,4fSIb4hdOQ151TILNsSEaF,68,pop
26,"Morad: Bzrp Music Sessions, Vol. 47","Bizarrap, Morad",2021-12-08,39yyHtQ4tkjZzd8TfIBKQw,61,pop
27,Vida de Rico,Camilo,2021-03-04,4nTduFjaTmGysc9WKNuCcs,67,pop
28,BEBÉ,"Camilo, El Alfa",2021-03-04,3Zf4GutWZ7Hv3wsVQsSQPs,68,pop
29,Pareja Del Año,"Sebastian Yatra, Myke Towers",2021-04-16,2rCbl9naJYhaxjLsfx88uM,65,pop
30,Volví,"Aventura, Bad Bunny",2021-08-03,2vmfvSoZBFAt9hhRoEByLi,71,pop
31,911 (Remix),"Sech, JHAYCO",2021-07-09,27RSJHEA99Y0Vsow7nA37A,63,pop
32,Cosa Guapa,Rauw Alejandro,2021-12-10,7aWiJeMyxxPEyjwvZyauAF,68,pop
33,Te debo una canción,Shinova,2021-02-26,6E4Z9YuZz9VA7NxXxshXQx,52,pop
34,La sonrisa intacta,Shinova,2021-02-26,52Pxn490S6sTjhXgyfeSbk,52,pop
35,FRIKI,"Feid, KAROL G",2021-12-17,2WrqTrNIHqfcMCgmEo0A7E,68,pop
36,Abajo,Arde Bogotá,2021-05-07,45ucex4am8ru040h5mhxuo,52,pop
37,A ver qué pasa - Estrella Damm 2021,Rigoberta Bandini,2021-06-16,2F76kzOWgd3n6GwoKpRSTX,52,pop
38,El Beso,Arde Bogotá,2021-05-07,325R4okpFnhCZ8guXOH0Ah,51,pop
39,Millones,Camilo,2021-03-04,3YAnNBdk0uHyakXXzMbNJq,65,pop
40,Miénteme,"TINI, Maria Becerra",2021-04-29,0cOa970mzTWAxKtltpkpLc,65,pop
41,Aloha,"Maluma, Beéle, Rauw Alejandro, Mambo Kingz, DJ Luian, Darell",2021-03-05,5RAIMjdrCEjpjaR5tBATXU,66,pop
42,Desenfocao',Rauw Alejandro,2021-12-10,2CEf2gU5ZJamLXa3NrgAvA,72,pop
43,good 4 u,Olivia Rodrigo,2021-05-21,4ZtFanR9U6ndgddUvNcjcG,78,pop
44,I WANNA BE YOUR SLAVE,Måneskin,2021-03-19,4pt5fDVTg5GhEvEtlz9dKk,77,pop
45,you broke me first,Tate McRae,2021-03-26,4l0RmWt52FxpVxMNni6i63,80,pop
46,deja vu,Olivia Rodrigo,2021-05-21,6HU7h9RYOaPRFeh0R3UeAr,80,pop
47,Aquel Nap ZzZz,Rauw Alejandro,2021-12-10,5bQLsyTrUaMQRfr6whwGe5,68,pop
48,Happier Than Ever,Billie Eilish,2021-07-30,4RVwu0g32PAqgUiJoXsdF8,80,pop
49,Sexo Virtual,Rauw Alejandro,2021-12-10,1lV3QHHMAQt0Kc1ioZq2MP,66,pop
50,Easy On Me,Adele,2021-10-14,0gplL1WMoJ6iYaPgMCL0gX,75,pop
51,Bad Habits,Ed Sheeran,2021-10-25,3rmo8F54jFF8OgYsqTxm5d,75,pop
