,track_name,artist_name,release_date,id_track,popularity,genero
0,Sin Vergüenza,"Arde Bogotá, Dani Fernández",2022-07-07,0mJ2qmDI2X4wrSIIBrvvpN,59,indie
1,Que nada nos pare (lo más importante),"ELYELLA, La La Love You",2022-06-30,1FG7ZjnuT0O9CsDKOxND0E,58,indie
2,El Bien,Viva Suecia,2022-10-06,6IuZFiKCeyQINqL0Id3xF2,58,indie
3,No Hemos Aprendido Nada,Viva Suecia,2022-10-06,23EYaP0VXowC6oT9DiY3QR,56,indie
4,End of Beginning,Djo,2022-09-16,3qhlB30KknSejmIvZZLjOD,85,indie
5,Hablar De Nada,Viva Suecia,2022-10-06,6PLIfuZYh2IrRNqJIEH26S,55,indie
6,Lo Siento,"Viva Suecia, Dani Fernández",2022-10-06,6RM3IZHeEwhvTXxfquDbZN,53,indie
7,Justo Cuando El Mundo Apriete,"Viva Suecia, Leiva",2022-10-06,1C2aofmIOndmXAtrHeJ3YC,53,indie
8,Nada Que Se Parezca a Ti,"Siloé, Feten Feten",2022-11-25,7zZLUfbBUm8kWUmX7ZLGDL,50,indie
9,Stick Season,Noah Kahan,2022-10-14,0mflMxspEfB0VbI1kyLiAv,83,indie
10,El Bien,Viva Suecia,2022-10-03,2y7b6A4hhl3ysYlU2kztGD,48,indie
11,Me Gusta La Vida,Funambulista,2022-11-18,6ehhc5vtZ33S9lPBQ0bvPN,48,indie
12,Ay Mamá,Rigoberta Bandini,2022-10-07,72psvScOYelPAVpe9k1B9y,47,indie
13,La vida moderna (feat. Love of Lesbian),"Veintiuno, Love of Lesbian",2022-09-30,67oh7LlJZOzQiZ7mM2GtRm,46,indie
14,Así Bailaba,"Rigoberta Bandini, Amaia",2022-10-07,61EzFxAX2KM66vmcc2CO1k,47,indie
15,Trocito de Marte,Ciudad Jara,2022-12-13,2oVdME9vk0rgwbF5CeTvkK,46,indie
16,ROOKIES,"Ralphie Choo, Barry B, DRUMMIE",2022-03-04,2gEthirHCqqUybpq7HkNY7,46,indie
17,Flores,Babi,2022-04-29,6WCE835xi0qL8qZVfPyosc,53,indie
18,El Mal,Viva Suecia,2022-10-06,44WZxCE8cb3ESowB9mQfZq,45,indie
19,Nena,Sexy Zebras,2022-03-25,3sGbZxQ17M34eAe9NXdZ33,45,indie
20,the perfect pair,beabadoobee,2022-07-15,41P6Tnd8KIHqON0QIydx6a,81,indie
21,Good Looking,Suki Waterhouse,2022-08-18,0j3mqDTK4Z6lvrLzFCUUz6,78,indie
22,ceilings,Lizzy McAlpine,2022-04-08,2L9N0zZnd37dwF0clgxMGI,76,indie
23,Too Many Drugs,Rigoberta Bandini,2022-10-07,0xSbYIN12FB1giZI5ymCdz,45,indie
24,Oysters In My Pocket,Royel Otis,2022-03-10,2B664ulJSVBd6B8SAY3Wux,72,indie
