,track_name,artist_name,release_date,id_track,popularity,genero
0,Flow 2000 - Remix,"Bad Gyal, Beny Jr",2022-03-17,7fRtruULHGuwC0wNRx1HSa,62,rap
1,"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]","La Pantera, Quevedo, Juseph, ABHIR, BEJO, Cruz Cafuné, EL IMA",2022-01-14,0Bv7O6fmZk3GrNQFYJaXPn,62,rap
2,Lo Real,"Hard GZ, Nikone, Dualy",2022-03-24,6ei0W4T1vFScCTM3UuLrIr,55,rap
3,Barquito de Vela,"Hard GZ, Antony Z",2022-05-06,09p2nomOAPyylPjRg1gzH0,55,rap
4,7 Lágrimas - Remix,"Soge Culebra, Mora, GARABATTO",2022-02-18,3wlX0yg6NRMDPwOvdPmuLn,62,rap
5,Qué Bonita,Cano,2022-10-07,1dTiGeFvkufOuEQtAKeK4z,53,rap
6,MAMIII,"Becky G, KAROL G",2022-05-13,7FlQk2gJ6TBrHHiidvdR2O,70,rap
7,SIN SEÑAL,"Quevedo, Ovy On The Drums",2022-07-22,1Y62KpDaP5MEL43ZcI6IaG,57,rap
8,Respuesta Cero,"Quevedo, BlueFire",2022-02-05,07piZvs54drv7466oPLTt0,55,rap
9,Cuando Acabe la Noche,Sosad.97,2022-12-15,4LIT5GUMbNmBO6nbK9gRIc,52,rap
10,Delincuente,"Tokischa, Anuel AA, Ñengo Flow",2022-08-19,2ROQe6QkIXODJRx0y8UjzV,66,rap
11,La Prendo,Bad Gyal,2022-05-26,6t48UVZvQWh5wWfWlCZfzY,54,rap
12,MAMIII,"Becky G, KAROL G",2022-02-10,1ri9ZUkBJVFUdgwzCnfcYs,66,rap
13,Estrellita De Madrugada - Original 2022 Remaster (Ft. Daddy Yankee),"Omega, Daddy Yankee, Roberto Ferrante",2022-08-26,7hEUCqOfvkXLTk5tdET15f,56,rap
14,Feliz,Chimbala,2022-05-27,2mzDRrBn6M6rWX4bGzd1uQ,58,rap
15,Los Aparatos,"El Alfa, Noriel, Trueno",2022-11-22,4b6KA8SAIvDy9wT12Emzfc,64,rap
16,No Puedo Responder,"Cano, PMP",2022-02-18,1ro4AY6oyquzrTR8ZylO72,50,rap
17,Kill Bill,SZA,2022-12-08,1Qrg8KqiBpW07V7PNxwwwL,83,rap
18,VISTA AL MAR,Quevedo,2022-09-09,7iwJOi3hlMqZt6pj1sQOBj,59,rap
19,PLAYA DEL INGLÉS,"Quevedo, Myke Towers",2022-12-15,2t6IxTASaSFkZEt61tQ6W6,56,rap
20,Bajo Mundo,"Cano, JC Reyes",2022-07-20,09FM27HgFGmtp0HOlW86tD,47,rap
21,Trance (with Travis Scott & Young Thug),"Metro Boomin, Travis Scott, Young Thug",2022-12-02,5wG3HvLhF6Y5KTGlK0IW3J,78,rap
22,Snooze,SZA,2022-12-09,4iZ4pt7kvcaH6Yo8UoZ4s2,85,rap
23,Too Many Nights (feat. Don Toliver & with Future),"Metro Boomin, Future, Don Toliver",2022-12-02,2Hh3ETdQKrmSI3QS0hme7g,79,rap
24,PUNTO G,Quevedo,2022-11-04,0oBtwScT4B4BR5kZitNWd5,58,rap
25,Buona Sera,LosNiñosDelCaminito,2022-11-15,4SKUMitVRKtLFpyb8vAgtg,47,rap
26,Chamaquita,"Quevedo, Juseph",2022-04-14,667CH2wRxXnQOfPD1NrlLJ,49,rap
27,Creepin' (with The Weeknd & 21 Savage),"Metro Boomin, The Weeknd, 21 Savage",2022-12-02,2dHHgzDwk4BJdRwy9uXhTO,78,rap
28,La Mamá de la Mamá,"El Alfa, El Cherry Scom, CJ",2022-11-22,4zTSSrtsaVVjT3RZKQ1Gqn,69,rap
29,Septiembre,Natos y Waor,2022-09-13,2vitZ5fxaFmnYmzrzWooaV,47,rap
30,WAIT FOR U (feat. Drake & Tems),"Future, Drake, Tems",2022-04-29,59nOXPmaKlBfGMDeOVGrIK,79,rap
31,Tremendo Culón,Bad Gyal,2022-06-16,1AW667mty3vPYS8niQFCYo,48,rap
32,Que Dios Bendiga,Cano,2022-12-02,7rj3YHj6xTrtT8CnzTm12X,45,rap
33,Quiero volar,"Natos y Waor, Kutxi Romero",2022-09-13,0TlVTrOwRNH8YGvBDHqPCo,45,rap
34,Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2022-06-17,3F5CgOj3wFlRv51JsHbxhe,77,rap
35,Me Tiene Mal,"Blake, Zaidbreak",2022-09-30,5Kbjc9Zgu4BVlDKCsw3GdR,46,rap
36,Borraxo & Drogao,"Samuel SLZR, Dawson Beats",2022-04-29,4FIgKSrfjL6j3EZUtVY2IY,45,rap
37,Nómada,"Rubin, Violettabeats",2022-04-07,0J0MmBSXIcKqSLouOP8toa,45,rap
38,INMORTALES,Funzo & Baby Loud,2022-02-11,0aG7IBgO2nlyjCV71PKVKt,45,rap
39,Carta de Despedida,"Kadec Santa Anna, Franckvit",2022-05-20,4cqw4VaugLCSYWtvqG4ML6,45,rap
40,Superhero (Heroes & Villains) [with Future & Chris Brown],"Metro Boomin, Future, Chris Brown",2022-12-02,0vjeOZ3Ft5jvAi9SBFJm1j,76,rap
41,No Te Vayas,Cano,2022-09-02,2RWW5xhjGQawYl3g133F1B,44,rap
42,Open Arms (feat. Travis Scott),"SZA, Travis Scott",2022-12-08,6koKhrBBcExADvWuOgceNZ,80,rap
43,Rumba,Natos y Waor,2022-09-13,5AiGpfWDQCb0DdVfMkA9W9,44,rap
44,Nonstop,Quevedo,2022-03-04,7ANJlQ67bYtNz0rNUFL0E2,48,rap
45,Llorar al revés,Xavibo,2022-09-28,5bnZiphVVdzFl7qSI5lixM,45,rap
46,Reptil,"Moha The B, Cyril Kamer",2022-03-03,2F2fMtg2OOCrmfF6DnqZaC,44,rap
47,Real G,"Bad Gyal, Quevedo",2022-12-02,6WU2eYUtOL91iROonROPyh,47,rap
48,Su cabeza en mi pecho,"Delgao, D3llano",2022-01-20,3Mbi3ZzOqOtUMjv2k1F0n0,44,rap
49,Platos rotos,"Natos y Waor, Recycled J",2022-09-13,6XX87ga7zsm14jRTzspgnM,44,rap
50,Un Amor De Locos,"Cano, Los del Control",2022-05-12,0KngGwsqYzLisleU46WuLH,44,rap
