,track_name,artist_name,release_date,id_track,popularity,genero
0,Die With A Smile,"Lady Gaga, Bruno Mars",2024-08-16,2plbrEY59IikOBgBGLjaoe,96,pop
1,Soltera,Shakira,2024-09-25,3OJDtCdYs8QJnui708tEU3,80,pop
2,LA REINA,Lola Indigo,2024-06-13,06JM1fuKPQOrSL6s9mzDvV,65,pop
3,Me has invitado a bailar,Dani Fernández,2024-08-23,0JJw1ghkoEu3Yat1uOSjAE,63,pop
4,BIRDS OF A FEATHER,Billie Eilish,2024-05-17,6dOtVTDdiauQNBQEDOtlAB,94,pop
5,Qué Pecao,"Manuel Turizo, Kapo",2024-10-03,456U68M8lIymkz56Zroxh8,68,pop
6,1000COSAS,"Lola Indigo, Manuel Turizo",2024-03-07,6xqQDwzjswlToEEHgvA3KM,64,pop
7,"Good Luck, Babe!",Chappell Roan,2024-04-05,0WbMK4wrZ1wFSty9F7FCgu,89,pop
8,AL ALBA,Luis Cortés,2024-04-26,48gfUjITHQLHuRnnNVNUzJ,60,pop
9,Beautiful Things,Benson Boone,2024-04-05,3xkHsmpQCBMytMJNiDf3Ii,85,pop
10,Que Me Lleve el Aire,Luis Cortés,2024-07-16,5ticDLxAM5Y5r0mkGO1AHs,60,pop
11,CARITA TRISTE,"Ana Mena, Emilia",2024-08-30,2mYlSgPvC5Np4mDg9DU5Mc,65,pop
12,Me has invitado a bailar,Dani Fernández,2024-10-25,3tMftGMXTPbQlmjh4FzXpZ,59,pop
13,ME DUELE QUERERTE,Luis Cortés,2024-04-26,2qKSmJppHxdzidqeVSvHJk,60,pop
14,Me Prometo,Antoñito Molina,2024-10-18,2JRYGpV7u6iQCVtvupDyFe,59,pop
15,Dime Solo Si Has Pensao,DePol,2024-04-12,4V8B7hx9GvtvKypXV3rPIq,59,pop
16,Messy,Lola Young,2024-05-30,3SKH53SPQbEnZR4cJPVaz2,86,pop
17,WILDFLOWER,Billie Eilish,2024-05-17,3QaPy1KgI7nu9FJEQUgn6h,90,pop
18,La Torre Picasso,Arde Bogotá,2024-09-13,2Czaw41IWZLz5JxwLueamL,58,pop
19,Orion,"Boza, ELENA ROSE",2024-05-29,5pVJ3IlnpIorU44oXizzG5,76,pop
20,Taste,Sabrina Carpenter,2024-08-23,5G2f63n7IPVPPjfNIGih7Q,86,pop
21,La Vida Entera,Marta Santos,2024-04-12,1zgb3QCX8jo4IGRg56tjvj,58,pop
22,SORRY 4 THAT MUCH,Feid,2024-06-07,63pLfjK6FvcYJYMGwtHjd6,77,pop
23,Nuestra Canción,Álvaro De Luna,2024-07-26,2MJlcHWfkA651gpiCRJ2TE,57,pop
24,Who,Jimin,2024-07-19,7tI8dRuH2Yc6RuoTjxo4dU,86,pop
25,Beautiful Things,Benson Boone,2024-01-18,6tNQ70jh4OwmPGpYy6R2o9,82,pop
26,I Don't Wanna Wait,"David Guetta, OneRepublic",2024-04-05,331l3xABO0HMr1Kkyh2LZq,80,pop
27,Espresso,Sabrina Carpenter,2024-04-12,2qSkIjg1o9h3YT9RAgYN75,84,pop
28,Sailor Song,Gigi Perez,2024-07-26,2262bWmqomIaJXwCRHr13j,90,pop
29,Akureyri,"Aitana, Sebastian Yatra",2024-04-25,5ELjObPQmX3gG06NukBFzr,60,pop
30,UNA BACHATA,"Lola Indigo, SAIKO",2024-02-01,4SmMe198ot30paOyvuTH5w,57,pop
31,Houdini,Dua Lipa,2024-05-03,6D8y7Bck8h11byRY88Pt2z,79,pop
32,"Young Miko: Bzrp Music Sessions, Vol. 58","Bizarrap, Young Miko",2024-01-10,6VciS3dRMpZhJiDxT8ArFi,69,pop
33,Stargazing,Myles Smith,2024-05-10,3Vr3zh0r7ALn8VLqCiRR10,82,pop
34,Bonito,Demarco Flamenco,2024-07-05,0VvKhRZQRdNnolSSkHVgPh,56,pop
35,WE PRAY - (TINI Version),"Coldplay, Burna Boy, Elyanna, TINI, Little Simz",2024-09-06,6OICQoNsUIcYsirqoDo08Y,64,pop
36,¿Cómo Pasó?,Ela Taubert,2024-02-14,7slBlaUuSCgADZBuTQDYBB,71,pop
37,Una Vida Pasada,"Camilo, Carin Leon",2024-05-23,2mLTxNa0bwZX8eNBsuODLX,73,pop
38,Slow It Down,Benson Boone,2024-04-05,51eSHglvG1RJXtL3qI5trr,82,pop
39,Por Si Mañana,Antoñito Molina,2024-10-18,5Kh26P5Galw97sjiWsnZuO,55,pop
40,CHIHIRO,Billie Eilish,2024-05-17,7BRD7x5pt8Lqa1eGYC4dzj,85,pop
41,Todo cambia,Dani Fernández,2024-10-25,3DJJt0SVDtnqTVgfAWbvjG,55,pop
42,Espresso,Sabrina Carpenter,2024-08-23,2HRqTpkrJO5ggZyyK6NPWz,84,pop
43,Messy,Lola Young,2024-06-21,35ISBknsCeZQtq66xABI9g,84,pop
44,La Aventura,Antoñito Molina,2024-10-18,5cfGFsrVgExRMAi0crfMsW,55,pop
45,Timeless (feat. Playboi Carti),"The Weeknd, Playboi Carti",2024-09-27,1Es7AUAhQvapIcoh3qMKDL,87,pop
46,La Reina Del Baile,Manuel Carrasco,2024-06-25,4YYp45N7TiPexvtzKZrFDm,54,pop
47,Por no bailar contigo,Dani Fernández,2024-10-25,6aLDsbXlxHXxYZxZz1ngKi,54,pop
48,Who,Jimin,2024-07-23,32lSgbCqRcIOyUSnfuUZEQ,83,pop
49,Who,Jimin,2024-07-23,5wPnPIZS8wr4lPNLz4qvHK,82,pop
50,Guay,"Ozuna, Bad Gyal",2024-04-18,1S3SAFqLBWk3HaR5UyXp43,61,pop
51,Who,Jimin,2024-07-23,1yqdD2ScjkqvaNBUzPQ4vR,82,pop
52,Belong Together,Mark Ambor,2024-08-16,0rtDE9zfXbamTlRUSwY7zy,77,pop
53,Training Season,Dua Lipa,2024-05-03,5b5cPscqVEMChvDqscVw26,77,pop
54,Too Sweet,Hozier,2024-08-19,19XpFsce28aByvCC4g89tJ,80,pop
55,we can't be friends (wait for your love),Ariana Grande,2024-03-08,51ZQ1vr10ffzbwIjDCwqm4,83,pop
56,In The Stars,Benson Boone,2024-04-05,315aBOUD3xtj7sUMXtRgMV,79,pop
57,Belong Together,Mark Ambor,2024-02-16,5uQ7de4EWjb3rkcFxyEOpu,75,pop
58,LUNCH,Billie Eilish,2024-05-17,629DixmZGHc7ILtEntuiWE,82,pop
59,The Reason,Hoobastank,2024-01-12,5B5eTk7DF8KVp1zpQoY1XY,77,pop
60,Please Please Please,Sabrina Carpenter,2024-08-23,2tHwzyyOLoWSFqYNjeVMzj,82,pop
61,Brickell,"Feid, Yandel",2024-04-10,0rNqDh9zWWJVTLS4VfceHP,72,pop
62,Carry You Home,Alex Warren,2024-09-27,5o0osRx8kYJTOqlOSggr9Z,80,pop
63,Ma Meilleure Ennemie (from the series Arcane League of Legends),"Arcane, Stromae, Pomme",2024-11-23,2LwsunYgfRoqyIsNtgOCQx,78,pop
64,New Woman (feat. ROSALÍA),"LISA, ROSALÍA",2024-08-15,7ov3TDp5D00Rnu5R1viX4w,76,pop
65,Juno,Sabrina Carpenter,2024-08-23,21B4gaTWnTkuSh77iWEXdS,81,pop
66,Whatever,"Kygo, Ava Max",2024-01-19,0LMwmV37RCmBO2so0szAFs,74,pop
67,Bed Chem,Sabrina Carpenter,2024-08-23,1UHS8Rf6h5Ar3CDWRd3wjF,83,pop
68,feelslikeimfallinginlove - Single Version,Coldplay,2024-06-21,1YsU8rW2u8z4F0pwOBQ4Ea,70,pop
69,Please Please Please,Sabrina Carpenter,2024-06-06,5N3hjp1WNayUPZrA8kJmJP,80,pop
70,Dancing In The Flames,The Weeknd,2024-09-13,7z7kvUQGwlC6iOl7vMuAr9,77,pop
71,A Bar Song (Tipsy),Shaboozey,2024-04-12,2FQrifJ1N335Ljm3TjTVVf,82,pop
72,Addicted,"Zerb, The Chainsmokers, Ink",2024-03-29,5ZUIPLoTLJZrPQh2kFZEUM,76,pop
73,No One Noticed,The Marías,2024-05-31,3siwsiaEoU4Kuuc9WKMUy5,85,pop
74,Guess featuring billie eilish,"Charli xcx, Billie Eilish",2024-08-01,3WOhcATHxK2SLNeP5W3v1v,77,pop
75,L’AMOUR DE MA VIE,Billie Eilish,2024-05-17,6fPan2saHdFaIHuTSatORv,79,pop
76,Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",2024-04-18,2OzhQlSqBEmt7hmkYxfT6m,79,pop
77,Pretty Slowly,Benson Boone,2024-08-15,1QxxBUAx42J8pIFYJJR880,75,pop
78,My Way,Calvin Harris,2024-08-08,3ejfcz0QPyV717Vd3ta04V,75,pop
79,PLIS,"Camilo, Evaluna Montaner",2024-05-23,2uei5EK0iBwbjEKwoX6j5p,65,pop
80,Ley universal,Danny Ocean,2024-05-02,3LajiduYalkeMeYbYJQP0s,66,pop
81,The Line (from the series Arcane League of Legends),"Arcane, Twenty One Pilots",2024-11-23,1QJbDTZAO8rpGOMG4UahFM,75,pop
82,THE GREATEST,Billie Eilish,2024-05-17,6TGd66r0nlPaYm3KIoI7ET,80,pop
83,La_Playlist.mpeg,Emilia,2024-06-20,0Cs2ANiGsCOQLKnCrNJ6hA,63,pop
84,Dernière danse - Techno Mix,"Indila, BENNETT",2024-01-26,5fIZ683j2xPeLAXfHeWKEG,69,pop
85,BLUE,Billie Eilish,2024-05-17,2prqm9sPLj10B4Wg0wE5x9,79,pop
86,Whatever,"Kygo, Ava Max",2024-06-21,4rTPLtqJxa4UtCBkdMwSp6,71,pop
87,Apple,Charli xcx,2024-06-07,19RybK6XDbAVpcdxSbZL1o,78,pop
88,Cynical,"twocolors, Safri Duo, Chris de Sarandy",2024-06-30,4fLnoXqsxHZFvGKppc7kCr,70,pop
89,Ghost Town,Benson Boone,2024-04-05,6HuHyXviAdpmnQu73JHfBz,75,pop
90,I Can Do It With a Broken Heart,Taylor Swift,2024-04-18,4q5YezDOIPcoLr8R81x9qy,77,pop
91,Chk Chk Boom,Stray Kids,2024-07-19,09keT5ocFhEd5W5HidiUNq,75,pop
92,Somedays,"Sonny Fodera, Jazzy, D.O.D",2024-07-26,3wo3d0I5H8KjkwGvnz8WbB,76,pop
93,Before You Leave Me,Alex Warren,2024-09-27,2XxpxQ1PeQhPMVikjKnmJy,75,pop
94,Autodiagnóstico,Camilo,2024-05-23,0UiVWrn3x2X1fdsiYInybG,63,pop
95,the boy is mine,Ariana Grande,2024-03-08,0Lmbke3KNVFXtoH2mMSHCw,78,pop
96,Diet Pepsi,Addison Rae,2024-08-09,6MzofobZt2dm0Kf1hTThFz,80,pop
97,we can't be friends (wait for your love),Ariana Grande,2024-03-08,46kspZSY3aKmwQe7O77fCC,77,pop
98,It's ok I'm ok,Tate McRae,2024-09-12,24XihnoVPWXlKJ4BgXqjVM,78,pop
99,Feel It - From The Original Series “Invincible”,d4vd,2024-03-28,3SAga35lAPYdjj3qyfEsCF,78,pop
100,Diet Pepsi,Addison Rae,2024-08-09,6MzofobZt2dm0Kf1hTThFz,80,pop
101,we can't be friends (wait for your love),Ariana Grande,2024-03-08,46kspZSY3aKmwQe7O77fCC,77,pop
102,It's ok I'm ok,Tate McRae,2024-09-12,24XihnoVPWXlKJ4BgXqjVM,78,pop
103,Feel It - From The Original Series “Invincible”,d4vd,2024-03-28,3SAga35lAPYdjj3qyfEsCF,78,pop
104,Never Going Home Tonight (feat. Madison Love),"David Guetta, Alesso, Madison Love",2024-09-06,7K1BLb6MpvKuGEPpHw35mO,71,pop
105,360,Charli xcx,2024-06-07,4w2GLmK2wnioVnb5CPQeex,78,pop
106,SKINNY,Billie Eilish,2024-05-17,1CsMKhwEmNnmvHUuO5nryA,77,pop
107,Training Season,Dua Lipa,2024-02-15,6Qb7YsAqH4wWFUMbGsCpap,71,pop
108,Real Man,beabadoobee,2024-08-09,0OpC8hRrbsh24taKOsQBEX,80,pop
109,Illusion,Dua Lipa,2024-05-03,5q0EXnBYyeCdXD72FzJxH0,71,pop
110,Mockingbird,"Tiësto, Dimitri Vegas & Like Mike, Gabry Ponte",2024-05-03,2x4JC9TxW2LACuuxbsncfG,70,pop
111,A Veces A Besos,Greeicy,2024-06-21,6AQgrZrFu1xfuAmbyXmKAE,64,pop
112,I Ain't Worried,OneRepublic,2024-07-12,0oF9jpn0n8afMpbHKgRd6J,72,pop
113,TEXAS HOLD 'EM,Beyoncé,2024-02-11,0Z7nGFVCLfixWctgePsRk9,72,pop
114,Taste,Sabrina Carpenter,2024-08-23,1d7Ptw3qYcfpdLNL5REhtJ,75,pop
115,Good Graces,Sabrina Carpenter,2024-08-23,102YUQbYmwdBXS7jwamI90,78,pop
116,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",2024-05-10,7221xIgOnuakPdLqT0F3nP,79,pop
117,Von dutch,Charli xcx,2024-06-07,3Y1EvIgEVw51XtgNEgpz5c,76,pop
118,Touch,KATSEYE,2024-07-26,6aJn7Cst74cj4lNIiPRgav,77,pop
119,GODIVA,"Ovy On The Drums, Myke Towers, Blessd, Ryan Castro",2024-03-13,3DY25d8SrkLEI6Xugzf6tT,63,pop
120,To Ashes and Blood (from the series Arcane League of Legends),"Arcane, Woodkid",2024-11-23,1NzNNQuppVgVYrm2hvrPK2,71,pop
121,Circadian Rhythm,Drake,2024-08-30,1eroCliWpJrEu1V7VSObcO,75,pop
122,All the Things She Said,"Robin Schulz, Timmy Trumpet, KOPPY",2024-04-05,6FxRH7N7Q86i6aixaSYYzx,66,pop
123,Rockstar,LISA,2024-06-27,6vvPecFTmWxDfEJ6cYT1wa,77,pop
124,One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2024-08-08,76dIZzTdrNO15mGBrU3MHi,72,pop
125,2 Times,"Dimitri Vegas, Steve Aoki, Ann Lee, Sound Of Legend",2024-10-04,03xIKiQXopptD4Sv8ijvcG,65,pop
126,AGORA,Maria Becerra,2024-09-12,0EVxchTHYIgx618OrpcrdQ,66,pop
127,Make You Mine,Madison Beer,2024-02-09,48vIfHaK7by6x0T6ucpODL,74,pop
128,Finally,"Swedish House Mafia, Alicia Keys",2024-08-29,5a2Mb0OPY17zkS8FnciQhg,68,pop
129,AMOR,Danny Ocean,2024-05-02,58UCQZoSDprVXVLgcCVBHt,63,pop
130,How Deep Is Your Love,"Calvin Harris, Disciples",2024-08-08,4slBllHFZYlpg3IjeX5CBl,72,pop
131,Una Vida Pasada,"Camilo, Carin Leon",2024-04-02,7y91nQBMhyeHWTn9wVvhKl,65,pop
132,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",2024-08-15,5IZXB5IKAD2qlvTPJYDCFB,80,pop
133,Fantastic (from the series Arcane League of Legends),"Arcane, King Princess",2024-11-23,071uK6V3dKj3BMNNzTEyRu,71,pop
134,Cry,Benson Boone,2024-04-05,3h76tbaYIamSeJL81X7ZwI,73,pop
135,THE DINER,Billie Eilish,2024-05-17,1LLUoftvmTjVNBHZoQyveF,75,pop
136,SPIDER,"GIMS, DYSTINCT",2024-09-13,5NWpquAje6NyvxD57oXNu6,71,pop
137,These Walls,Dua Lipa,2024-05-03,7b6sWLSnbZhSIeqNGrJ4py,68,pop
138,CRAZY,LE SSERAFIM,2024-09-02,4gxEY3Mh5FZZDAJAKPNrCS,75,pop
139,Get Busy - Odd Mob Club Mix,"Sean Paul, Odd Mob",2024-05-24,76UVi3tz2rpTOPtvstIoK2,63,pop
140,Moonlit Floor (Kiss Me),LISA,2024-10-03,3yDRcs0Y4pPzkvMbUfeF9H,78,pop
141,Amor de Vago,"La T y La M, Malandro",2024-08-23,5MKbWaXeSQSmzmo7gPQha1,76,pop
142,Too Sweet,Hozier,2024-03-22,3HMY0r2BAdpasXMY8rseR0,74,pop
143,World Gone Wild (feat. Sam Martin),"Robin Schulz, CYRIL, Sam Martin",2024-10-11,4arNFfHtD5FPYcpUUiUOM1,70,pop
144,Magnetic,ILLIT,2024-03-25,1aKvZDoLGkNMxoRYgkckZG,78,pop
145,obsessed,Olivia Rodrigo,2024-03-22,6tNgRQ0K2NYZ0Rb9l9DzL8,72,pop
146,BITTERSUITE,Billie Eilish,2024-05-17,7DpUoxGSdlDHfqCYj0otzU,74,pop
147,Alibi (feat. Rudimental),"Ella Henderson, Rudimental",2024-01-12,5Jpz4nv8nA6FIYO5gEyQa2,69,pop
148,i am not who i was,Chance Peña,2024-09-13,70eyG7pqKozUvKPKXLXmpI,73,pop
149,WE PRAY - Single Version,"Coldplay, Little Simz, Burna Boy, Elyanna, TINI",2024-08-23,2sKHevALE8DKDkwEo04Pbh,69,pop
150,Wasteland (from the series Arcane League of Legends),"Arcane, Royal & the Serpent",2024-11-23,5r9OlaHzqlOKkFAv0q5Gm3,69,pop
151,Good To Be,Mark Ambor,2024-08-16,2tnSBYJyGGYD0Gbn07tTHZ,66,pop
152,Remember Me (from the series Arcane League of Legends),"Arcane, d4vd",2024-11-23,2fQwoYSzWzChmIB2zZwrGL,70,pop
153,365,Charli xcx,2024-06-07,5h68SoVFGleijCtjEja3xG,73,pop
154,Stars Will Align,"Kygo, Imagine Dragons",2024-09-27,5REMa10O4aA2mLtYyflWxs,69,pop
155,Eyes Closed,Imagine Dragons,2024-06-28,7xDd7gl6AGgpiOz5trz4dM,67,pop
156,Burning Down,Alex Warren,2024-09-27,0ydx75YiFzLjjQknKFNFwt,75,pop
157,CRAZY,LE SSERAFIM,2024-08-30,3AoEQRuFf8zVXWqSLo2UOi,75,pop
158,Slow It Down,Benson Boone,2024-03-21,6WO7IDGLakjO38lsvI2gHB,67,pop
159,Lady Killers II,G-Eazy,2024-03-17,068AyhyvE67qMRsMXLqAnd,75,pop
160,A Bar Song (Tipsy),Shaboozey,2024-05-31,5fZJQrFKWQLb7FpJXZ1g7K,78,pop
161,Igual Que Un Ángel (with Peso Pluma),"Kali Uchis, Peso Pluma",2024-01-12,6XaJfhwof7qIgbbXO5tIQI,73,pop
162,feelslikeimfallinginlove,Coldplay,2024-10-03,5VSqvL5NLxBr7uMNfjwLt8,65,pop
163,WE PRAY,"Coldplay, Little Simz, Burna Boy, Elyanna, TINI",2024-10-03,6xX6zmaXeKzB4u9TiM1XgU,66,pop
164,Coincidence,Sabrina Carpenter,2024-08-23,5oIVNm56t6OIf9ZjdEG3ud,73,pop
165,Miles On It,"Marshmello, Kane Brown",2024-05-03,4pkb8SbRGeHAvdb87v9rpf,77,pop
166,Wake Up,Imagine Dragons,2024-06-28,6BOgN046AFobs2sZV7YlRy,66,pop
167,IMAN (Two Of Us),Maria Becerra,2024-05-16,3sra6aEWWDXUiy46fWQobH,62,pop
168,Monster,"Don Diablo, Felix Jaehn",2024-03-29,0BHNkpGmcexaGyUHDZCQXG,61,pop
169,I Like It (with Nate Smith),"Alesso, Nate Smith",2024-07-12,3MBJxg2sT7CAdqYcdU8C5K,70,pop
170,No Face,Drake,2024-08-31,1560osUcXrnov6yuOjXvc1,74,pop
171,TEXAS HOLD 'EM,Beyoncé,2024-03-29,7wLShogStyDeZvL0a6daN5,71,pop
172,Freestyler (Rock The Microphone),"Lost Frequencies, Bomfunk MC's",2024-09-20,5Axl2Rjg3wOC3JHju1Gess,66,pop
173,Lioness,"Swedish House Mafia, Niki & The Dove",2024-06-07,73rh3AJNXQl8iMWgWRrQTR,68,pop
174,Daylight,David Kushner,2024-08-30,2mEMKgLqH3VZaSYO7iYCzp,72,pop
175,WE PRAY,"Coldplay, Little Simz, Burna Boy, Elyanna, TINI",2024-10-04,7xrEnNo99wrmIs8ZK3RZMK,67,pop
176,NEURON (with Gaeko & YOON MIRAE),"j-hope, Gaeko, YOON MIRAE",2024-03-29,11sirgYaEutV40tkvgpHN6,72,pop
177,intro (end of the world),Ariana Grande,2024-03-08,2o1pb13quMReXZqE7jWsgq,76,pop
178,Criminals,Meghan Trainor,2024-08-16,1gMFAi2auKTgHsYH7nIBhv,67,pop
179,SOIS PAS TIMIDE,GIMS,2024-09-13,0yyFAbTlOk7DFhh6RSug9S,72,pop
180,Be Mine,Jimin,2024-07-19,3LWVXp636uLT356Rj08Jaz,71,pop
181,LABOUR - the cacophony,Paris Paloma,2024-03-29,4B0cJGASxVICLW2AsBZhiE,73,pop
182,Troubled Waters,Alex Warren,2024-09-27,3AeqFxtLidWu1awXIErzcO,70,pop
183,I Like It,Stray Kids,2024-07-19,04A4WyCRyHQ8Nb3u3IsfzH,69,pop
184,Supernova,aespa,2024-05-26,5lKnZbdGCBViitE1Ce5TZh,69,pop
185,Carry You Home,Alex Warren,2024-05-31,4uzKAj0mIyYmyhsRRyPXaQ,71,pop
186,Juna,Clairo,2024-07-12,2mWfVxEo4xZYDaz0v7hYrN,76,pop
187,Perfect (Exceeder),"David Guetta, Mason, Princess Superstar",2024-02-09,7jY6W92bLfnXnevTa7JKHi,63,pop
188,"Natanael Cano: Bzrp Music Sessions, Vol. 59","Bizarrap, Natanael Cano",2024-04-02,2DbV9TSdeGr5FobCFDRzvq,67,pop
189,Oh qu'elle est belle,"Jul, DYSTINCT",2024-01-19,7wwQoJtPLBVeMIZlW11cp6,62,pop
190,Slim Pickins,Sabrina Carpenter,2024-08-23,0XkZmBCCcdMY0EPY8ij6Gb,72,pop
191,XO (Only If You Say Yes),ENHYPEN,2024-07-12,3RkSwrsIadAvqVtMp5yhaB,71,pop
192,Sharpest Tool,Sabrina Carpenter,2024-08-23,3iPIDAFybaoyqX7hvAfWkl,72,pop
193,Why Why Why,Shawn Mendes,2024-08-08,52A0oY4u5ufxrHC85JGf4x,66,pop
194,Saturn,SZA,2024-02-22,1bjeWoagtHmUKputLVyDxQ,78,pop
195,Little Bit Better,"Caleb Hearn, ROSIE",2024-02-23,0GMs3jq70wmCo12pavj4st,70,pop
196,Armageddon,aespa,2024-05-26,4b2fMv44GAYpsDSK4ihbsI,68,pop
197,For Life (feat. Nile Rodgers),"Kygo, Zak Abel, Nile Rodgers",2024-04-19,4QfikoJtCEiOj7G5R9m3sP,65,pop
