Variable1;Valor1;PERIODO;VALOR
Nombre;Hogares con conexión de banda ancha. Total;2024;96,8
Nombre;Hogares con conexión de banda ancha. Total;2023;96,4
Nombre;Hogares con conexión de banda ancha. Total;2022;96,1
Nombre;Hogares con conexión de banda ancha. Total;2021;95,9
Nombre;Hogares con conexión de banda ancha. Total;2020;95,3
Nombre;Hogares con conexión de banda ancha. Total;2019;91,2
Nombre;Hogares con conexión de banda ancha. Total;2018;86,1
Nombre;Hogares con conexión de banda ancha. Total;2017;82,7
Nombre;Hogares con conexión de banda ancha. Total;2016;81,2
Nombre;Hogares con conexión de banda ancha. Total;2015;77,8
Nombre;Hogares con conexión de banda ancha. Total;2014;73,0
