,artist,listeners,playcount,bio_content
0,carolina durante,48087,3021186,"Carolina Durante es una banda madrileña formada en 2017, cuya música puede catalogarse dentro de géneros como el punk, el pop o el indie. La agrupación musical está compuesta por Diego Ibáñez, Martín Vallhonrat, Juan Pedrayes y Mario del Valle.​ <a href=""https://www.last.fm/music/Carolina+Durante"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
1,izal,59554,2698099,"In 2010, with more than 10 years of experience behind them, five musicians came together to form IZAL. A band made up of Mikel Izal (vocals, composer, guitar, ukulele), Emanuel Pérez “Gato” (bass), Alejandro Jordá (drums and percussion), Alberto Pérez (guitar, Lap Steel) and Iván Mella (piano, keyboards, synthesizers ). Coming from different geographical locations, Madrid became their ""base"" of operations, which is why the name ""Madrid band"" has been highly honored since its inception, despite not being originally from the capital. Vitoria and Pamplona, Málaga and Henderson (Argentina), Valencia, Calamonte in Extremadura and Bilbao come together in a band with multiple references that have managed to create their own musical and conceptual personality.

Step by step, with 4 studio albums behind them (Magia y efectos especiales (2012), Agujeros de worm (2013), Copacabana (2015) and Autoterapia (2018), the band is positioned as the benchmark of the alternative scene and pop-rock from Spain, as the headliner at festivals as well as filling large arenas on their own tours, with the plus of having carried out a totally self-managed career from the beginning.

In autumn 2021, their fifth studio album, Hogar, was released independently, under the Hook Ediciones Musicales label and distributed by Altafonte. Hogar, an album of ten everyday stories told through photography, storytelling, video and song. Produced by IZAL, Brett Shaw (Foals, Florence and The Machine, Lady Gaga, etc.) and Sancho Gómez-Escolar, who dedicated the last months of 2020 to building ten new musical homes straddling the landscapes of the Tramontana mountains in Mallorca , the frenzy of the Madrid asphalt and the stubborn London rain. <a href=""https://www.last.fm/music/Izal"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
2,alec benjamin,1120296,40898975,"After getting dropped by Columbia Records at 18 years old, singer-songwriter Alec Benjamin built a following by playing in parking lots outside of Shawn Mendes and Troye Sivan concerts. The Phoenix, Arizona native caught the attention of Jon Bellion, earning a songwriting credit on Bellion’s debut album and later joined him on tour.

To build on the momentum, Benjamin began uploading new songs to his YouTube channel at a rapid clip and eventually earned a viral hit with “I Built a Friend” and a deal with Atlantic Records.

Benjamin connects to listeners by incorporating using his life struggles to tell stories and give meaning to his songs. You can see this in “Let Me Down Slowly,” “Paper Crown,” “I Built a Friend,” “Death of a Hero,” and “If We Have Each Other.”
Benjamin released his first studio album mixtape, Narrated for You on November 16, 2018, and released his first studio album, These Two Windows on May 29, 2020 <a href=""https://www.last.fm/music/Alec+Benjamin"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
3,viva suecia,29496,1201340,
4,girl in red,1995230,89255374,"girl in red is the pop music project of Norwegian singer-songwriter and record producer Marie Ulven Ringheim. She appeared on the scene with her homemade, bedroom pop songs about romance and mental health featured on the early EPs Chapter 1 and Chapter 2. Her debut studio album If I Could Make It Go Quiet was released through AWAL on April 30, 2021.

girl in red has been cited as a queer icon by PAPER Magazine and a ""phenomenon"" who is ""one of the most astute and exciting singer-songwriters working in the world of guitar music"" by The New York Times. She was nominated for Best New Artist at the 2020 Norwegian Grammy Awards. In January 2021, her singles ""I Wanna Be Your Girlfriend"" and ""We Fell in Love in October"" were certified gold by the Recording Industry Association of America (RIAA).

girl in red's second studio album, I'M DOING IT AGAIN BABY! was released on April 12, 2024, via Columbia Records.

The subject matters of Ulven's music range from romance and heartbreak to mental illness and the experience of being queer. She named Taylor Swift as one of her biggest musical influences. <a href=""https://www.last.fm/music/Girl+In+Red"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
5,ellie goulding,3346543,125561969,"Ellie Goulding (born Elena Jane Goulding, 30 December 1986 in Hereford, England) is an English singer-songwriter. Having caught the public's attention in 2010 with her singles ""Starry Eyed"" and ""Guns and Horses,"" British vocalist Ellie Goulding quickly rose to the top of the charts with her infectious electronic pop sound. Although she started out writing songs in a folk-inflected style, she eventually grew into a more electronic-influenced artist, touching upon dance music and ambient synth pop. With her unique soprano warble and knack for writing catchy yet emotionally earnest songs, Goulding, much like her predecessors Kate Bush and Imogen Heap, stands at the forefront of contemporary mainstream music and arty, independent-minded pop.

Born in Hereford, England, she later moved to the country's east coast to study drama at the University of Kent. Goulding had developed a love for folk music as a teenager, and her time at university also exposed her to electronica. After two years, she took a break from her studies and moved to West London, where she pursued a career as an alternative singer/songwriter and befriended producers like Starsmith and Frankmusik, who gave her songs an electro-pop twist. In 2009, Goulding began building an audience via the Internet, where early tracks like ""Starry Eyed"" and a cover of Sam Sparro's ""Black & Gold"" were posted on tastemaking MP3 blogs such as Discodust. Goulding soon graduated from the blogosphere to print media, gaining praise from mainstream publications like The Guardian and fielding offers from record labels. She ultimately signed a major-label deal with Polydor Records and began making preparations to release her debut album. In the meantime, she penned songs for Diana Vickers, Gabriella Climi, and others.

During the final weeks of 2009, Goulding topped the BBC's Sound of 2010, a poll conducted by British music critics and industry insiders to identify new talent. Building on that momentum, she released Lights -- a sparkling debut album that splashed Goulding's vocal flutter across a landscape of acoustic and synthesized instruments -- in March 2010. Lights topped the U.K. charts during its first week and spun off ""Starry Eyed"" as a Top Five single (it also charted well in Ireland and New Zealand). Later that year, the album was re-released as Bright Lights, featuring seven new recordings (including a cover of Elton John's ""Your Song,"" which peaked at number two).

In 2012, Goulding returned with her sophomore album, Halcyon, which showcased an even more sonically adventurous, electro-pop-infused sound. In 2013, a deluxe reissue featuring ten extra songs was released; entitled Halcyon Days, it acted as a supplement to the original release. Two of its new songs, ""Burn"" and ""How Long Will I Love You,"" were among her biggest hits. The following year, she was featured on Calvin Harris' Top Ten U.K. hit ""Outside,"" participated in Band Aid 30's update of ""Do They Know It's Christmas?,"" and entered the U.K. Top Ten once more with ""Beating Heart,"" a song released on the soundtrack for Divergent. Another soundtrack single, ""Love Me Like You Do,"" added to the success of Fifty Shades of Grey in 2015.

That same year, Goulding released her third studio album, Delirium, which featured collaborations with Max Martin, Greg Kurstin, and others. The pop-leaning Delirium included the single ""On My Mind"" and peaked at number three on the U.S. and U.K. charts. Goulding returned in 2017 on ""First Time,"" a collaboration with electronic producer Kygo.

In 2018, Goulding joined Tap Management after almost a decade with First Access Management.[107] She appeared on a collaboration with Sean Paul on his Mad Love the Prequel EP titled ""Bad Love"", released on 29 June 2018.[108]

Goulding collaborated with Diplo and Swae Lee on the single ""Close to Me"", which was released on 24 October 2018.[109] On 1 January 2019, The Guardian reported that she has been working on her fourth album, set to release in the same year.[110] On 1 March, she released the next single ""Flux"".[111] She said regarding the album, ""It's very much written by me"".[112]

On 12 April 2019, Goulding released the single ""Sixteen"".[113] Goulding said of the single, ""...That age was such a pivotal year for me in many ways and this song is so close to my heart. It takes me back to the reckless days of being a teenager and I hope it reminds us all about the innocence of youth.""[114]

Goulding released ""Hate Me"" with American rapper Juice Wrld on 26 June 2019.[115][116] It was premiered by Zane Lowe as his 'World Record' on Beats 1.[117] In July, Goulding stated that her next material to be released would be the songs ""Woman I Am"" and ""Start"".[118] In November, she released her rendition of Joni Mitchell's Christmas song ""River"", which topped the UK Singles Chart, becoming her third UK number one single and the last UK number one song of the 2010s.[119]

On 13 March 2020, Goulding released the new single ""Worry About Me"" which was created in-collaboration with Blackbear.[120] In a radio interview with Heart the same month, she revealed that the album ""kind of comes in two parts"", adding that ""the first side is something written entirely by me which was fun and I wrote most of it in New York when I was living there a few years back. I play the guitar and I play the bass and piano and then I'm singing a lot of vocals. It's very classically influenced because I love classical music. There's a lot going on, it's a big soundscape and one big film. The second half is my kind of alter ego songs.""[121] On 21 May she released single ""Power"" and on 30 June single ""Slow Grenade"" with Lauv.

Goulding released her fourth studio album, Brightest Blue, on 17 July 2020. Originally scheduled for 5 June 2020, the album's release was delayed due to the COVID-19 pandemic. The album debuted at the top of the UK Album Chart, becoming Goulding's third album to do so,[122] as well as at No. 2 in Scotland.[123] It reached the top 10 in Ireland[124] as well as the top 40 in over ten countries including Australia, Germany and the United States.

Goulding announced on an Instagram Q&A that she would be releasing new music which was not part of the Brightest Blue era at the end of January 2021.[125] On 21 January, she released a collaboration with electronic duo Silk City, titled ""New Love"".[126] On 30 September, Goulding performed ""Anything Could Happen"" as part of the opening ceremony for Expo 2020, held in Dubai.[127]

On 19 June 2022, Goulding performed at Rock in Rio in Lisbon, Portugal. After the concert, she announced that she would be releasing new music in July. The following day, she blacked out all her social media profiles.[128] Back in July 2021, during an interview with Joe Wicks, she described the forthcoming album as ""a dance record. It's electronic pop, a dance thing from outer space"".[129] On 4 July 2022, she announced the release of ""Easy Lover"" featuring Big Sean, which was released on 15 July.[130] The single did not enter the UK Singles Top 100, but peaked at number 31 on the UK Singles Downloads Chart Top 100.[131] It was followed by ""All by Myself"", a collaboration between Goulding and producers Alok and Sigala, on 7 October.[132] Goulding released the single ""Let It Die"" along with its video on 19 October and announced the same day that her fifth studio album Higher Than Heaven would be released on 3 February 2023.[133][134]

On 22 March 2023, Goulding released the single ""By The End Of The Night"".[135][136] <a href=""https://www.last.fm/music/Ellie+Goulding"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
6,elyella,15889,214661,
7,mitski,2597034,489029393,"Mitski Miyawaki (born Mitsuki Laycock) is a Japanese-American singer and songwriter. Born in Mie Prefecture, Japan to an American father and a Japanese mother, she moved frequently while growing up due to her father's job at the United States Department of State, living in Turkey, China, Malaysia, the Czech Republic and the Democratic Republic of Congo before settling in the United States. She sang in a choir in high school and was 18 when she wrote her first song on the piano.

She self-released her first two albums, Lush and Retired from Sad, New Career in Business, while studying studio composition at Purchase College's Conservatory of Music. The albums were originally made as her senior project. Her third studio album, Bury Me at Makeout Creek, was released in 2014 on the label Double Double Whammy.

Mitski signed with Dead Oceans in 2015 and released Puberty 2, Be the Cowboy and Laurel Hell , the last of which made the top ten in several countries. In 2022, The Guardian dubbed her the ""best young songwriter"" in the United States. That same year, she co-wrote ""This Is a Life"" for the film Everything Everywhere All at Once, which earned her an Academy Award nomination for Best Original Song. Her seventh studio album, The Land Is Inhospitable and So Are We, was released in 2023. <a href=""https://www.last.fm/music/Mitski"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
8,ed maverick,142522,6368485,"Eduardo Hernández Saucedo (born January 19, 2001), known professionally as Ed Maverick is a Mexican folk singer-songwriter. He became famous mainly by the sharing of his songs on social media platforms.

Bio:
Ed Maverick taught himself how to play the guitar. The first song he learned was, ""Simple as this"" by Jake Bugg. He began to compose songs in 2017 at the age of 16, in his hometown in Chihuahua. Among his influences are the rising Mexican musicians Dromedarios Mágicos, Juan Cirerol, and Little Jesus. His career has grown very quickly, making him to achieve fame in a relatively short period of time.

In 2018 Universal Music Group signed Maverick, and he released the albumMix pa' llorar en tu cuarto (transl. Mix to cry in your room). The album also included the hit, Fuentes de Ortiz (transl. Ortiz Fountains), the second song that Maverick composed. In 2019 he became one of the most viral artists on Spotify. That year he also performed at the Lunario del Auditorio Nacional and the Teatro Metropolitan. At the latter location, he set a record for selling out his concert dates faster than any other Mexican artist. Also that year, Maverick earned an AMPROFON Gold Disc for his debut album Mix pa' llorar en tu cuarto.

Discography:
Mix pa' llorar en tu cuarto (2018, Universal Music)
Transiciones (2019, Universal Music Group) <a href=""https://www.last.fm/music/Ed+Maverick"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
9,tv girl,2153304,194996012,"TV Girl is a Los Angeles-based American band consisting of Brad Petering, Jason Wyman, and Wyatt Harmon. The band describes their music as indie pop and something ""you can sing along to, but wouldn't sing around your parents"".  TV Girl's Todd Rundgren sampling song ""If You Want It"" gained traction on the internet and became popular enough for Warner Music Group to take notice and take it down. <a href=""https://www.last.fm/music/TV+Girl"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
