,artist,listeners,playcount,bio_content
0,anuel aa,490766,20995568,"Emmanuel Gazmey Santiago, known professionally as Anuel AA, is a Puerto Rican rapper and singer, a pioneer of the Latin trap movement. Gazmey's music addresses topics such as street life, violence, sex, and drugs. He is seen as a controversial figure in the Latin music scene for his legal troubles and feuds with fellow Puerto Rican rappers Cosculluela and Ivy Queen and with American rapper 6ix9ine.  His music often contains samples and interpolations of songs that were popular during his youth.

After being released from prison on July 17, 2018, Gazmey released his first full-length album titled Real Hasta la Muerte which contained 12 songs and landed at number one on the Billboard Top Latin Albums chart. He won the 2019 Billboard Latin Music Award for New Artist of the Year. <a href=""https://www.last.fm/music/Anuel+AA"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
1,cosculluela,246603,2906386,"Born in Humacao, Puerto Rico, Jose Cosculluela a.k.a Cosculluela discovered at a young age that his passion was music. He got into rap music at age 12, listening to cassettes from Vico C and singing his songs. After listening to the underground album Playero 37, he and his brother bought some recording equipment and he knew at that moment that the only thing he ever wanted to do was music. He started writing, recording and selling underground mixed cassettes in Humacao, meeting new friends and eventually formed the group KnockOut Trax. More than just a hip-hop group, they were producing, singing and doing productions for other artists in Puerto Rico as KnockOut Trax Inc. (under the label Invasion Music). He also had the opportunity to participate on Don Omar's first various artists album, Los Bandoleros with the hit song Vamos a Darle. His breakthrough came with the album Buddhas Family 2 with the song Te va a ir mal featuring Getto, with this song he won the acceptance of the public naming him one of the top prospects in Reggaeton Latino and Hip-hop. This young artist of Puerto Rico has a very bright future and a stock rising fast Right now he has generated major buzz on the reggaeton genre and he is working on collaborations with Don Omar, Frankie Jay and many more. Also he participates in many various artists discs standing out with his different flow , and having everybody talking about him. <a href=""https://www.last.fm/music/Cosculluela"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
2,nicky jam,824489,11215604,"
Nick Rivera Caminero better known as Nicky Jam was born to a Puerto Rican father and a Dominican mother in 1980 in Boston Massachussets which he live in until he was six and moved to 
Barrio Obrero, P.R. He is a reggaeton artist known for hits like:
""Me Voy Pa'l Party"" ""Chambonea"" 
""No Soy Tu Marido"" ""I'm Not Your Husband"" which is a remix in spanglish of ""No Soy Tu Marido""
 <a href=""https://www.last.fm/music/Nicky+Jam"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
3,bad bunny,1675315,238559075,"Benito Antonio Martínez Ocasio (born March 10, 1994), known professionally as Bad Bunny, is a Puerto Rican singer, rapper, and producer based out of San Juan. Emerging in 2016, he quickly rose to national success on the strength of his early singles and soon signed with Hear This Music, an agency owned by fellow Puerto Ricans DJ Luian and Mambo Kingz. Appearances with Ñengo Flow, Anitta, and Ozuna soon followed and in early 2017, he kicked off an especially prolific run with the singles ""Pa Ti"", ""Loco Pero Millonario"" and ""Dime Si Vas a Volver"" amid numerous collaborative tracks with acts like Poeta Callejero, Farruko, Brytiago, Almighty, and others. <a href=""https://www.last.fm/music/Bad+Bunny"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
4,bryant myers,135000,3415467,"Bryan Robert Rohena Pérez, known professionally as Bryant Myers, is a Puerto Rican Latin trap and reggaeton singer and songwriter. Rohena was born in Loma Alta, Puerto Rico. He began sampling and making his own songs in 2013 and launched them on social media via his SoundCloud, Instagram and YouTube accounts. <a href=""https://www.last.fm/music/Bryant+Myers"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
5,alex rose,133541,2187123,"Alex Rose. Alexis Guzmán Artista y Compositor de "" Oidos Fresh Company"". <a href=""https://www.last.fm/music/Alex+Rose"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
6,yannc,45169,397199,
7,trap capos,63972,1308418,
8,sebastian yatra,531346,11586069,"Sebastián Obando Giraldo (born 15 October 1994), known professionally as Sebastián Yatra, is a Colombian singer and songwriter. He began as a Latin pop artist and has recorded many ballads, but has released several successful reggaeton singles. Yatra is noted for his romantic lyrics, melding traditional lyricism with modern reggaeton influences. He rose to prominence in Latin America in 2016 when he released the hit ""Traicionera"". He has released three studio albums and recorded with artists from a diverse range of musical genres throughout his career.

Born in Medellín and raised primarily in Miami, Yatra began singing at a young age and returned to Colombia to begin his musical career. He achieved breakout success with ""Traicionera"" followed by ""Robarte un Beso"" featuring Carlos Vives. ""Traicionera"" served as the lead single for his 2018 debut album, Mantra, which also featured the single ""Sutra"", featuring Puerto Rican rapper Dalmata. He then released the album Fantasia including the lead single ""Un Año"" featuring Mexican band Reik. He received continued success collaborating with Daddy Yankee, Natti Natasha, and the Jonas Brothers on the bilingual single ""Runaway"".

Yatra's music has been classified as Latin pop, reggaeton, and ballads. According to The Fader, Yatras music lands ""somewhere in between the olden times’ sappy romantics and the new wave’s sensuous vibras.""He is influenced by Latin pop and reggaeton artists Ricky Martin, J Balvin, Juanes, and Reik. In an interview with Billboard, he expressed a desire to collaborate with Italian opera singer Andrea Bocelli. Yatra believes that contemporary musicians commit an ""error in associating ballads with boring and slow and old"", and hopes to rejuvenate intererest in ballads for a younger audience.However, his music contains elements of other genres; Desire Thompson of Vibe described his song ""Traicionera"" as a ""trap-EDM blend"".

Despite growing up in Florida and being fluent in English, Yatra sings almost exclusively in Spanish. Yatra explains, “My goal was always to be a singer in Spanish. And I really wanted to understand where I come from and live it. A lot of times I went to Colombia and, even though I spoke Spanish and was always speaking Spanish with my parents, I still felt like an outsider. I wasn’t 100 percent part of it. I wanted to give my roots the importance they deserve. ”His June 2019 song ""Runaway"" was his first foray into bilingual songwriting. In December 2019, he collaborated with South Korean boy group Monsta X for the song ""Magnetic"", which features verses from Yatra in Spanish and a bridge from Monsta X in Spanglish. Sara Delgado of Teen Vogue called the song a ""truly international pop hit"". <a href=""https://www.last.fm/music/Sebastian+Yatra"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
9,nacho,125066,1087751,"José Ignacio Torres nace en Santiago el 17 de junio de 1986. Su afición a la música viene desde niño, su padre lo hacia escuchar mucha, llegando a cantar algunos boleros junto a el en su infancia. A los 15 o 16 años su afición se volvio un poco más firme, aprendió a tocar guitarra, lo cual facilitó la inmersión en la musica. Más o menos hace 3 años, ""Nacho"" como le dicen todos sus amigos, transformo su aficion al canto en algo más serio, tras participar en el disco "" dejando huellas"" de mc Beiser, en el cual participaron tambien quienes trabajan en la produccion de sus temas. Actualmente Nacho estudia Pedagogía en música, en la Universidad Mayor de Santiago, paralelamente trabaja en la grabacion de su Primer disco "" Cosas Sencillas"" el que esta compuesto en su totalidad por él y producido por el músico Cristobal Vargas [tiei e Imaabs] en conjunto a Juan Patricio Faundez [dj two faces] quien es el ingeniero a cargo y Alvaro Severino[yuyo de negro quinteto], quien  estará a cargo de las guitarras. El disco se espera para el mes de mayo y será editado por Neurotyka.

http://myspace.com/soulnash
http://myspace.com/tiei
http://myspace.com/imabs
http://myspace.com/djtwofaces
http://myspace.com/alvaroseverino

http://www.neurotyka.org <a href=""https://www.last.fm/music/Nacho"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
10,super yei,103205,1198866,
11,yandel,394580,6622592,"Yandel is half of the superstar reggaeton duo Wisin & Yandel, who enjoyed mainstream breakthrough success with Pa'l Mundo (2005). Born Llandel Veguilla Malavé on January 14, 1977, in Cayey, Puerto Rico, he and Wisin began performing as a duo in the late '90s (Yandel then billing himself as ""Llandel"") and made their album debut in 2000 with Los Reyes del Nuevo Milenio. They later made the jump to a major label in 2003 with Mi Vida... My Life, their first for Universal subsidiary Machete Music. Pa'l Mundo then catapulted them to mainstream success in 2005. Subsequently, Wisin & Yandel established their own label, WY Records, and presented an affiliate group, Los Vaqueros. ~ Jason Birchmeier, All Music Guide <a href=""https://www.last.fm/music/Yandel"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
12,ozuna,738304,20793921,"Juan Carlos Ozuna Rosado (born March 13, 1992), known simply by his surname Ozuna , is a Puerto Rican Latin trap and reggaeton singer who is regarded as the "" New King of Reggaeton"". He has released two successful albums Odisea (2017) and Aura (2018), and since the beginning of his career, he has sold around 15 million records, making him one of the best-selling Latin music artists of all time. He made his acting debut in the film Que León. <a href=""https://www.last.fm/music/Ozuna"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
13,almighty,51772,981691,"Almighty is a hiphop supergroup of Babygrande Records. Their debut album Original S.I.N. (Strength in Numbers) was released on July 22nd 2008 with  Babygrande Records. 

Almighty, the Wu-Tang affiliated supergroup consists of Killah Priest, Bronze Nazareth, C-Rayz Walz, Son One, M-Eighty, 5-Star and more, offer their debut collaborative effort: ""Original S.I.N. (Strength in Numbers)."" 

Boasting a supergroup collective rivaling any crew of independent MCs and beatmakers,  Almighty is prepared to change the face of the independent hip-hop landscape. Also featuring artists such as Canibus, Keith Murray, Planet Asia, Holocaust, Hussein Fatal (Tupac's The Outlawz), Almighty's ""Original S.I.N.""   is an attempt to rival such supergroup retail smashes as Army of the Pharaohs, Wu-Tang Meets The Indie Culture.

–

2) Almighty is a Cuban rapper and singer of the Latin urban genre and since 2019 of the Christian genre. <a href=""https://www.last.fm/music/Almighty"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
14,dj luian,109492,984674,
15,brytiago,160178,2406754," <a href=""https://www.last.fm/music/Brytiago"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
16,maluma,827775,23654646,"Juan Luis Londoño Arias (Born January 28, 1994, Medellín, Colombia), is a singer of Colombian nationality. He began his musical career at an early age in his hometown of Medellín, there has developed an established career in Latin America, becoming nominated for several awards from major musical relevance.

Prior to serving as a singer, Maluma started in football, a sport he practiced for eight years in a row, reaching the lower divisions of the equipment Atlético Nacional and La Equidad.In an interview with the newspaper El Universal, the artist spoke of what football left in his life: ""[...] the time came that things in football were getting difficult, some doors were closing in music instead many were opening"". Thus, at the age of 17 years, when he was a senior level of high school in your city native, the singer decided to start with the music. His debut single, ""Farandulera"" was released on radio stations Colombia.

After ""Farandulera"" It became a local radio hit, the label Sony Music and its subsidiary label in Latin Sony Music Colombia, decided to hire the singer to record their first studio album. So the seal launches next single ""Loco"" where was inspired by the quote rampant and uncontrolled love. The next single was ""Obsession"" which featured a music video to promote the theme, which was held at the Railway Station Antioquia Department and included the participation of Colombian model Lina Posada, who had previously participated in the music video for the song ""Taboo"" (2011) of Don Omar. So far the video has more than forty-two million views on YouTube.

He began his musical career in 2010, recording singles. In 2012 he signed an exclusive contract with Sony Music Colombia, that same year he released his first studio album, entitled ""Magia"". The album was promoted with the singles, ""Obsesión"", ""Miss Independent"", and ""Pasarla Bien"" which he reached the third place in the list of Colombian 'successes' National Report and became the first top Five performer on that list he was nominated for the SHOCK Awards 2012. as ""Best New Artist"" with all of them charting in Latin charts.

In 2013 the artist pitched the final two singles from his debut album; ""Primer Amor"" and ""Miss Independent,"" which had a promotional music video, recorded in Medellín and has more than fifteen million views on YouTube. Alternate visited this Peru, where he participated in the TV show Combate. In Colombia, the subject took second place in the list of successes National Report the number one issue was Como Le Gusta a Tu Cuerpo in Carlos Vives duet with Brazilian Michel Teló. The first single from the upcoming album artist is named ""La Temperature"", a duet with Puerto Rican singer Eli Palacios, which achieved the seventh position National Report.

The issue also became his first single to enter the US charts for the Latino audience of Billboard; theme debuted at thirty-eight position in the list Tropical Songs, and the thirty-six of 'position' Latin Pop Airplay, besides achieving fourth place in the ""Latin Rhythm Airplay"".

That same year the artist is nominated for several awards, including the Shock 2013 Awards in the category ""Best Song Radio"" with the theme ""temperature"", which eventually won, Shock 2013 as well as nominations in the 2013 MTV Europe Music Awards in the category Best Latin America Central Act and the Latin Grammy Awards of 2013 as Best New Artist, where the winner was the Guatemalan Gaby Moreno.

In 2014, He later launched his music videos ""La Curiosidad"", ""Addicted"" and ""Carnaval"" and collaborated with international artists like simple Elvis Crespo, on the theme ""Olé Brazil ', which he reached the top of the Tropical Songs list, which lasted a week in that position and ranked forty in Latin Airplay . Also collaborated on the theme ""I lived"" of Jorge Villamizar, which won the forty position Latin Airplay. At his young age, is already considered one of the greatest exponents of music reggaeton in Latin America. The artist under the label that oversees launch his second album Pretty Boy, Dirty Boy , with the manager Carlos Vives, Walter Kolm, in this album the artist explores rhythms like Merengue and Electronic.

On July 16, 2014, the singer appears in the show of the 2014 Premios Juventud., Where he first played at the ceremony ""La Temperatura"". That same month the singer is confirmed as a judge and coach of the musical program Caracol Television The Voice Kids, there will be next to Fanny Lu and Andrés Cepeda. In August debut as a presenter at the inaugural awards Nickelodeon Latin America, Kids' Choice Awards Colombia 2014.


 <a href=""https://www.last.fm/music/Maluma"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
17,daddy yankee,1782544,36511869,"Ramón ""Raymond"" Luis Ayala Rodríguez (born February 3, 1977), known artistically as Daddy Yankee, is a Latin Grammy Award winning Puerto Rican reggaeton recording artist. Ayala was born in Río Piedras, the largest district of San Juan, Puerto Rico, where he became interested in music at a young age. In his youth he was interested in baseball, and aspired to become a Major League Baseball player. He was unable to continue this sport when he got shot in the leg by being mistaken for his friend by a unknown man, leaving him unable to walk correctly. He then became involved in the underground rap movement that was in its early stages in Puerto Rico, later to be called Reggaeton. After receiving lessons from several artists within the genre, he developed an independent career, first recording in a production titled Playero 37. After this he began to produce independent albums. His first solo album was No Mercy in 1995. He subsequently formed a duo with Nicky Jam, and then continued his solo career with the releases of El Cartel and El Cartel II. This led him be one of many pioneers of the reggaeton genre.

In 2002 El Cangri.com became Ayala's first album with international success, receiving coverage in the markets of New York and Miami. Barrio Fino was released in 2004, and the album received numerous awards, including a Premio Lo Nuestro and a Latin Billboard, as well as receiving nominations for the Latin Grammy and MTV Video Music Awards. Barrio Fino performed well in the sales charts of the United States, Latin America, Europe, and Japan. On June 5, 2007, El Cartel Records released El Cartel: The Big Boss, which was ranked as the top-selling album in Latin music genres in 2007. He promoted the album with an international tour which began in the United States and continued through Latin America, breaking attendance records in Ecuador and Bolivia. His performances have appeared on more than 70 albums, including compilations such as Mas Flow 2 and Blin Blin Vol. 1. Outside of his work as a musician, Ayala has also worked as an actor and producer. Throughout his career, he has been generally reticent to discuss his personal life, but has publicly expressed the importance of his wife and children to him. <a href=""https://www.last.fm/music/Daddy+Yankee"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
18,nio garcia,315077,4584848,"Luis Antonio Quiñones García conocido por su nombre artístico Nio García es un cantante, compositor y bailarín puertorriqueño.​​ <a href=""https://www.last.fm/music/Nio+Garcia"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
