,artist,listeners,playcount,bio_content
0,la la love you,52234,1300873,
1,maluma,825129,23555526,"Juan Luis Londoño Arias (Born January 28, 1994, Medellín, Colombia), is a singer of Colombian nationality. He began his musical career at an early age in his hometown of Medellín, there has developed an established career in Latin America, becoming nominated for several awards from major musical relevance.

Prior to serving as a singer, Maluma started in football, a sport he practiced for eight years in a row, reaching the lower divisions of the equipment Atlético Nacional and La Equidad.In an interview with the newspaper El Universal, the artist spoke of what football left in his life: ""[...] the time came that things in football were getting difficult, some doors were closing in music instead many were opening"". Thus, at the age of 17 years, when he was a senior level of high school in your city native, the singer decided to start with the music. His debut single, ""Farandulera"" was released on radio stations Colombia.

After ""Farandulera"" It became a local radio hit, the label Sony Music and its subsidiary label in Latin Sony Music Colombia, decided to hire the singer to record their first studio album. So the seal launches next single ""Loco"" where was inspired by the quote rampant and uncontrolled love. The next single was ""Obsession"" which featured a music video to promote the theme, which was held at the Railway Station Antioquia Department and included the participation of Colombian model Lina Posada, who had previously participated in the music video for the song ""Taboo"" (2011) of Don Omar. So far the video has more than forty-two million views on YouTube.

He began his musical career in 2010, recording singles. In 2012 he signed an exclusive contract with Sony Music Colombia, that same year he released his first studio album, entitled ""Magia"". The album was promoted with the singles, ""Obsesión"", ""Miss Independent"", and ""Pasarla Bien"" which he reached the third place in the list of Colombian 'successes' National Report and became the first top Five performer on that list he was nominated for the SHOCK Awards 2012. as ""Best New Artist"" with all of them charting in Latin charts.

In 2013 the artist pitched the final two singles from his debut album; ""Primer Amor"" and ""Miss Independent,"" which had a promotional music video, recorded in Medellín and has more than fifteen million views on YouTube. Alternate visited this Peru, where he participated in the TV show Combate. In Colombia, the subject took second place in the list of successes National Report the number one issue was Como Le Gusta a Tu Cuerpo in Carlos Vives duet with Brazilian Michel Teló. The first single from the upcoming album artist is named ""La Temperature"", a duet with Puerto Rican singer Eli Palacios, which achieved the seventh position National Report.

The issue also became his first single to enter the US charts for the Latino audience of Billboard; theme debuted at thirty-eight position in the list Tropical Songs, and the thirty-six of 'position' Latin Pop Airplay, besides achieving fourth place in the ""Latin Rhythm Airplay"".

That same year the artist is nominated for several awards, including the Shock 2013 Awards in the category ""Best Song Radio"" with the theme ""temperature"", which eventually won, Shock 2013 as well as nominations in the 2013 MTV Europe Music Awards in the category Best Latin America Central Act and the Latin Grammy Awards of 2013 as Best New Artist, where the winner was the Guatemalan Gaby Moreno.

In 2014, He later launched his music videos ""La Curiosidad"", ""Addicted"" and ""Carnaval"" and collaborated with international artists like simple Elvis Crespo, on the theme ""Olé Brazil ', which he reached the top of the Tropical Songs list, which lasted a week in that position and ranked forty in Latin Airplay . Also collaborated on the theme ""I lived"" of Jorge Villamizar, which won the forty position Latin Airplay. At his young age, is already considered one of the greatest exponents of music reggaeton in Latin America. The artist under the label that oversees launch his second album Pretty Boy, Dirty Boy , with the manager Carlos Vives, Walter Kolm, in this album the artist explores rhythms like Merengue and Electronic.

On July 16, 2014, the singer appears in the show of the 2014 Premios Juventud., Where he first played at the ceremony ""La Temperatura"". That same month the singer is confirmed as a judge and coach of the musical program Caracol Television The Voice Kids, there will be next to Fanny Lu and Andrés Cepeda. In August debut as a presenter at the inaugural awards Nickelodeon Latin America, Kids' Choice Awards Colombia 2014.


 <a href=""https://www.last.fm/music/Maluma"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
2,the weeknd,4460501,820723188,"Abel Makkonen Tesfaye, popularly known as The Weeknd (born February 16, 1990 in Toronto, Ontario, Canada), is a Canadian R&B/hip-hop musician, singer-songwriter and record producer. He chose his stage name in tribute to when he was 17 years old, when, along with his friend La Mar Taylor, he dropped out of high school, took his mattress, and ""left one weekend and never came home"". However, his estranged former producer Jeremy Rose claims the name was his idea. The letter E was excluded to avoid trademark problems with the Canadian band The Weekend.

The Weeknd gained widespread critical acclaim for his three mixtapes: House of Balloons, Thursday, and Echoes of Silence, which he later compiled to make a remastered, three-disc album titled Trilogy after signing his record deal with Republic. In 2013, he released Kiss Land, which was considered to be his debut studio album.

In 2014, he dropped “Often,” a remix of Beyonce’s “Drunk In Love,” and “King of the Fall.” The Weeknd released two songs in collaboration with the film Fifty Shades of Grey, with Earned It becoming his solo breakout hit.

His second studio album became highly-anticipated, with riveting singles like  The Hills and Can’t Feel My Face leaving fans hungry for more. Beauty Behind the Madness was released on August 28, 2015.

His third studio album, Starboy, was released on November 25, 2016. The Daft Punk-assisted title track led the project as its first official single, released on Wednesday, September 21, 2016, before becoming his third number one track in the United States, as also his home country, Canada. The effort was a commercial success, topping the Billboard 200 albums chart with over 348,000 copies sold in its first week, all eighteen tracks debuting on the Billboard Hot 100, receiving a GRAMMY Award for the Best Urban Contemporary Album, category at the 60th annual ceremony, overall for the second time in his music career and being ranked as the third most popular album of 2017 in the U.S.

Next came the My Dear Melancholy EP, released on March 30, 2018 and revolving around his breakups with Bella Hadid during summer of 2016 and Selena Gomez in October 2017. With the lead single, Call Out My Name, the Canadian singer earned the largest first-day Spotify stream count of any song released in 2018 at that time and his eighth Top 10 entry on Hot 100.

Tesfaye’s fourth studio album (and his first in three years), After Hours was officially released on March 20, 2020, and is named after a 1985 movie directed by his idol, Martin Scorsese. It was primarily supported by November 2019-released singles Heartless and Blinding Lights, with the pair becoming his fourth and fifth #1 singles in the US and the latter his first #1 single in the UK. The title track and In Your Eyes were also released as singles.

Although widely expected to receive multiple nominations for After Hours, Tesfaye failed to receive any nominations for the 63rd Annual Grammy Awards (2021). Tesfaye took to his social media to criticize the Recording Academy, claiming corruption. Speculation arose that the announcement of his then-upcoming Super Bowl performance as well as the discrepancy of being nominated as pop music versus R&B contributed to the snubs. On February 5, 2021 The Highlights was released, as his second greatest hits album. Tesfaye performed at the Super Bowl LV halftime show on February 7, 2021 after announcing he would perform in November 2020. He reportedly spent $7 million on his performance at the show. Despite having a mixed response, the show resulted in a surge in streaming and downloads for Tesfaye's After Hours album as well as for the seven other songs he performed.

His fifth album, Dawn FM was released on January 7, 2022, continuing the writing and production work with Swedish pop svengalis Max Martin and Oscar Holter. The album was preceded by the single Take My Breath in August 2021, with Sacrifice announced as the second single. <a href=""https://www.last.fm/music/The+Weeknd"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
3,rauw alejandro,736603,53777843,"Raúl Alejandro Ocasio Ruiz, known professionally as Rauw Alejandro, is a Puerto Rican singer and rapper. Referred to as the ""King of Modern Reggaeton"", he belongs to ""the new generation"" of Puerto Rican urban musicians. His debut studio album, Afrodisíaco, was released in November 2020. His second studio album, Vice Versa, released in June 2021, featured the lead single ""Todo de Ti"". He has won one Latin Grammy Award from four nominations.

Rauw Alejandro's music style includes Latin R&B, reggaetón, rhythmic pop and ballads. Billboard commented that it has helped ""set him apart from a growing class of pop-leaning reggaetoneros"". He was influenced early on by Presley and Jackson, and later by Ricky Martin, Daddy Yankee and Chris Brown. He also cites Ciara as a musical inspiration. <a href=""https://www.last.fm/music/Rauw+Alejandro"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
4,arde bogotá,19886,1040516,
5,david bisbal,316309,4191566,"
David Bisbal Ferre (born June 5, 1979 in Almería, Spain) is a Latin Grammy-winning Spanish pop singer. He gained his initial fame as a runner up on the interactive reality television show Operación Triunfo produced by Television Española.

He has since released five studio albums, all of which topped the Spanish Albums Chart, in addition to recording a number of live albums. He's toured throughout Europe and Latin America and is now considered to be a crossover international artist.

Beginnings: Operación Triunfo

David Bisbal left school early and worked in a platinum and flower nursery. He was encouraged by his colleagues to audition for a music contest and he initially became part of Orquesta Expresiones where he continued singing and dancing.

In October 2001 he auditioned for the first ever edition of Operación Triunfo (Spanish equivalent of Star Academy) where he was accepted and was one of the 16 finalists. The grand prize was the chance of representing Spain in the Eurovision Song Contest. He came second in the final losing to Rosa López. She went on to sing Europe's Living a Celebration for Spain in the Eurovision Song Contest 2002 (ESC) competition.

 Career

Bisbal signed a contract with Vale Music Record label and released his first album recorded in Miami under the title ""Corazón Latino"" with Kike Santander as a producer. The album became 7 times platinum by summer 2002 after having topped the Spanish charts. The first single from the album, called Ave Maria had a phenomenal success. After winning the Latin Grammys, the album became platinum (over 1 million sales).

In February 2004, he released his second album entitled ""Bulería"" again produced by his friend Kike Santander. It found similar success in Spain and throughout Latin America turning diamond with more than 1 million albums sold in Spain alone, becoming the best Spanish seller of 2004.

In March 2005, he also released a DVD ""Todo Por Ustedes"" that contained live registrations of some of his concerts in the United States, Latin America and Spain.

""Premonición"" became the third studio album by David Bisbal released on 3 October 2006. end of the week, it had achieved enough sales to be certified as 5 times platinum with sales over 400,000 copies in Spain alone. On October 20th, 2009, Bisbal will release ""Sin Mirar Atrás"", which has been received with positive reviews.[1]. On the track Aqui Ahora, which is features on the album Premonicion, David worked with writer/producer DJ Sammy. In 2010 David was featured in Spanish Version of the FIFA 2010 Official World Cup song Waving Flag with Somali-Canadian Musician K'naan who is the original artist of the song.


International Appeal

David Bisbal is considered a successful crossover artist in the United States because of the Hispanic market and internationally as he enjoys popularity in a great number of countries.

On September 3, 2003, he won the Latin Grammies held in Miami from the category ""Best New Artist"". During the event, He sang Angels[2], in a bilingual English / Spanish duet with Jessica Simpson. He also launched a big promotional tour in Latin America with sold-out concerts Argentina, Mexico, Puerto Rico, Venezuela and others.

In 2008, he recorded Hate That I Love You (Odio Que Te Amo)[3] with Rihanna. He achieved European success in Germany, Belgium and Romania in addition to great success in Japan.

In 2009, he recorded Sufriras a Spanish / English duet with singer Pixie Lott, eventually released as a bonus track on the Deluxe Edition of his fourth studio album, Sin Mirar Atrás.


With over 4 million records sold worldwide, more than 300 concerts offered, David Bisbal became one of the singers with more coming in the world of pop music. Now with his new single Esclavo de sus besos (Slave of her kisses) and the song Mi princesa (My Princess) from the new album Sin Mirar Atras, Bisbal start a new chapter in its history as an international pop star.




100 free australia dating sites




 <a href=""https://www.last.fm/music/David+Bisbal"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
6,camilo,308919,6070884,"Camilo Echeverri was the winner of XS Factor 2007 in Colombia. Camilo was born on the 16th March 1994 in Medellin, Colombia, but when he was 4 years old he moved to Monteria. <a href=""https://www.last.fm/music/Camilo"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
7,antonio orozco,109823,1241662,"Antonio Orozco is a Spanish singer-songwriter from Barcelona, Spain.
He has won several prizes like the Premio Onda and sold lots of records, his first album sold more than 100,000 copies, whereas his second album titled Semilla del Silencio sold over 300,000 copies.
In 2005 he released a self titled album Antonio Orozco, which was a compilation of his best songs (twelve in total) that eventually propelled him into stardom outside Spain, mainly in Latin America and other parts of the world. Some of his better known songs include: ""Te Esperaré"" and ""Déjame"".
He is known as well because of his duets with Lucie Silvas (What You're Made Of) and Malú (Devuélveme la vida).
 <a href=""https://www.last.fm/music/Antonio+Orozco"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
8,ovy on the drums,118182,1363708,
9,galvan real,6676,92049,
10,maka,21913,396331,
11,ozuna,735854,20715915,"Juan Carlos Ozuna Rosado (born March 13, 1992), known simply by his surname Ozuna , is a Puerto Rican Latin trap and reggaeton singer who is regarded as the "" New King of Reggaeton"". He has released two successful albums Odisea (2017) and Aura (2018), and since the beginning of his career, he has sold around 15 million records, making him one of the best-selling Latin music artists of all time. He made his acting debut in the film Que León. <a href=""https://www.last.fm/music/Ozuna"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
12,boza,136187,1487675,
