,track_name,artist_name,release_date,id_track,popularity,genero
0,Perdona (Ahora Sí Que Sí),"Carolina Durante, Amaia",2018-11-23,1AODZVWUeYlsKoFTo2iyEA,55,indie
1,Pausa,IZAL,2018-03-09,2xVrFCODKe7cGjc8nkOINq,53,indie
2,Let Me Down Slowly,Alec Benjamin,2018-11-16,2qxmye6gAegTMjLKEBoR3d,80,indie
3,El Pozo,IZAL,2018-03-09,23mLKL6hhER8DHc6PBIRE2,50,indie
4,Amar el Conflicto (todo Lo Que Importa),Viva Suecia,2018-06-01,69WmxTgi8QNP45mKobRDpq,49,indie
5,we fell in love in october,girl in red,2018-11-21,6IPwKM3fUUzlElbvKw2sKl,80,indie
6,Love Me Like You Do,Ellie Goulding,2018-02-09,0Cy7wt6IlRfBPHXXjmZbcP,75,indie
7,Todo Lo Que Importa,"ELYELLA, Viva Suecia",2018-02-23,46zO1Ym5n5R0bcizsOk02v,48,indie
8,Washing Machine Heart,Mitski,2018-08-17,3jjsRKEsF42ccXf8kWR3nu,79,indie
9,Fuentes de Ortiz,Ed Maverick,2018-03-02,0akyEssGRVHstqCSWXusJL,71,indie
10,La Increíble Historia del Hombre Que Podía Volar Pero No Sabía Cómo,IZAL,2018-03-09,47nn8l14VASnhqtV33XGgs,46,indie
11,Blue Hair,TV Girl,2018-05-08,39sDitIeCMrVX2QyXHY46t,79,indie
12,"Fascinados (feat. Joan Manuel Serrat, Leiva, Vetusta Morla, Iván Ferreiro, Loquillo, Zahara, Dani Martin, Albert Pla, Mikel (Izal), Noni (Lori Meyers), Santi Balmes, Xoel López, Anni B Sweet, Jeanette, Carlos Sadness, Nina (Morgan), Juan Alberto (Niños Mutantes), Miri Ros, Javiera Mena, Jorge Martí (La Habitación Roja), Rafa Val (Viva Suecia), Marc (Dorian), Alondra Bentley, Abraham Boba, Carlangas (Novedades Carminha), La Bien Querida, Martí Perarnau IV (Mucho), Nita (Fuel Fandango) & Shuarma (Elefantes))","Sidonie, Joan Manuel Serrat, Leiva, Vetusta Morla, Ivan Ferreiro, Loquillo, Zahara, Dani Martín, Albert Pla, Mikel (Izal)",2018-11-23,2NWWhvKfxY7jVG2PH5F5CY,47,indie
13,Dopamina,Veintiuno,2018-09-21,2OCpUm3GvQtKX57tpolcBO,45,indie
14,I Feel Like I'm Drowning,Two Feet,2018-10-05,3aauaXWRgwCMoykMbI0Jq1,73,indie
15,State Lines,Novo Amor,2018-10-19,7CoMBpPTwQi2wPT0U0Nr9b,71,indie
16,Babydoll,Dominic Fike,2018-10-16,7yNf9YjeO5JXUE3JEBgnYc,77,indie
17,Tieduprightnow,Parcels,2018-04-27,66tkDkPsznE5zIHNt4QkXB,69,indie
18,La Niebla,Siloé,2018-03-02,4sCXfQHVsZIamfMzLOw82u,43,indie
19,Sargento de Hierro,Morgan,2018-03-16,1pv5scBTTQyqN2NOiEj8oe,43,indie
20,Telephones,Vacations,2018,0JIMT9gzLIIz0esKLyjbKf,77,indie
21,Little Dark Age,MGMT,2018-02-09,2Y0iGXY6m6immVb2ktbseM,73,indie
22,Prom Queen,Beach Bunny,2018-08-10,6GJdFTOm23lC5bqjYSMJTj,74,indie
23,Show Me How,Men I Trust,2018-02-28,75IQVo8hqI1iwVZyvkN2VT,76,indie
24,Hoy Empieza Todo,"Viva Suecia, Rufus T. Firefly",2018-03-09,1kO0C9cAJWQnAOVf3njA5n,42,indie
25,Cayetano,Carolina Durante,2018-03-07,1fxZQ0PPz6IOQEYfXojAfK,42,indie
26,3 Nights,Dominic Fike,2018-10-16,0uI7yAKUf52Cn7y3sYyjiX,74,indie
27,Te sigo soñando (feat. Luz Casal) - En Estudio Uno,"Depedro, Luz Casal",2018-10-26,1wyUCUuGYv9MLLL171n8mU,43,indie
28,L'altra dimensione,Måneskin,2018-10-26,36ONZ2CvV8KsLPapNPGTqa,62,indie
29,If We Have Each Other,Alec Benjamin,2018-11-16,7pT6WSg4PCt4mr5ZFyUfsF,72,indie
30,Tadow,"Masego, FKJ",2018-09-07,51rPRW8NjxZoWPPjnRGzHw,71,indie
31,Torna a casa,Måneskin,2018-10-26,3590AAEoqH50z4UmhMIY85,61,indie
32,Nobody,Mitski,2018-08-17,2P5yIMu2DNeMXTyOANKS6k,71,indie
33,ANDRÓMEDA,WOS,2018-10-04,3hNKWD8kkxOEJ7K90PjWri,60,indie
34,The Night We Met,"Lord Huron, Phoebe Bridgers",2018-05-18,5Djt1AQnhfhYJjs4m7WS6G,66,indie
35,Canción para Nadie,IZAL,2018-03-09,5oQ6Q9fsgUpjS2Rth3Bkwg,40,indie
36,Teardrops,NEIL FRANCES,2018-02-14,3GdogCZTpPHBODiiEJbqQm,67,indie
37,Chlorine,Twenty One Pilots,2018-10-05,23OXdR7YuUBVWh5hSnYJau,70,indie
38,Maravilloso,Sidonie,2018-11-23,1AKRUMGsw95tvB8SE6LFWb,39,indie
39,Судно (Борис Рижий),Molchat Doma,2018-09-07,1SHB1hp6267UK9bJQUxYvO,69,indie
40,Acurrucar,Ed Maverick,2018-03-02,1xYBeQ5u8uaJ3oBWktjGyJ,67,indie
41,Bill Murray,IZAL,2018-03-09,1hzT6QSmg5phzqL2oz3QQ9,40,indie
42,i wanna be your girlfriend,girl in red,2018-03-02,5PjdC2gMATetx5xdnwGUu7,70,indie
43,Blood // Water,grandson,2018-05-04,0AUyNF6iFxMNQsNx2nhtrw,66,indie
44,Dopamina,Veintiuno,2018-05-04,6jmlMwy11AlRBxPXHsWfef,39,indie
45,La vida és molt avorrida sense el teu cos,Els Pets,2018-10-19,6RXC23Zrd4jEFjtXL1ZsZp,39,indie
46,Repeat Until Death,Novo Amor,2018-10-19,5PzWVmfzu7rePAuFkxPQf0,65,indie
47,Hoy la Bestia Cena en Casa - Radio Edit,Zahara,2018-11-16,3YNFcufYDvX12bSijAQfHM,39,indie
48,Atlas,Siloé,2018-03-02,4sCE4QNwPkbxUZQzrk6nKa,38,indie
49,Morirò da Re,Måneskin,2018-10-26,1aX0Ki80LFzzhqxqRlqbAV,60,indie
50,Tanca els ulls,Txarango,2018-10-14,28yjAtp15cBAm1bE5ewzU3,38,indie
51,Water Fountain,Alec Benjamin,2018-11-16,4IhKLu7Vk3j2TLmnFPl6To,68,indie
52,Niña de Hielo,Carolina Durante,2018-04-18,0pPfQuVObk6WEACWdyCJn3,38,indie
53,Lightenup,Parcels,2018-10-12,1qtiESAzfGMw3YqJvI97ki,62,indie
54,A Storm on a Summers Day,"Full Crate, Gaidaa",2018-06-07,4svk9KGtIVSEoeG2VjIUSy,65,indie
55,Beyond,Leon Bridges,2018-05-04,1Omt5bfz1tZUCqd26HxbS0,69,indie
56,Casio,Jungle,2018-09-14,44ZKnfWEkp7wPs035j4Tua,65,indie
57,Cartas de Navegación,Shinova,2018-10-05,0oYlTMWO7eFocaAb9b2P7s,38,indie
58,Missili,"Frah Quintale, Giorgio Poi",2018-06-29,5dcyltc1ataieXIeTqhH3t,59,indie
59,"Si Te Vas... - Directo Madrid, WiZink Center",Robe,2018-11-30,2BP9vTlTfaSdsVxtiJIpCV,38,indie
60,Marlboro Nights,Lonely God,2018-06-28,755inykyaG4w22GWAsA3MX,67,indie
61,El Álbum,Shinova,2018-10-05,3kiLDuhyoc73OAq7h0TLy9,37,indie
62,Me and My Husband,Mitski,2018-08-17,3pANfZVFdtuVnJsE6xa5Ox,69,indie
63,3 Nights,Dominic Fike,2018-10-16,1tNJrcVe6gwLEiZCtprs1u,67,indie
64,It Runs Through Me (feat. De La Soul),"Tom Misch, De La Soul",2018-04-06,0vMctOnb4YNIvbqgkbWNDy,63,indie
65,La Gran Eufòria,Joan Dausà,2018-04-13,4Ews3V2EE9m2KmBxR0MNri,37,indie
66,Te Quiero un Poco,Carlos Sadness,2018-02-23,0WDAYiPgyIlAEaZ6sMR5T8,45,indie
67,If I Killed Someone For You,Alec Benjamin,2018-11-16,0WHi11uzahqpEtPGYCW6oQ,65,indie
68,Ez Da Ondo Aterako,"Nøgen, La Maravillosa Orquesta del Alcohol",2018-11-08,7c7IlYP4WJIDx3deKevSEE,37,indie
69,Déjalo ir (feat. Coque Malla) - En Estudio Uno,"Depedro, Coque Malla",2018-10-26,0ojKUWCSDyATa8s2jGYwlD,37,indie
70,Nubes de papel (feat. IZAL) - En Estudio Uno,"Depedro, IZAL",2018-10-26,3PNXXER6KUL9ayBWVqObT9,37,indie
71,Down by the Water,Ocie Elliott,2018-10-19,4Vutl1Y7OJOBwIqVISNmzL,66,indie
72,Amor Viejo,Kevin Kaarl,2018-10-30,3W5h65cRwTaZ1FCvEw6Ltx,65,indie
73,Hasta Que Caiga el Sol,Dorian,2018-05-25,0LSW03YbT674xEKQPr8ccw,38,indie
74,Into Your Arms (feat. Ava Max),"Witt Lowry, Ava Max",2018-06-08,0b11D9D0hMOYCIMN3OKreM,67,indie
75,Got It Bad,LEISURE,2018-10-05,0oADgO0iK3YpTsPkVb2ptT,61,indie
76,Sargento de Hierro,Morgan,2018-03-09,2c2GSTYUlKmTOnKfwIeraA,35,indie
77,A Pearl,Mitski,2018-08-17,7fd3aMiuwHWKsTdZafjOfZ,67,indie
78,No vull que t'agradi aquesta cançó,Els Pets,2018-10-19,2KuzLo3h5MKhZQEjt2VbWG,35,indie
79,It's Called: Freefall,Rainbow Kitten Surprise,2018-04-06,474uVhyGgK5MtY9gMcDgGl,74,indie
80,My Blood,Twenty One Pilots,2018-10-05,5HeKOKc4phmLn8e4I7EkzD,65,indie
81,San Luis,Gregory Alan Isakov,2018-10-05,0mnWNvwXRNu82bpfi2rsuz,67,indie
82,Cariño,The Marías,2018-09-28,16gJmoOqRt2lKmlXtDpWgH,68,indie
83,Such A Simple Thing,Ray LaMontagne,2018-05-18,4PuUa8e5s7P3Zv1IdCGIsa,57,indie
84,Toda Esta Energía,Joe Crepúsculo,2018-09-28,5qX5mQyspQmIc6CJix75K5,35,indie
85,Diciembre (feat. Vetusta Morla) - En Estudio Uno,"Depedro, Vetusta Morla",2018-10-26,2Pf1wo5ry2nnQIkomswyXB,36,indie
86,Llorona (feat. Fuel Fandango) - En Estudio Uno,"Depedro, Fuel Fandango",2018-10-26,1T6597g3jmxLIFdvdJlSMA,36,indie
87,Love Song (feat. Glasses),"Kazy Lambist, Glasses",2018-06-08,0fD6vPYWty2Jy4VVozWzfp,57,indie
88,Tuyo,Zahara,2018-05-18,6AF2otB2Ln0cBvjeaerb26,40,indie
89,Autoterapia,IZAL,2018-03-09,1YVWGT2fQscmhqsuQ8yEGE,35,indie
90,Tidal Wave - Acoustic,Old Sea Brigade,2018-04-20,4I7nXv6iqKh60sWMJdpUbN,58,indie
91,Song For You,Rhye,2018-02-02,0BfLvshnvJldGROufmYCrv,52,indie
92,The Gold - Phoebe Bridgers Version,"Manchester Orchestra, Phoebe Bridgers",2018-07-13,7qcXUzPwoxSBFxjTbNrV0B,68,indie
93,girls,girl in red,2018-06-08,04OSnqlwlBJMvidYccraVz,65,indie
94,Vale,Maribou State,2018-09-07,58FsmlVRQxpjFmXF8vSKMT,61,indie
95,Tal Como Sucedió,Siloé,2018-03-02,3tvkNupo91iJtE5y9JLn0w,34,indie
96,Silver Lining,Mt. Joy,2018-03-02,13xVnZKZDEGbmXkzBFpJDD,72,indie
