,track_name,artist_name,release_date,id_track,popularity,genero
0,El Efecto - Remix,"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex",2019-12-13,74j34STf8L6uADnTN69ohv,68,pop
1,Como Si Fueras a Morir Mañana,Leiva,2019-03-22,4aAfLSx9IthpC3Pw5pNk3E,59,pop
2,Bailemos,Dani Fernández,2019-05-24,5EnaxC9amhXY55ezw87SL8,58,pop
3,Me Rehúso,Danny Ocean,2019-03-22,6ifUES3keWjwXgae8pXI3o,76,pop
4,El Efecto,"Rauw Alejandro, Chencho Corleone",2019-03-15,4SJHHpKhcuXwDsCsPqshXj,74,pop
5,Someone You Loved,Lewis Capaldi,2019-05-17,7qEHsqek33rTcFNT9PFqLf,82,pop
6,Adicto (with Anuel AA & Ozuna),"Tainy, Anuel AA, Ozuna",2019-08-22,3jbT1Y5MoPwEIpZndDDwVq,72,pop
7,Cruel Summer,Taylor Swift,2019-08-23,1BxfuPKGuaTgP7aM0Bbdwr,85,pop
8,Loco,"Enrique Iglesias, Romeo Santos",2019-10-04,3dTNsND92V406EcxZo59tT,56,pop
9,El Fin del Mundo,"La La Love You, Axolotes Mexicanos",2019-11-29,5SeYlZyKVENMOxiSPQkKyw,58,pop
10,Desconocidos,"Mau y Ricky, Manuel Turizo, Camilo",2019-05-03,56f5qnyAlZdlz8wrUDA50h,74,pop
11,Vas A Quedarte,Aitana,2019-06-07,0fwIHsKXNEcb57u2um7z9I,61,pop
12,Baila Baila Baila - Remix,"Ozuna, Daddy Yankee, J Balvin, Farruko, Anuel AA",2019-04-25,7mWFF4gPADjTQjC97CgFVt,68,pop
13,La Luna,Galvan Real,2019-11-21,06Ke9F6uDCPCRlryHzBegD,54,pop
14,Lo Que Te Mereces,Viva Suecia,2019-10-04,1m64wK0vr8OaviUWuIfncH,54,pop
15,Before You Go,Lewis Capaldi,2019-11-22,2gMXnyrvIjhVBUZwvLZDMP,78,pop
16,Cristina,Sebastian Yatra,2019-04-12,703iVQrfbQsXt7Uzgy1h8k,68,pop
17,Indeciso,"Reik, J Balvin, Lalo Ebratt",2019-08-23,59s0s39NFWScuHDbHytI14,66,pop
18,when the party's over,Billie Eilish,2019-03-29,43zdsphuZLzwA9k4DJhU0I,81,pop
19,Watermelon Sugar,Harry Styles,2019-12-13,6UelLqGlWMcVH1E5c4H7lY,78,pop
20,Despacito,"Luis Fonsi, Daddy Yankee",2019-02-01,6habFhsOp2NvshLv26DqMb,76,pop
21,Lo siento,Beret,2019-10-25,5o2M4yHxo9kyNLdgihFeV1,59,pop
22,El Danzar De Las Mariposas,El Barrio,2019-10-24,5vTNflh8i8j3w6sMnsh3Gh,52,pop
23,Fantasias,"Rauw Alejandro, Farruko",2019-08-29,6mAN61JH0dzyZpWslS11jy,68,pop
24,Otro Trago - Remix,"Sech, Ozuna, Anuel AA, Darell, Nicky Jam",2019-07-26,4bTZeO72FwMa6wKOiqoynL,64,pop
25,No Te Preocupes por Mi,Leiva,2019-03-22,7hv7synVPhVu30Ex2amJQc,52,pop
26,Circles,Post Malone,2019-09-06,21jGcNKet2qwijlDFuPiPb,81,pop
27,Mayores,"Becky G, Bad Bunny",2019-10-18,2AY1UAimvTqjJC8vDJsOyy,68,pop
28,everything i wanted,Billie Eilish,2019-11-13,3ZCTVFBt2Brf31RLEnCkWJ,80,pop
29,i love you,Billie Eilish,2019-03-29,6CcJMwBtXByIz4zQLzFkKc,79,pop
30,Ojalá,Beret,2019-10-25,75KrTLbcLWgCcldZGxZR12,60,pop
31,Pobre Diabla,Don Omar,2019-06-14,7gxVgMixTYh4NXiNMao4s2,64,pop
32,Con La Miel En Los Labios,Aitana,2019-06-07,2QJcrJNa4KGxQ6bw0MH3Zx,55,pop
33,La Mejor Versión de Mi - Remix,"NATTI NATASHA, Romeo Santos",2019-10-04,2dy3TKVDEbIeWxeIb8JWqZ,67,pop
34,Me Niego (feat. Ozuna & Wisin),"Reik, Ozuna, Wisin",2019-05-31,4ggiDYAkJ7Yk8d5xOr7Xjo,67,pop
35,Disparos,Dani Fernández,2019-05-24,2F75mXaavRl0hm3rtM15cq,50,pop
36,7 rings,Ariana Grande,2019-02-08,6ocbgoVGwYJhOv1GgI9NsF,79,pop
37,"Yo x Ti, Tu x Mi","ROSALÍA, Ozuna",2019-08-15,7BlBVFwvbWvcwNcUarQmjk,66,pop
38,Lover,Taylor Swift,2019-08-23,1dGr1c8CrMLDpV6mPbImSI,81,pop
39,Al Mismo Tiempo,Rauw Alejandro,2019-05-31,7CF4dWivLZf3Hdg0FKL9Eb,64,pop
40,bad guy,Billie Eilish,2019-03-29,2Fxmhks0bxGSBdJ92vM42m,77,pop
41,Cry,Cigarettes After Sex,2019-10-25,3p4hRhMcb6ch8OLtATMaLw,83,pop
42,Se iluminaba,"Fred De Palma, Ana Mena",2019-09-13,3VPOZWtj8mM89IiRNygxgS,52,pop
43,Detective,Rauw Alejandro,2019-07-08,5lFl0Aksww4t4CGiYYtpZz,57,pop
44,Nothing Breaks Like a Heart (feat. Miley Cyrus),"Mark Ronson, Miley Cyrus",2019-06-21,02dRkCEc8Q5ch4TTcnLxOn,74,pop
45,Where's My Love,SYML,2019-05-03,1B62o4CbdL9ckGvwsz2cgn,76,pop
46,Vuelve,"Sebastian Yatra, Beret",2019-04-12,3wGRfBDRNQb0nFDFrUPvq6,62,pop
47,Agua Fresca,El Barrio,2019-10-24,4JTottjkYpJgPmhYlU052o,49,pop
48,Échame La Culpa,"Luis Fonsi, Demi Lovato",2019-02-01,0mlAOSILGRys2IbvyOT5VJ,68,pop
49,Primaveras En El Pelo,"El Arrebato, Miguel Poveda",2019-09-19,5UdVwPVRb5NWmQksw1Lilq,51,pop
50,Cinnamon Girl,Lana Del Rey,2019-08-30,2mdEsXPu8ZmkHRRtAdC09e,80,pop
51,Una Lady Como Tú,Manuel Turizo,2019-08-23,5jf0PmPCHefQ78uAzqIqbj,66,pop
52,Te Prometo,Viva Suecia,2019-10-04,2XV9XNZ62qzu49Mpzh3nqb,49,pop
53,Un Año,"Sebastian Yatra, Reik",2019-04-12,2vrpcQNg6itmgVZWsNjWe0,65,pop
54,Shameless,Camila Cabello,2019-12-06,2ogKhhoMClkFXek7ZgxAhN,78,pop
55,Ride It,Regard,2019-07-26,2tnVG71enUj33Ic2nFN6kZ,74,pop
56,11 PM,Maluma,2019-05-17,7KbF6AdprOXEEHlsq11Z6d,68,pop
57,Azahara,Galvan Real,2019-09-16,0UPa56v0oHyXm8HtEKkHdO,49,pop
58,Car's Outside,James Arthur,2019-10-18,0otRX6Z89qKkHkQ9OqJpKt,77,pop
59,Someone To You,BANNERS,2019-10-04,2f0pn9DkEJwAzXApnFh5cr,71,pop
60,Que Mas Pues - Remix,"Sech, Justin Quiles, Maluma, Nicky Jam, Farruko, Dalex, Lenny Tavárez",2019-04-19,7fODjB7BrQTGqh0hogW6XD,65,pop
61,Streets,Doja Cat,2019-11-07,60ynsPSSKe6O3sfwRnIBRf,79,pop
62,Don't Give Up On Me,Andy Grammer,2019-07-26,0fiijtFXDJ9MOVwgSaEQJ5,74,pop
63,La bandite,Jul,2019-06-28,0goer5e8B6SJaTV2B51k6f,66,pop
64,Mi Persona Favorita,"Alejandro Sanz, Camila Cabello",2019-04-04,1O4dGIPUXUanseRdv4fNzw,60,pop
65,Otro Trago,"Sech, Darell",2019-04-19,1Ej96GIBCTvgH7tNX1r3qr,65,pop
66,Adore You,Harry Styles,2019-12-13,3jjujdWJ72nww5eGnfs2E7,76,pop
67,Falling,Harry Styles,2019-12-13,1ZMiCix7XSAbfAJlEZWMCp,75,pop
68,Hola Señorita,"GIMS, Maluma",2019-04-26,71MEWIf4Itr8Pd9OW5Mq7q,60,pop
69,Amigos Con Derechos,"Reik, Maluma",2019-05-31,4yVO0wOhXsZC1RuPgHP524,69,pop
70,Señorita,"Shawn Mendes, Camila Cabello",2019-06-19,6v3KW9xbzN5yKLt9YKDYA2,75,pop
71,Destino,"Greeicy, Nacho",2019-05-17,041Kcvnw8nOdq8xiRibPTG,65,pop
72,Bruises,Lewis Capaldi,2019-05-17,4Of7rzpRpV1mWRbhp5rAqG,75,pop
73,Sucker,Jonas Brothers,2019-06-07,22vgEDb5hykfaTwLuskFGD,74,pop
74,Inmortal,Aventura,2019-04-05,2swZ0X1njeU32SNJeBKIfW,63,pop
75,All Around The World (La La La),"R3HAB, A Touch Of Class",2019-04-05,02itaCXOdC54J0ISjqqFAp,68,pop
76,Be Alright,Dean Lewis,2019-03-22,5qrSlOut2rNAWv3ubArkNy,75,pop
