,track_name,artist_name,release_date,id_track,popularity,genero
0,Veneno,"Delaossa, KIDDO, J.Moods",2020-06-04,5BopknbHSxEm9Ohcs4IbGu,59,rap
1,Volver,"Miranda, Hard GZ, Dualy",2020-12-03,3rUkfmLqjZBdW8OxgncHQS,57,rap
2,Ojitos Aguaos,Cruz Cafuné,2020-01-10,41N4CPnTx5JsTpupiZjKWH,55,rap
3,Mortales,"Hard GZ, Dualy",2020-04-17,2WxOZS4JiCW2Q06tPCQp5C,53,rap
4,Lejos,"Delaossa, Cruz Cafuné, Gese Da O",2020-03-24,35hYk23wFUOsHoQfljbz80,54,rap
5,4K,"El Alfa, Darell, Noriel",2020-03-12,1BIXs6CdkPRLytuqoXs6XN,70,rap
6,Lo Pues Intentar,Cruz Cafuné,2020-01-10,64HBLJQcr4KpIuCT9W72Fq,53,rap
7,No Me digas Nada,Quevedo,2020-11-09,15wMJJiVpt2ABQw032Rywi,55,rap
8,Batmóvil - Remix,"Hens, Pole., Funzo & Baby Loud",2020-07-09,3yOmf3oK10XIVRc99bwSyO,52,rap
9,Besalo,"El Alfa, Rauw Alejandro",2020-05-15,2PUdyEnqZUh3zICKE4Fu8N,65,rap
10,GRIS,"Quevedo, ROSO",2020-10-19,6dtt4yvSQs7gH5P3qQaK3N,52,rap
11,Godzilla (feat. Juice WRLD),"Eminem, Juice WRLD",2020-01-17,7FIWs0pqAYbP91WWM0vlTQ,78,rap
12,Y Que Fue?,Don Miguelo,2020-07-29,5UcVIU1tsbN7ZsOSpR8AFD,68,rap
13,Tentaciones,"Cruz Cafuné, ABHIR",2020-01-10,78jDZMtebvn4FgOd8NgZRO,50,rap
14,Dime Cuánto,"Hard GZ, Lupita's Friends, Delaossa",2020-04-17,639fHdjnmN5UBUx4BXLIaP,50,rap
15,En Bajo Perfil,Cruz Cafuné,2020-01-10,1f53Xa0KL3Fw1gEnuHnprI,48,rap
16,Singapur,"El Alfa, Chael Produciendo",2020-05-15,5q7icrT1Wn8PHaePIjYYyg,63,rap
