,track_name,artist_name,release_date,id_track,popularity,genero
0,La Bachata,Manuel Turizo,2022-05-26,5ww2BF9slyYgNOk37BlC4u,73,reggaeton
1,Ojitos Lindos,"Bad Bunny, Bomba Estéreo",2022-05-06,3k3NWokhRRkEPhCzPmV8TW,78,reggaeton
2,Feliz Cumpleaños Ferxxo,Feid,2022-09-14,2CeKVsFFXG4QzA415QygGb,77,reggaeton
3,Hey Mor,"Ozuna, Feid",2022-10-07,1zsPaEkglFvxjAhrM8yhpr,73,reggaeton
4,Moscow Mule,Bad Bunny,2022-05-06,6Xom58OOXk2SoU711L2IXO,76,reggaeton
5,Normal,Feid,2022-09-14,0T2pB7P1VdXPhLdQZ488uH,75,reggaeton
6,Enséñame a Bailar,Bad Bunny,2022-05-06,2NMjggapJcXXM7WccGEBUO,72,reggaeton
7,Tarot,"Bad Bunny, JHAYCO",2022-05-06,41oY4WCTj5kccfesTVFnvN,73,reggaeton
8,Me Porto Bonito,"Bad Bunny, Chencho Corleone",2022-05-06,6Sq7ltF9Qa7SNFBsV5Cogx,77,reggaeton
9,Tití Me Preguntó,Bad Bunny,2022-05-06,1IHWl5LamUGEuP4ozKQSXZ,77,reggaeton
10,¿Qué Nos Pasó?,Anuel AA,2022-05-26,7k3qWn8D43a5ISa3x8lJux,68,reggaeton
11,CHORRITO PA LAS ANIMAS,Feid,2022-12-02,0CYTGMBYkwUxrj1MWDLrC5,72,reggaeton
12,Ferxxo 100,Feid,2022-09-14,1sbNEFiURUYfy024cJX8JG,72,reggaeton
13,Pareja Del Año,"Sebastian Yatra, Myke Towers",2022-01-28,655JkvIwu2rDCaD1hPf04g,70,reggaeton
14,Volare,Danny Ocean,2022-11-10,7nE9H4e4uPOis5sJY39fOc,72,reggaeton
15,Tacones Rojos,Sebastian Yatra,2022-01-28,6ylDpki1VpIsc525KC1ojF,69,reggaeton
16,Efecto,Bad Bunny,2022-05-06,5Eax0qFko2dh7Rl2lYs3bx,75,reggaeton
