,Loyalty_Number,Province,City,Postal_Code,Gender,Education,Salary_$,Marital_Status,Loyalty_Card,CLV,Enrollment_Type,Enrollment_Date
0,480934,Ontario,Toronto,M2Z_4K1,Female,Bachelor,83236,Married,Star,3839.14,Standard,2016-02
1,549612,Alberta,Edmonton,T3G_6Y6,Male,College,79359,Divorced,Star,3839.61,Standard,2016-03
2,429460,British_Columbia,Vancouver,V6E_3D9,Male,College,79359,Single,Star,3839.75,Standard,2014-07
3,608370,Ontario,Toronto,P1W_1K4,Male,College,79359,Single,Star,3839.75,Standard,2013-02
4,530508,Quebec,Hull,J8Y_3Z5,Male,Bachelor,103495,Married,Star,3842.79,Standard,2014-10
5,193662,Yukon,Whitehorse,Y2K_6R0,Male,Bachelor,51124,Married,Star,3844.57,Standard,2012-05
6,927943,Ontario,Toronto,P5S_6R4,Female,College,79359,Single,Star,3857.95,Standard,2014-06
7,188893,Ontario,Trenton,K8V_4B2,Male,Bachelor,100159,Married,Star,3861.49,Standard,2016-12
8,852392,Quebec,Montreal,H2Y_2W2,Female,Bachelor,100159,Married,Star,3861.49,Standard,2015-05
9,866307,Ontario,Toronto,M8Y_4K8,Male,Bachelor,100159,Married,Star,3861.49,Standard,2016-10
10,932823,British_Columbia,Vancouver,V6E_3D9,Female,Bachelor,66444,Married,Star,3863.31,Standard,2015-03
11,144514,British_Columbia,Dawson_Creek,U5I_4F1,Female,Bachelor,49618,Married,Star,3864.78,Standard,2016-06
12,611765,Quebec,Quebec_City,G1B_3L5,Male,Bachelor,90175,Single,Star,3867.97,Standard,2018-01
13,988178,Quebec,Montreal,H4G_3T4,Male,College,79359,Single,Star,3871.07,Standard,2013-10
14,286114,Ontario,Toronto,M2M_7K8,Female,College,79359,Single,Star,3872.22,Standard,2016-11
15,205785,Ontario,Toronto,M2M_6J7,Male,Master,128118,Married,Star,3873.65,Standard,2016-08
16,735304,Alberta,Edmonton,T3G_6Y6,Female,Master,128118,Married,Star,3873.65,Standard,2016-12
17,438936,Quebec,Montreal,H2Y_2W2,Male,Bachelor,94092,Married,Star,3878.77,Standard,2013-10
18,172755,Alberta,Edmonton,T3G_6Y6,Female,College,79359,Single,Aurora,5303.76,2018_Promotion,2018-03
19,354730,New_Brunswick,Fredericton,E3B_2H2,Female,College,79359,Married,Star,3885.46,Standard,2014-10
20,413741,Ontario,Toronto,M1R_4K3,Female,College,79359,Married,Star,3885.46,Standard,2015-07
21,552965,Quebec,Montreal,H4G_3T4,Male,College,79359,Married,Star,3885.46,Standard,2018-11
22,642313,Alberta,Edmonton,T9G_1W3,Male,College,79359,Married,Star,3885.46,Standard,2016-03
23,263080,Alberta,Edmonton,T9G_1W3,Male,College,79359,Single,Star,3886.5,Standard,2014-05
24,109767,Ontario,Toronto,M1R_4K3,Female,Bachelor,89062,Single,Star,3886.65,Standard,2016-05
25,217754,Quebec,Montreal,H2Y_4R4,Female,Bachelor,102400,Single,Star,3887.32,Standard,2015-06
26,157005,British_Columbia,Vancouver,V5R_1W3,Male,Bachelor,98629,Married,Star,3890.87,Standard,2016-10
27,557752,Ontario,Toronto,P1L_8X8,Female,Bachelor,98629,Married,Star,3890.87,Standard,2017-10
28,608758,Ontario,Ottawa,K1F_2R2,Male,Bachelor,63795,Married,Star,3890.96,Standard,2013-07
29,599341,Quebec,Tremblant,H5Y_2S9,Female,Bachelor,54890,Married,Star,3891.54,Standard,2015-11
30,333502,British_Columbia,Vancouver,V5R_1W3,Male,College,79359,Married,Star,3891.58,Standard,2014-03
31,201574,Ontario,Ottawa,K1F_2R2,Female,Bachelor,51375,Married,Star,3893.31,Standard,2015-04
32,403361,British_Columbia,Vancouver,V1E_4R6,Male,Bachelor,70222,Single,Star,3895.03,Standard,2017-10
33,543918,Quebec,Montreal,H2T_2J6,Male,High_School_or_Below,40736,Married,Star,3896.57,Standard,2012-11
34,806030,Alberta,Calgary,T3E_2V9,Female,Bachelor,75861,Married,Star,3903.47,Standard,2018-05
35,119200,British_Columbia,Vancouver,V6E_3D9,Female,Bachelor,69835,Divorced,Star,3903.8,Standard,2017-05
36,938981,Alberta,Edmonton,T3G_6Y6,Female,College,79359,Single,Aurora,5337.35,2018_Promotion,2018-04
37,238119,Quebec,Montreal,H2T_9K8,Male,Bachelor,75980,Married,Star,3906.67,Standard,2013-05
38,730388,Ontario,Thunder_Bay,K8T_5M5,Male,College,79359,Single,Star,3907.03,Standard,2012-05
39,834891,British_Columbia,Vancouver,V5R_1W3,Female,Bachelor,54460,Married,Star,3911.12,Standard,2017-03
40,127400,British_Columbia,Whistler,V6T_1Y8,Female,College,79359,Single,Star,3914.72,Standard,2014-06
41,324557,Quebec,Montreal,H2Y_2W2,Female,College,79359,Single,Star,3914.72,Standard,2013-02
42,742002,Ontario,Toronto,P2T_6G3,Female,College,79359,Single,Star,3915.8,Standard,2016-05
43,536567,Alberta,Peace_River,T9O_2W2,Male,Bachelor,80697,Married,Star,3919.37,Standard,2016-05
44,704835,British_Columbia,Whistler,V6T_1Y8,Male,Bachelor,80697,Married,Star,3919.37,Standard,2016-09
45,733338,Ontario,Thunder_Bay,K8T_5M5,Female,Bachelor,80697,Married,Star,3919.37,Standard,2016-06
46,758635,Quebec,Montreal,H2T_9K8,Male,Bachelor,80697,Married,Star,3919.37,Standard,2018-06
47,823048,British_Columbia,Vancouver,V6E_3Z3,Male,Bachelor,80697,Married,Star,3919.37,Standard,2018-05
48,612905,Ontario,Toronto,P2T_6G3,Female,College,79359,Married,Star,3920.51,Standard,2015-02
49,679908,Quebec,Montreal,H4G_3T4,Female,Bachelor,77601,Married,Star,3921.02,Standard,2015-08
50,704150,Manitoba,Winnipeg,R6Y_4T5,Male,Bachelor,77601,Married,Star,3921.02,Standard,2014-10
51,869743,Ontario,Sudbury,M5V_1G5,Female,Bachelor,73236,Single,Star,3924.42,Standard,2016-11
52,596179,New_Brunswick,Fredericton,E3B_2H2,Female,Bachelor,50879,Single,Star,3933.81,Standard,2014-03
53,370450,Ontario,Thunder_Bay,K8T_5M5,Female,High_School_or_Below,62160,Married,Star,3934.1,Standard,2012-11
54,501030,British_Columbia,Vancouver,V6E_3Z3,Male,Bachelor,93541,Married,Star,3934.71,Standard,2017-03
55,878633,Ontario,Trenton,K8V_4B2,Female,Doctor,163974,Married,Star,3936.79,Standard,2013-12
56,285938,Quebec,Montreal,H2T_2J6,Female,Bachelor,75827,Married,Star,3939.01,Standard,2014-09
57,588237,Quebec,Tremblant,H5Y_2S9,Male,Bachelor,75827,Married,Star,3939.01,Standard,2013-11
58,645280,British_Columbia,West_Vancouver,V6V_8Z3,Male,Bachelor,75827,Married,Star,3939.01,Standard,2012-12
59,864324,Quebec,Quebec_City,G1B_3L5,Female,Bachelor,75827,Married,Star,3939.01,Standard,2018-06
60,124678,Nova_Scotia,Halifax,B3J_9S2,Male,Doctor,152955,Married,Star,3954.34,Standard,2013-06
61,186015,British_Columbia,Vancouver,V6E_3Z3,Male,Doctor,152955,Married,Star,3954.34,Standard,2015-09
62,461108,Quebec,Montreal,H2T_9K8,Male,Doctor,152955,Married,Star,3954.34,Standard,2018-10
63,589580,British_Columbia,Whistler,V6T_1Y8,Male,Doctor,152955,Married,Star,3954.34,Standard,2015-08
64,623688,Ontario,London,M5B_3E4,Female,Doctor,152955,Married,Star,3954.34,Standard,2016-05
65,386082,Alberta,Edmonton,T9G_1W3,Female,Bachelor,30486,Divorced,Aurora,5391.97,2018_Promotion,2018-03
66,256147,Ontario,Toronto,M1R_4K3,Female,College,79359,Married,Star,3958.0,Standard,2012-09
67,329382,Quebec,Montreal,H2T_9K8,Male,College,79359,Single,Star,3961.59,Standard,2012-08
68,140392,British_Columbia,Vancouver,V5R_1W3,Female,Bachelor,96814,Married,Star,3963.39,Standard,2013-07
69,112522,Alberta,Peace_River,T9O_2W2,Male,Bachelor,49846,Married,Aurora,5636.74,2018_Promotion,2018-02
