Variable1;Valor1;PERIODO;VALOR
Nombre;Personas que han comprado por Internet (últimos 3 meses);2024;56,7
Nombre;Personas que han comprado por Internet (últimos 3 meses);2023;55,9
Nombre;Personas que han comprado por Internet (últimos 3 meses);2022;55,3
Nombre;Personas que han comprado por Internet (últimos 3 meses);2021;55,2
Nombre;Personas que han comprado por Internet (últimos 3 meses);2020;53,8
Nombre;Personas que han comprado por Internet (últimos 3 meses);2019;46,9
Nombre;Personas que han comprado por Internet (últimos 3 meses);2018;43,5
Nombre;Personas que han comprado por Internet (últimos 3 meses);2017;40,0
Nombre;Personas que han comprado por Internet (últimos 3 meses);2016;34,9
Nombre;Personas que han comprado por Internet (últimos 3 meses);2015;32,1
Nombre;Personas que han comprado por Internet (últimos 3 meses);2014;27,5
