Comunidades y Ciudades Autónomas;Tipo de equipamiento;Periodo;Total
Total nacional;Viviendas con algún tipo de ordenador;2024;83
Total nacional;Viviendas con algún tipo de ordenador;2023;82,6
Total nacional;Viviendas con algún tipo de ordenador;2022;82,9
Total nacional;Viviendas con algún tipo de ordenador;2021;83,7
Total nacional;Viviendas con algún tipo de ordenador;2020;81,4
Total nacional;Viviendas con algún tipo de ordenador;2019;80,9
Total nacional;Viviendas con algún tipo de ordenador;2018;79,5
Total nacional;Viviendas con algún tipo de ordenador;2017;78,4
Total nacional;Viviendas con algún tipo de ordenador;2016;77,1
Total nacional;Viviendas con algún tipo de ordenador;2015;75,9
Total nacional;Viviendas con algún tipo de ordenador;2014;74,8
Total nacional;Viviendas con algún tipo de ordenador;2013;73,3
Total nacional;Viviendas con algún tipo de ordenador;2012;72,6
Total nacional;Viviendas con algún tipo de ordenador;2011;70,3
Total nacional;Viviendas con algún tipo de ordenador;2010;67,4
Total nacional;Viviendas con algún tipo de ordenador;2009;65,1
Total nacional;Viviendas con algún tipo de ordenador;2008;62,2
Total nacional;Viviendas con algún tipo de ordenador;2007;58,9
Total nacional;Viviendas con algún tipo de ordenador;2006;55,9
Total nacional;Viviendas que disponen de acceso a Internet;2024;96,8
Total nacional;Viviendas que disponen de acceso a Internet;2023;96,4
Total nacional;Viviendas que disponen de acceso a Internet;2022;96,1
Total nacional;Viviendas que disponen de acceso a Internet;2021;95,9
Total nacional;Viviendas que disponen de acceso a Internet;2020;95,4
Total nacional;Viviendas que disponen de acceso a Internet;2019;91,4
Total nacional;Viviendas que disponen de acceso a Internet;2018;86,4
Total nacional;Viviendas que disponen de acceso a Internet;2017;83,4
Total nacional;Viviendas que disponen de acceso a Internet;2016;81,9
Total nacional;Viviendas que disponen de acceso a Internet;2015;78,7
Total nacional;Viviendas que disponen de acceso a Internet;2014;74,4
Total nacional;Viviendas que disponen de acceso a Internet;2013;69,7
Total nacional;Viviendas que disponen de acceso a Internet;2012;66,6
Total nacional;Viviendas que disponen de acceso a Internet;2011;62,7
Total nacional;Viviendas que disponen de acceso a Internet;2010;57,8
Total nacional;Viviendas que disponen de acceso a Internet;2009;52,9
