Periodo,CCAA,tasa_paro,Tipo de equipamiento,% equipamiento
2006,Andalucía,17.20380952380952,Viviendas con algún tipo de ordenador,50.6
2006,Andalucía,17.20380952380952,Viviendas que disponen de acceso a Internet,30.7
2006,Andalucía,17.20380952380952,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",23.3
2006,Andalucía,17.20380952380952,Viviendas con teléfono fijo,75.3
2006,Andalucía,17.20380952380952,Viviendas con teléfono móvil,84.7
2006,Aragón,9.25297619047619,Viviendas con algún tipo de ordenador,55.7
2006,Aragón,9.25297619047619,Viviendas que disponen de acceso a Internet,38.8
2006,Aragón,9.25297619047619,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",28.3
2006,Aragón,9.25297619047619,Viviendas con teléfono fijo,89.6
2006,Aragón,9.25297619047619,Viviendas con teléfono móvil,84.6
2006,Principado de Asturias,14.64642857142857,Viviendas con algún tipo de ordenador,53.7
2006,Principado de Asturias,14.64642857142857,Viviendas que disponen de acceso a Internet,38.5
2006,Principado de Asturias,14.64642857142857,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",30.6
2006,Principado de Asturias,14.64642857142857,Viviendas con teléfono fijo,86.8
2006,Principado de Asturias,14.64642857142857,Viviendas con teléfono móvil,85.6
2006,Islas Baleares,10.662619047619048,Viviendas con algún tipo de ordenador,55.4
2006,Islas Baleares,10.662619047619048,Viviendas que disponen de acceso a Internet,40.9
2006,Islas Baleares,10.662619047619048,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",32.8
2006,Islas Baleares,10.662619047619048,Viviendas con teléfono fijo,82.4
2006,Islas Baleares,10.662619047619048,Viviendas con teléfono móvil,88.3
2006,Islas Canarias,17.98071428571429,Viviendas con algún tipo de ordenador,56.1
2006,Islas Canarias,17.98071428571429,Viviendas que disponen de acceso a Internet,39.6
2006,Islas Canarias,17.98071428571429,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",33.2
2006,Islas Canarias,17.98071428571429,Viviendas con teléfono fijo,79.9
2006,Islas Canarias,17.98071428571429,Viviendas con teléfono móvil,86.7
2006,Cantabria,12.31132530120482,Viviendas con algún tipo de ordenador,57.5
2006,Cantabria,12.31132530120482,Viviendas que disponen de acceso a Internet,42.2
2006,Cantabria,12.31132530120482,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",31.6
2006,Cantabria,12.31132530120482,Viviendas con teléfono fijo,84.5
2006,Cantabria,12.31132530120482,Viviendas con teléfono móvil,86.4
2006,Castilla y León,12.788333333333334,Viviendas con algún tipo de ordenador,52.0
2006,Castilla y León,12.788333333333334,Viviendas que disponen de acceso a Internet,33.8
2006,Castilla y León,12.788333333333334,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",23.1
2006,Castilla y León,12.788333333333334,Viviendas con teléfono fijo,85.8
2006,Castilla y León,12.788333333333334,Viviendas con teléfono móvil,83.3
2006,Castilla-La Mancha,13.17452380952381,Viviendas con algún tipo de ordenador,50.3
2006,Castilla-La Mancha,13.17452380952381,Viviendas que disponen de acceso a Internet,29.6
2006,Castilla-La Mancha,13.17452380952381,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",19.9
2006,Castilla-La Mancha,13.17452380952381,Viviendas con teléfono fijo,77.4
2006,Castilla-La Mancha,13.17452380952381,Viviendas con teléfono móvil,85.5
2006,Cataluña,10.591666666666669,Viviendas con algún tipo de ordenador,60.2
2006,Cataluña,10.591666666666669,Viviendas que disponen de acceso a Internet,45.6
2006,Cataluña,10.591666666666669,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",35.8
2006,Cataluña,10.591666666666669,Viviendas con teléfono fijo,85.5
2006,Cataluña,10.591666666666669,Viviendas con teléfono móvil,89.4
2006,Ceuta,35.82271604938271,Viviendas con algún tipo de ordenador,51.5
2006,Ceuta,35.82271604938271,Viviendas que disponen de acceso a Internet,39.2
2006,Ceuta,35.82271604938271,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",37.5
2006,Ceuta,35.82271604938271,Viviendas con teléfono fijo,72.3
2006,Ceuta,35.82271604938271,Viviendas con teléfono móvil,86.9
2006,España,13.242261904761904,Viviendas con algún tipo de ordenador,55.9
2006,España,13.242261904761904,Viviendas que disponen de acceso a Internet,38.0
2006,España,13.242261904761904,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",28.5
2006,España,13.242261904761904,Viviendas con teléfono fijo,82.8
2006,España,13.242261904761904,Viviendas con teléfono móvil,87.2
2006,Extremadura,19.15285714285714,Viviendas con algún tipo de ordenador,44.0
2006,Extremadura,19.15285714285714,Viviendas que disponen de acceso a Internet,23.0
2006,Extremadura,19.15285714285714,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",15.6
2006,Extremadura,19.15285714285714,Viviendas con teléfono fijo,77.8
2006,Extremadura,19.15285714285714,Viviendas con teléfono móvil,83.0
2006,Galicia,12.598928571428573,Viviendas con algún tipo de ordenador,50.0
2006,Galicia,12.598928571428573,Viviendas que disponen de acceso a Internet,29.7
2006,Galicia,12.598928571428573,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",19.5
2006,Galicia,12.598928571428573,Viviendas con teléfono fijo,83.6
2006,Galicia,12.598928571428573,Viviendas con teléfono móvil,82.0
2006,La Rioja,10.474819277108434,Viviendas con algún tipo de ordenador,51.1
2006,La Rioja,10.474819277108434,Viviendas que disponen de acceso a Internet,36.2
2006,La Rioja,10.474819277108434,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",25.1
2006,La Rioja,10.474819277108434,Viviendas con teléfono fijo,83.5
2006,La Rioja,10.474819277108434,Viviendas con teléfono móvil,82.7
2006,Comunidad de Madrid,11.040833333333332,Viviendas con algún tipo de ordenador,66.8
2006,Comunidad de Madrid,11.040833333333332,Viviendas que disponen de acceso a Internet,49.4
2006,Comunidad de Madrid,11.040833333333332,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",38.8
2006,Comunidad de Madrid,11.040833333333332,Viviendas con teléfono fijo,90.1
2006,Comunidad de Madrid,11.040833333333332,Viviendas con teléfono móvil,91.9
2006,Melilla,19.79373333333333,Viviendas con algún tipo de ordenador,51.6
2006,Melilla,19.79373333333333,Viviendas que disponen de acceso a Internet,45.6
2006,Melilla,19.79373333333333,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",38.4
2006,Melilla,19.79373333333333,Viviendas con teléfono fijo,72.3
2006,Melilla,19.79373333333333,Viviendas con teléfono móvil,84.4
2006,Región de Murcia,12.742261904761904,Viviendas con algún tipo de ordenador,55.8
2006,Región de Murcia,12.742261904761904,Viviendas que disponen de acceso a Internet,33.3
2006,Región de Murcia,12.742261904761904,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",25.3
2006,Región de Murcia,12.742261904761904,Viviendas con teléfono fijo,76.2
2006,Región de Murcia,12.742261904761904,Viviendas con teléfono móvil,89.6
2006,Comunidad Foral de Navarra,9.045119047619048,Viviendas con algún tipo de ordenador,56.5
2006,Comunidad Foral de Navarra,9.045119047619048,Viviendas que disponen de acceso a Internet,40.8
2006,Comunidad Foral de Navarra,9.045119047619048,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",25.5
2006,Comunidad Foral de Navarra,9.045119047619048,Viviendas con teléfono fijo,91.1
2006,Comunidad Foral de Navarra,9.045119047619048,Viviendas con teléfono móvil,86.4
2006,País Vasco,14.90952380952381,Viviendas con algún tipo de ordenador,60.2
2006,País Vasco,14.90952380952381,Viviendas que disponen de acceso a Internet,45.2
2006,País Vasco,14.90952380952381,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",29.1
2006,País Vasco,14.90952380952381,Viviendas con teléfono fijo,91.5
2006,País Vasco,14.90952380952381,Viviendas con teléfono móvil,91.2
2006,Comunidad Valenciana,13.153928571428573,Viviendas con algún tipo de ordenador,52.3
2006,Comunidad Valenciana,13.153928571428573,Viviendas que disponen de acceso a Internet,32.7
2006,Comunidad Valenciana,13.153928571428573,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",23.7
2006,Comunidad Valenciana,13.153928571428573,Viviendas con teléfono fijo,77.2
2006,Comunidad Valenciana,13.153928571428573,Viviendas con teléfono móvil,87.8
2007,Andalucía,17.896547619047617,Viviendas con algún tipo de ordenador,55.0
2007,Andalucía,17.896547619047617,Viviendas que disponen de acceso a Internet,37.5
2007,Andalucía,17.896547619047617,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",33.8
2007,Andalucía,17.896547619047617,Viviendas con teléfono fijo,74.3
2007,Andalucía,17.896547619047617,Viviendas con teléfono móvil,88.0
2007,Aragón,9.583333333333334,Viviendas con algún tipo de ordenador,58.7
2007,Aragón,9.583333333333334,Viviendas que disponen de acceso a Internet,46.6
2007,Aragón,9.583333333333334,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",39.0
2007,Aragón,9.583333333333334,Viviendas con teléfono fijo,88.7
2007,Aragón,9.583333333333334,Viviendas con teléfono móvil,89.4
2007,Principado de Asturias,13.362976190476193,Viviendas con algún tipo de ordenador,57.1
2007,Principado de Asturias,13.362976190476193,Viviendas que disponen de acceso a Internet,40.6
2007,Principado de Asturias,13.362976190476193,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",37.3
2007,Principado de Asturias,13.362976190476193,Viviendas con teléfono fijo,84.3
2007,Principado de Asturias,13.362976190476193,Viviendas con teléfono móvil,88.9
2007,Islas Baleares,11.201904761904762,Viviendas con algún tipo de ordenador,59.5
2007,Islas Baleares,11.201904761904762,Viviendas que disponen de acceso a Internet,48.1
2007,Islas Baleares,11.201904761904762,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",44.6
2007,Islas Baleares,11.201904761904762,Viviendas con teléfono fijo,82.1
2007,Islas Baleares,11.201904761904762,Viviendas con teléfono móvil,89.4
2007,Islas Canarias,16.71666666666667,Viviendas con algún tipo de ordenador,57.5
2007,Islas Canarias,16.71666666666667,Viviendas que disponen de acceso a Internet,43.5
2007,Islas Canarias,16.71666666666667,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",40.5
2007,Islas Canarias,16.71666666666667,Viviendas con teléfono fijo,74.4
2007,Islas Canarias,16.71666666666667,Viviendas con teléfono móvil,91.2
2007,Cantabria,9.717380952380951,Viviendas con algún tipo de ordenador,58.2
2007,Cantabria,9.717380952380951,Viviendas que disponen de acceso a Internet,45.2
2007,Cantabria,9.717380952380951,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",40.6
2007,Cantabria,9.717380952380951,Viviendas con teléfono fijo,82.1
2007,Cantabria,9.717380952380951,Viviendas con teléfono móvil,90.1
2007,Castilla y León,12.654285714285717,Viviendas con algún tipo de ordenador,56.3
2007,Castilla y León,12.654285714285717,Viviendas que disponen de acceso a Internet,38.0
2007,Castilla y León,12.654285714285717,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",31.6
2007,Castilla y León,12.654285714285717,Viviendas con teléfono fijo,82.3
2007,Castilla y León,12.654285714285717,Viviendas con teléfono móvil,85.6
2007,Castilla-La Mancha,11.862023809523809,Viviendas con algún tipo de ordenador,50.5
2007,Castilla-La Mancha,11.862023809523809,Viviendas que disponen de acceso a Internet,31.2
2007,Castilla-La Mancha,11.862023809523809,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",26.9
2007,Castilla-La Mancha,11.862023809523809,Viviendas con teléfono fijo,74.2
2007,Castilla-La Mancha,11.862023809523809,Viviendas con teléfono móvil,84.0
2007,Cataluña,10.2625,Viviendas con algún tipo de ordenador,64.3
2007,Cataluña,10.2625,Viviendas que disponen de acceso a Internet,50.3
2007,Cataluña,10.2625,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",45.1
2007,Cataluña,10.2625,Viviendas con teléfono fijo,85.3
2007,Cataluña,10.2625,Viviendas con teléfono móvil,92.0
2007,Ceuta,28.61817073170732,Viviendas con algún tipo de ordenador,54.1
2007,Ceuta,28.61817073170732,Viviendas que disponen de acceso a Internet,45.9
2007,Ceuta,28.61817073170732,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",44.0
2007,Ceuta,28.61817073170732,Viviendas con teléfono fijo,65.2
2007,Ceuta,28.61817073170732,Viviendas con teléfono móvil,82.8
2007,España,13.157261904761905,Viviendas con algún tipo de ordenador,58.9
2007,España,13.157261904761905,Viviendas que disponen de acceso a Internet,43.5
2007,España,13.157261904761905,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",38.2
2007,España,13.157261904761905,Viviendas con teléfono fijo,80.7
2007,España,13.157261904761905,Viviendas con teléfono móvil,90.0
2007,Extremadura,18.891666666666666,Viviendas con algún tipo de ordenador,44.9
2007,Extremadura,18.891666666666666,Viviendas que disponen de acceso a Internet,28.9
2007,Extremadura,18.891666666666666,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",22.3
2007,Extremadura,18.891666666666666,Viviendas con teléfono fijo,72.0
2007,Extremadura,18.891666666666666,Viviendas con teléfono móvil,86.7
2007,Galicia,11.81452380952381,Viviendas con algún tipo de ordenador,50.8
2007,Galicia,11.81452380952381,Viviendas que disponen de acceso a Internet,32.0
2007,Galicia,11.81452380952381,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",25.5
2007,Galicia,11.81452380952381,Viviendas con teléfono fijo,80.4
2007,Galicia,11.81452380952381,Viviendas con teléfono móvil,86.2
2007,La Rioja,10.915119047619047,Viviendas con algún tipo de ordenador,54.0
2007,La Rioja,10.915119047619047,Viviendas que disponen de acceso a Internet,41.2
2007,La Rioja,10.915119047619047,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",35.6
2007,La Rioja,10.915119047619047,Viviendas con teléfono fijo,82.6
2007,La Rioja,10.915119047619047,Viviendas con teléfono móvil,85.6
2007,Comunidad de Madrid,11.606785714285715,Viviendas con algún tipo de ordenador,69.4
2007,Comunidad de Madrid,11.606785714285715,Viviendas que disponen de acceso a Internet,55.8
2007,Comunidad de Madrid,11.606785714285715,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",51.1
2007,Comunidad de Madrid,11.606785714285715,Viviendas con teléfono fijo,88.7
2007,Comunidad de Madrid,11.606785714285715,Viviendas con teléfono móvil,94.2
2007,Melilla,25.458717948717947,Viviendas con algún tipo de ordenador,60.9
2007,Melilla,25.458717948717947,Viviendas que disponen de acceso a Internet,49.0
2007,Melilla,25.458717948717947,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",46.7
2007,Melilla,25.458717948717947,Viviendas con teléfono fijo,72.0
2007,Melilla,25.458717948717947,Viviendas con teléfono móvil,92.6
2007,Región de Murcia,12.155714285714286,Viviendas con algún tipo de ordenador,55.8
2007,Región de Murcia,12.155714285714286,Viviendas que disponen de acceso a Internet,35.4
2007,Región de Murcia,12.155714285714286,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",30.9
2007,Región de Murcia,12.155714285714286,Viviendas con teléfono fijo,71.3
2007,Región de Murcia,12.155714285714286,Viviendas con teléfono móvil,91.0
