CCAA,Tipo de equipamiento,Periodo,Total
España,Viviendas con algún tipo de ordenador,2024,83
España,Viviendas con algún tipo de ordenador,2023,"82,6"
España,Viviendas con algún tipo de ordenador,2022,"82,9"
España,Viviendas con algún tipo de ordenador,2021,"83,7"
España,Viviendas con algún tipo de ordenador,2020,"81,4"
España,Viviendas con algún tipo de ordenador,2019,"80,9"
España,Viviendas con algún tipo de ordenador,2018,"79,5"
España,Viviendas con algún tipo de ordenador,2017,"78,4"
España,Viviendas con algún tipo de ordenador,2016,"77,1"
España,Viviendas con algún tipo de ordenador,2015,"75,9"
España,Viviendas con algún tipo de ordenador,2014,"74,8"
España,Viviendas con algún tipo de ordenador,2013,"73,3"
España,Viviendas con algún tipo de ordenador,2012,"72,6"
España,Viviendas con algún tipo de ordenador,2011,"70,3"
España,Viviendas con algún tipo de ordenador,2010,"67,4"
España,Viviendas con algún tipo de ordenador,2009,"65,1"
España,Viviendas con algún tipo de ordenador,2008,"62,2"
España,Viviendas con algún tipo de ordenador,2007,"58,9"
España,Viviendas con algún tipo de ordenador,2006,"55,9"
España,Viviendas que disponen de acceso a Internet,2024,"96,8"
España,Viviendas que disponen de acceso a Internet,2023,"96,4"
España,Viviendas que disponen de acceso a Internet,2022,"96,1"
España,Viviendas que disponen de acceso a Internet,2021,"95,9"
España,Viviendas que disponen de acceso a Internet,2020,"95,4"
España,Viviendas que disponen de acceso a Internet,2019,"91,4"
España,Viviendas que disponen de acceso a Internet,2018,"86,4"
España,Viviendas que disponen de acceso a Internet,2017,"83,4"
España,Viviendas que disponen de acceso a Internet,2016,"81,9"
España,Viviendas que disponen de acceso a Internet,2015,"78,7"
España,Viviendas que disponen de acceso a Internet,2014,"74,4"
España,Viviendas que disponen de acceso a Internet,2013,"69,7"
España,Viviendas que disponen de acceso a Internet,2012,"66,6"
España,Viviendas que disponen de acceso a Internet,2011,"62,7"
España,Viviendas que disponen de acceso a Internet,2010,"57,8"
España,Viviendas que disponen de acceso a Internet,2009,"52,9"
España,Viviendas que disponen de acceso a Internet,2008,"49,9"
España,Viviendas que disponen de acceso a Internet,2007,"43,5"
España,Viviendas que disponen de acceso a Internet,2006,38
España,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2024,"96,8"
