employee_turnover,business_travel_frequency,distance_from_home_km,education_level,environmental_satisfaction_level,gender,job_involvement_level,job_level,job_satisfaction_level,marital_status,num_companies_worked,overtime_hours,percent_salary_hike,standard_work_hours,stock_option_level,training_sessions_last_year,years_at_company,years_with_current_manager,birth_year,remote_work,total_years_worked,annual_salary,work_life_balance
no,unknown,6.0,3,1.0,male,3,5,3,unknown,7,no,13,full_time,0,5,20,15,1972,yes,10.0,195370.0,3.0
no,unknown,1.0,4,3.0,male,2,5,3,unknown,0,none,14,none,1,5,33,9,1971,yes,34.0,199990.0,3.0
no,travel_rarely,4.0,2,3.0,male,3,5,4,married,1,no,11,none,0,3,22,15,1981,yes,22.0,192320.0,3.0
no,travel_rarely,2.0,4,1.0,female,3,4,3,married,3,none,19,full_time,2,2,20,6,1976,no,10.0,171690.0,3.0
no,unknown,3.0,3,1.0,female,4,4,1,divorced,2,no,12,none,1,5,19,8,1977,no,10.0,53914.11,3.0
no,unknown,22.0,3,4.0,female,3,4,4,unknown,3,no,11,none,1,3,22,7,1975,yes,10.0,53914.11,3.0
no,unknown,25.0,3,1.0,female,3,3,1,unknown,7,none,11,part_time,0,3,21,9,1964,yes,28.0,100071.84,2.0
no,travel_rarely,1.0,1,2.0,male,3,2,3,married,1,no,25,part_time,0,3,20,6,1981,no,20.0,53914.11,3.0
no,unknown,2.0,5,2.0,female,3,4,1,married,7,no,16,full_time,1,2,18,8,1982,yes,22.0,165950.0,3.0
no,travel_frequently,9.0,3,1.0,male,3,5,3,unknown,2,no,17,none,1,2,18,11,1982,no,21.0,53914.11,4.0
no,non_travel,7.0,1,2.0,female,1,5,3,unknown,1,no,22,full_time,2,3,21,10,1982,no,10.0,199730.0,3.0
no,travel_rarely,23.0,3,4.0,male,3,4,2,married,4,yes,12,full_time,1,0,19,9,1967,no,33.0,134020.0,3.0
no,unknown,10.0,3,2.0,female,1,3,3,married,3,no,12,full_time,1,3,18,11,1985,yes,10.0,132060.0,3.0
yes,travel_rarely,12.0,3,2.0,female,3,5,3,married,1,no,12,full_time,0,0,22,8,1982,no,10.0,195450.0,3.0
no,unknown,14.0,4,3.0,male,4,5,2,single,8,no,11,none,0,3,24,15,1968,yes,10.0,53914.11,3.0
no,travel_rarely,2.0,4,3.0,female,3,5,3,unknown,0,no,14,full_time,0,2,20,12,1983,no,10.0,180410.0,3.0
yes,travel_rarely,2.0,4,4.0,male,3,5,2,single,7,yes,12,full_time,0,2,31,8,1965,no,40.0,192460.0,3.0
